"prod.date.sq.","prod.values.sq.","auto.values.sq.","cam.values.sq.","ventaauto.values.sq.","sub.values.sq.","comp.values.sq.","lujo.values.sq.","sport.values.sq.","import.values.sq.","cam1.values.sq.","nac.values.sq.","importcam.values.sq."
2021-09-01,220449,49626,170823,38569,6468,9890,110,0,22101,40796,12956,27840
2021-08-01,249716,64815,184901,40473,7032,10546,137,0,22758,40510,14239,26271
2021-07-01,234818,51242,183576,41187,7761,9918,110,0,23398,43703,13935,29768
2021-06-01,279808,53208,226600,46072,7763,11341,116,0,26852,45415,15858,29557
2021-05-01,256653,56548,200105,45995,6889,11753,119,0,27234,43494,15222,28272
2021-04-01,281947,54870,227077,45361,6655,12370,120,0,26216,41479,14794,26685
2021-03-01,319670,75243,244427,52097,7677,15204,108,0,29108,46965,16889,30076
2021-02-01,249046,62425,186621,43228,7146,11704,109,0,24269,42023,14864,27159
2021-01-01,291290,78815,212475,43332,6688,13289,124,0,23231,40498,13415,27083
2020-12-01,266463,62856,203607,57464,7663,19774,66,0,29961,51139,16858,34281
2020-11-01,324675,87432,237243,53438,7917,16634,101,0,28786,44835,12582,32253
2020-10-01,362217,103952,258265,45643,7105,14648,75,0,23815,41347,13625,27722
2020-09-01,325521,86850,238671,43221,7667,12180,74,0,23300,36831,12493,24338
2020-08-01,314636,88352,226284,43890,6990,12089,85,0,24726,35513,12921,22592
2020-07-01,314795,101699,213096,41123,6005,11742,93,0,23283,34571,12306,22265
2020-06-01,262261,82912,179349,35067,5099,9614,70,0,20284,30015,11136,18879
2020-05-01,26973,6369,20604,21951,3736,5827,24,0,12364,21445,7509,13936
2020-04-01,6373,3705,2668,18659,3097,5198,20,0,10344,17360,5951,11409
2020-03-01,282759,99301,183458,48564,8369,14039,62,0,26094,41258,16428,24830
2020-02-01,348436,119737,228699,61831,8789,16592,60,0,36390,45238,16480,28758
2020-01-01,342142,124314,217828,61582,8246,15573,41,0,37722,45665,15898,29767
2019-12-01,224869,82262,142607,77600,10180,18242,61,0,49117,56804,21734,35070
2019-11-01,322032,91853,230179,69736,9824,17229,38,0,42645,58092,22576,35516
2019-10-01,337313,108209,229104,61703,8765,15560,71,0,37307,48733,17162,31571
2019-09-01,341906,115492,226414,57286,8992,10568,32,0,37694,46896,17860,29036
2019-08-01,363193,128355,234838,62239,9677,13275,13,0,39274,48922,17757,31165
2019-07-01,318233,93407,224826,61984,9129,13461,10,0,39384,47503,16547,30956
2019-06-01,360817,129763,231054,63239,9180,13343,9,0,40707,47706,17328,30378
2019-05-01,373776,133922,239854,60109,8855,12242,10,0,39002,46226,17425,28801
2019-04-01,320973,110783,210190,55423,8531,11212,3,0,35677,46767,16198,30569
2019-03-01,368180,138511,229669,66461,10661,15007,13,0,40780,54927,18150,36777
2019-02-01,331091,134191,196900,60716,10189,13963,13,0,36551,46480,15735,30745
2019-01-01,350832,130064,220768,67297,10593,14679,10,0,42015,47159,14636,32523
2018-12-01,255465,105201,150264,85590,12093,18090,24,0,55383,60480,19253,41227
2018-11-01,364959,143119,221840,80569,10272,18908,16,0,51373,57258,19033,38225
2018-10-01,391392,158141,233251,69632,9672,16814,23,0,43123,52029,16255,35774
2018-09-01,337364,122432,214932,68826,9516,17065,6,0,42239,49572,16209,33363
2018-08-01,392528,148897,243631,72582,10243,17509,3,0,44827,50729,17694,33035
2018-07-01,315502,115212,200290,70117,9858,15653,9,0,44597,47992,16807,31185
2018-06-01,369848,135987,233861,71095,10525,16132,3,0,44435,52612,18315,34297
2018-05-01,367502,145879,221623,68461,9434,16690,5,0,42332,50197,17826,32371
2018-04-01,306313,117792,188521,66649,9439,16233,3,0,40974,46333,15878,30455
2018-03-01,346110,128139,217971,71732,11436,18066,3,0,42227,50668,18217,32451
2018-02-01,341468,124244,217224,66233,11619,16068,2,0,38544,46532,16372,30160
2018-01-01,315870,138580,177290,64323,11262,16624,5,0,36432,48063,16325,31738
2017-12-01,274837,94884,179953,96101,19506,21426,7,0,55162,67821,24757,43064
2017-11-01,361807,142889,218918,88846,18235,22290,0,0,48321,56481,19764,36717
2017-10-01,398516,167067,231449,74003,17618,17061,0,0,39324,53175,19917,33258
2017-09-01,338822,133215,205607,70696,17224,16357,0,0,37115,49475,17562,31913
2017-08-01,383229,176626,206603,77305,18972,17440,0,0,40893,52155,17549,34606
2017-07-01,316519,140540,175979,76612,17782,19469,0,0,39361,49388,16143,33245
2017-06-01,359943,166795,193148,80753,19352,21533,0,0,39868,50473,15694,34779
2017-05-01,352392,181479,170913,75636,17876,17415,0,0,40345,50979,16081,34898
2017-04-01,301814,161190,140624,70554,16096,16596,0,0,37862,47477,17847,29630
2017-03-01,383198,217262,165936,86879,21220,21428,0,0,44231,53998,22230,31768
2017-02-01,319272,172511,146761,76393,17637,18365,0,0,40391,44782,16588,28194
2017-01-01,295708,152488,143220,79615,17581,18727,0,0,43307,47887,18248,29639
2016-12-01,253963,142138,111825,124907,33919,32092,0,0,58896,73791,28023,45768
2016-11-01,328858,181098,147760,100417,28642,24283,0,0,47492,58919,23449,35470
2016-10-01,341156,185552,155604,85988,21620,21458,0,0,42910,55102,22580,32522
2016-09-01,300919,150693,150226,86397,22963,21035,0,0,42399,49510,19383,30127
2016-08-01,344696,199684,145012,91518,24415,22720,0,0,44383,46846,17637,29209
2016-07-01,294643,163961,130682,89204,22670,22185,0,0,44349,46140,16589,29551
2016-06-01,332231,183143,149088,88990,23611,21058,0,0,44321,49400,18425,30975
2016-05-01,292337,160421,131916,77689,19798,17093,0,0,40798,47679,18061,29618
2016-04-01,284563,158189,126374,76557,20661,16971,0,0,38925,45838,16832,29006
2016-03-01,280216,160241,119975,75259,18646,18865,0,0,37748,45439,18045,27394
2016-02-01,283887,164978,118909,70884,17368,17676,0,0,35840,43385,16326,27059
2016-01-01,279035,145661,133374,75624,21048,18380,0,0,36196,47020,17248,29772
2015-12-01,235564,119794,115770,98600,30462,24688,0,0,43450,67415,26717,40698
2015-11-01,309626,163378,146248,80409,23737,20788,0,0,35884,49826,20114,29712
2015-10-01,344031,187326,156705,75756,22269,19568,0,0,33919,48503,20251,28252
2015-09-01,295410,151464,143946,72194,18559,17666,0,0,35969,43065,17116,25949
2015-08-01,306315,167881,138434,75683,19659,20109,0,0,35915,40400,15944,24456
2015-07-01,271218,146981,124237,74235,20997,18481,0,0,34757,40969,17199,23770
2015-06-01,323481,185905,137576,70406,21540,16632,0,0,32234,40017,17556,22461
2015-05-01,304384,168623,135761,66810,17700,16184,0,0,32926,38217,16386,21831
2015-04-01,300726,164761,135965,62939,16649,14091,0,0,32199,35316,14817,20499
2015-03-01,318608,174943,143665,68479,18675,16163,0,0,33641,39280,16210,23070
2015-02-01,298614,170652,127962,65206,16583,16651,0,0,31972,35190,14217,20973
2015-01-01,282077,163781,118296,69264,17995,17415,0,0,33854,37003,14762,22241
2014-12-01,208498,120167,88331,85929,24656,22636,0,0,38637,50580,20318,30262
2014-11-01,284816,173435,111381,71299,20022,19805,0,0,31472,43612,18018,25594
2014-10-01,330164,205963,124201,64472,17218,18441,0,0,28813,39178,14745,24433
2014-09-01,267674,160064,107610,57101,13446,14471,0,0,29184,34995,13098,21897
2014-08-01,286708,167326,119382,67674,18272,16469,0,0,32933,39472,16814,22658
