"bal_exp_tot.date.sq.","bal_exp_tot.values.sq.","bal_imp_tot.values.sq.","exp_b_cons.values.sq.","imp_b_cons.values.sq.","exp_b_uso.values.sq.","imp_b_uso.values.sq.","exp_b_cap.values.sq.","imp_b_cap.values.sq.","s1.values.sq.","s2.values.sq.","s3.values.sq.","s4.values.sq."
2021-07-01,40887.733,44950.628,9499.543,5501.366,18859.523,36031.745,12528.667,3417.517,-4062.895,-6945.646,-2111.824,-1951.07
2021-06-01,42671.459,41909.429,10720.313,5353.7,18406.923,33313.433,13544.223,3242.296,762.03,-1863.145,-1841.776,2603.806
2021-05-01,40798.353,40458.684,10906.863,5003.306,17147.87,32273.59,12743.621,3181.787,339.669,-1932.326,-1703.148,2042.818
2021-04-01,40772.789,39272.146,10845.695,4550.794,17153.238,31655.7,12773.856,3065.652,1500.642,-557.436,-1535.383,3036.025
2021-03-01,43021.477,45974.454,10967.904,4911.595,19201.481,37497.244,12852.092,3565.615,-2952.977,-5080.635,-4454.68,1501.703
2021-02-01,36174.57,33486.199,9712.801,3874.634,15603.409,26724.004,10858.36,2887.56,2688.371,867.85,-1108.821,3797.192
2021-01-01,32667.77,33910.702,8404.791,4085.132,13873.505,26875.015,10389.475,2950.555,-1242.932,-3019.407,-1191.825,-51.107
2020-12-01,43055.653,36879.948,11119.433,4649.027,17730.181,28926.435,14206.039,3304.486,6175.704,4197.394,-1229.783,7405.488
2020-11-01,38241.494,35257.525,10790.992,4421.119,15976.484,27810.576,11474.018,3025.83,2983.969,1433.043,-1014.613,3998.582
2020-10-01,41950.897,35694.81,11465.14,4296.336,16950.057,28492.157,13535.7,2906.317,6256.087,4910.074,-1361.881,7617.968
2020-09-01,38539.745,34142.602,10213.616,4036.534,15891.594,27374.211,12434.535,2731.857,4397.143,2912.753,-1067.593,5464.736
2020-08-01,37001.121,30845.723,9789.054,3714.439,15501.729,24551.436,11710.338,2579.849,6155.398,4474.995,-695.562,6850.96
2020-07-01,35499.475,29844.448,8984.997,3361.013,14668.979,23799.805,11845.499,2683.63,5655.027,4246.216,-864.731,6519.758
2020-06-01,33047.743,27512.168,8809.728,2662.535,12753.484,22240.777,11484.53,2608.856,5535.575,4247.185,-418.836,5954.411
2020-05-01,18116.045,21578.337,4623.994,2316.894,7745.638,17036.848,5746.413,2224.595,-3462.292,-4417.371,-444.262,-3018.03
