"Date","WALMEX.MX","GFNORTEO.MX","AMXL.MX","GMEXICOB.MX","FEMSAUBD.MX","GRUMAB.MX","CEMEXCPO.MX","KIMBERA.MX","GAPB.MX","FUNO11.MX","IENOVA.MX","AC.MX","BIMBOA.MX","OMAB.MX","ASURB.MX","ALFAA.MX","ORBIA.MX","PINFRA.MX","GFINBURO.MX","GCC.MX","GCARSOA1.MX","BOLSAA.MX","RA.MX","VOLARA.MX","NEMAKA.MX","CUERVO.MX","ALPEKA.MX","ALSEA.MX","DANHOS13.MX","FIBRAMQ12.MX","CERAMICB.MX","LAMOSA.MX","KUOB.MX","KOFUBL.MX","GISSAA.MX","CMOCTEZ.MX"
2007-01-03,23.58,43.52,12.19,11.959822,42.286667,38.254425,25.911398,16.586666,42.799999,NA,NA,44,13.7525,30.950001,45.82,7.125,5.989704,19.82,10.655,51.990002,19.556103,NA,NA,NA,NA,NA,NA,14.342765,NA,NA,24,9.353542,6.872388,NA,15.5,30
2007-01-04,23.094999,43.689999,12.19,11.74334,41.98,38.254425,25.897346,16.610001,42.16,NA,NA,44,13.79,31.35,45.82,7.066,6.053424,19.75,10.58,51.990002,19.556103,NA,NA,NA,NA,NA,NA,14.138216,NA,NA,24,9.353542,6.913319,NA,15.5,30
2007-01-05,22.764999,43.139999,12.19,11.668042,41.619999,38.254425,25.468769,16.336666,41.77,NA,NA,44,13.445,31.73,45.82,7.156,6.053424,19.940001,10.485,51.759998,19.556103,NA,NA,NA,NA,NA,NA,14.11143,NA,NA,24,9.353542,6.917412,NA,15.5,30
2007-01-08,23.1,43.099998,12.19,11.897073,42.303333,38.254425,25.67252,16.43,42.360001,NA,NA,44,13.4075,32.119999,45.82,7.192,6.021564,19.98,10.52,52,19.556103,NA,NA,NA,NA,NA,NA,14.004285,NA,NA,24,9.353542,6.856015,NA,15.5,30
2007-01-09,22.995001,41.98,12.19,11.884524,41.900002,38.254425,25.054241,15.943333,41.66,NA,NA,44,13.225,31.200001,45.82,6.915,6.021564,19.870001,10.405,51.950001,19.556103,NA,NA,NA,NA,NA,NA,13.853309,NA,NA,24,9.353542,6.655451,NA,15.5,30
2007-01-10,23.014999,41.759998,12.19,12.148067,42.646667,38.254425,25.257994,15.82,42.09,NA,NA,44,13.2375,30.040001,45.82,6.913,6.05661,20.030001,10.435,51.799999,19.556103,NA,NA,NA,NA,NA,NA,13.551356,NA,NA,24,9.353542,6.643172,NA,15.5,28
2007-01-11,23.295,42.07,12.19,12.377097,43.416664,38.254425,25.679544,15.95,43.82,NA,NA,44,13.49,30.959999,45.82,7.057,6.069354,21,10.49,51.950001,19.556103,NA,NA,NA,NA,NA,NA,13.880095,NA,NA,24,9.353542,6.7455,NA,15.5,27.889999
2007-01-12,23.27,42.889999,12.19,12.499456,43.02,38.254425,25.644415,16.313334,44.450001,NA,NA,44,13.75,31.559999,45.82,7.169,6.08847,23.66,10.49,51.950001,19.556103,NA,NA,NA,NA,NA,NA,13.928797,NA,NA,24,9.353542,6.847829,NA,15.6,27.889999
2007-01-15,23.415001,42.700001,12.19,12.370821,44.163334,38.254425,25.897346,16.360001,45.400002,NA,NA,44,13.7475,31.120001,45.82,7.192,6.117144,24.209999,10.555,51.950001,19.556103,NA,NA,NA,NA,NA,NA,13.953148,NA,NA,24,9.353542,6.876481,NA,15.6,29
2007-01-16,23.389999,42.82,12.19,12.248462,43.546665,38.254425,26.09407,16.283333,45.48,NA,NA,44,13.9975,32.200001,45.82,7.31,6.149004,24.15,10.52,51.950001,19.556103,NA,NA,NA,NA,NA,NA,14.099254,NA,NA,24,9.353542,6.986996,NA,15.6,29
2007-01-17,23.309999,42.599998,12.19,12.392785,43.716667,38.254425,26.740452,16.34,46.09,NA,NA,44,13.805,32.939999,45.82,7.42,6.117144,23.9,10.525,51.950001,19.556103,NA,NA,NA,NA,NA,NA,14.245361,NA,NA,24,9.353542,7.298074,NA,15.6,28.950001
2007-01-18,22.940001,41.150002,12.19,12.210813,42.91,38.254425,26.691271,15.843333,44.950001,NA,NA,44,13.51,32.799999,45.82,7.38,6.149004,23.6,10.515,51.950001,19.556103,NA,NA,NA,NA,NA,NA,14.099254,NA,NA,24,9.353542,7.437241,NA,15.6,28.299999
2007-01-19,22.985001,41.450001,12.19,12.399058,43.163334,38.254425,26.817736,15.883333,45.25,NA,NA,44,13.315,32.900002,45.82,7.4,6.180865,23.6,10.45,51.950001,19.556103,NA,NA,NA,NA,NA,NA,14.376856,NA,NA,24,9.353542,7.228491,NA,15.6,28
2007-01-22,23.360001,43.700001,12.19,12.628091,43.706665,38.254425,26.958254,15.856666,45.580002,NA,NA,44,13.62,32.990002,45.82,7.443,6.196795,23.6,10.49,51.950001,19.556103,NA,NA,NA,NA,NA,NA,14.191788,NA,NA,24,9.353542,7.203932,NA,15.6,27.49
2007-01-23,23.645,43.959999,12.19,12.976344,43.669998,38.254425,27.37278,15.823333,45.189999,NA,NA,44,13.6875,32.689999,45.82,7.565,6.282817,24.450001,10.745,52.150002,19.556103,NA,NA,NA,NA,NA,NA,14.659328,NA,NA,24,9.353542,7.064765,NA,15.8,27.5
2007-01-24,24.355,43.84,12.19,13.490878,43.676666,38.254425,27.428986,15.813333,44.830002,NA,NA,44,13.99,32.57,45.82,7.612,6.435746,26.83,10.995,52.580002,19.556103,NA,NA,NA,NA,NA,NA,15.550577,NA,NA,24,9.353542,7.367658,NA,15.8,28.4
2007-01-25,23.805,42.639999,12.19,13.660298,42.876667,38.254425,26.684244,15.45,44.07,NA,NA,44,13.815,32.75,45.82,7.559,6.372025,26.6,10.835,52.5,19.556103,NA,NA,NA,NA,NA,NA,15.297326,NA,NA,25,9.353542,7.285795,NA,15.8,28.27
2007-01-26,23.715,43.150002,12.19,14.0713,43.413334,38.254425,26.789633,15.36,43.509998,NA,NA,44,13.97,33.049999,45.82,7.588,6.372025,26.5,11.005,52.5,19.556103,NA,NA,NA,NA,NA,NA,15.226708,NA,NA,25,9.353542,7.326726,NA,15.8,28
2007-01-29,23.5,42.450001,12.19,13.996002,42.986668,38.254425,26.508596,15.11,43.009998,NA,NA,44,13.69,33.799999,45.82,7.493,6.372025,26.370001,11,52.400002,19.556103,NA,NA,NA,NA,NA,NA,15.204792,NA,NA,25,9.353542,7.326726,NA,15.8,28
2007-01-30,23.959999,43.09,12.19,14.014827,43.290001,38.254425,27.056616,15.263333,43.310001,NA,NA,44,13.8275,33.48,45.82,7.619,6.419815,26.6,10.925,52.700001,19.556103,NA,NA,NA,NA,NA,NA,15.341158,NA,NA,25,9.353542,7.334913,NA,15.88,29
2007-01-31,24.415001,43.77,12.19,14.184247,44.086666,38.254425,27.351702,15.773333,44.830002,NA,NA,44,13.775,33.869999,45.82,7.496,6.442118,27.27,10.85,53.5,19.556103,NA,NA,NA,NA,NA,NA,16.195879,NA,NA,25,9.353542,7.367658,NA,15.88,29
2007-02-01,24.49,43.709999,12.19,14.567013,45.540001,38.254425,27.597607,16.113333,44.889999,NA,NA,44,14.31,33.220001,45.82,7.538,6.400699,27.18,10.64,54,19.556103,NA,NA,NA,NA,NA,NA,16.254322,NA,NA,25,9.353542,7.494545,NA,15.8,28.549999
2007-02-02,24.52,43.880001,12.19,14.262682,46.386665,38.254425,27.969976,16.200001,45.029999,NA,NA,44,14.21,33.689999,45.82,7.44,6.435746,27.440001,10.83,53.5,19.556103,NA,NA,NA,NA,NA,NA,16.546534,NA,NA,25,9.353542,7.478173,NA,15.88,29.5
2007-02-05,24.52,NA,12.31,14.262682,46.386665,33.396103,27.969976,16.200001,45.029999,NA,NA,42.490002,NA,33.689999,47.380001,NA,6.435746,27.440001,10.83,53.5,19.922779,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,9.353542,7.478173,NA,15.88,29.5
