"date","TOTBUSSMSA","AMTMVS","RSXFS","S42SMSM144SCEN","BUSINV","AMTMTI","RETAILIMSA","I423IMM144SCEN","R42IRSM163SCEN"
1992-01-01,517626,227721,146925,142980,808292,377883,242006,117798,1.32
1992-02-01,520289,228860,147223,144206,809600,376757,243508,118137,1.31
1992-03-01,530715,238604,146805,145306,812725,377688,244490,118464,1.31
1992-04-01,533290,239877,148032,145381,815453,377491,248011,118365,1.31
1992-05-01,536742,243732,149010,144000,815016,377450,248451,118129,1.31
1992-06-01,541482,245693,149800,145989,820447,377055,250561,120285,1.32
1992-07-01,545177,245608,150761,148808,825098,377301,255808,119470,1.29
1992-08-01,541368,242874,151067,147427,826136,379317,254217,120572,1.31
1992-09-01,546733,244894,152588,149251,827513,379343,254826,121252,1.3
1992-10-01,545987,243190,153521,149276,827914,379138,255151,121242,1.3
1992-11-01,550285,246901,153583,149801,829839,377990,256549,122368,1.3
1992-12-01,552282,248199,155614,148469,835800,378609,260277,123435,1.33
1993-01-01,558864,247812,157555,153497,835983,376454,261977,123313,1.29
1993-02-01,558311,249517,156266,152528,838089,376070,264812,123399,1.29
1993-03-01,554939,250346,154752,149841,844806,377886,268089,124773,1.33
1993-04-01,560899,248681,158979,153239,846782,378720,268440,125033,1.3
1993-05-01,568488,251798,160605,156085,847279,378707,269177,124670,1.28
1993-06-01,566266,253388,160127,152751,849135,379336,270101,124752,1.31
1993-07-01,566307,248759,162816,154732,849450,378300,271413,125102,1.29
1993-08-01,566668,249283,162506,154879,850877,378664,270425,126359,1.3
1993-09-01,571317,252679,163258,155380,855018,379925,272235,126840,1.31
1993-10-01,577000,256449,164685,155866,855322,379690,273558,127086,1.3
1993-11-01,577705,255017,166594,156094,859037,379820,276059,127481,1.3
1993-12-01,577177,256087,168161,152929,863125,379806,278477,128851,1.34
1994-01-01,584335,259834,167518,156983,863021,380801,277376,129029,1.3
1994-02-01,588455,261152,169649,157654,867670,381749,279423,130021,1.31
1994-03-01,595174,261862,172766,160546,868751,382683,280320,129342,1.28
1994-04-01,596719,263499,173106,160114,871989,383704,281775,130573,1.29
1994-05-01,600167,266632,172329,161206,882927,385942,286905,133392,1.3
1994-06-01,605009,268116,174241,162652,888689,387435,291434,133462,1.29
1994-07-01,610274,271246,174781,164247,894473,391062,291509,135588,1.29
1994-08-01,619487,273778,177295,168414,902148,392407,296381,136055,1.27
1994-09-01,619872,272898,178787,168187,907994,392820,300093,137061,1.28
1994-10-01,628003,276184,180561,171258,913439,394981,300409,139409,1.27
1994-11-01,631779,279548,180703,171528,919492,397511,302308,140240,1.28
1994-12-01,642382,286731,181524,174127,926395,399934,304483,141975,1.27
1995-01-01,644664,286480,182413,175771,935639,403311,308180,143094,1.28
1995-02-01,645312,288455,179488,177369,942713,406325,310376,144919,1.27
1995-03-01,641172,284903,181013,175256,951538,409908,313061,146537,1.3
1995-04-01,649536,289640,181686,178210,959239,412519,315718,147705,1.3
1995-05-01,647742,285641,183536,178565,965634,416185,317587,148581,1.3
1995-06-01,654819,288557,186081,180181,969558,417940,318321,149443,1.29
1995-07-01,653374,287862,185431,180081,972934,419612,317658,150469,1.31
1995-08-01,657867,289737,186806,181324,976097,420051,320043,150618,1.3
1995-09-01,664775,295286,187366,182123,980029,422786,320168,151232,1.3
1995-10-01,662186,292655,186565,182966,984223,423789,322429,152682,1.3
1995-11-01,665470,291561,189055,184854,986767,423419,325199,153588,1.29
1995-12-01,678351,300609,190774,186968,985385,424802,322191,154089,1.28
