"date","IURSA","ICSA","CCSA","IC4WSA"
1971-01-02,3.9,303000,2102000,304750
1971-01-09,4,288000,2124000,300250
1971-01-16,3.9,299000,2100000,302750
1971-01-23,3.9,312000,2091000,300500
1971-01-30,3.9,292000,2086000,297750
1971-02-06,4,296000,2120000,299750
1971-02-13,3.9,282000,2079000,295500
1971-02-20,4,268000,2120000,284500
1971-02-27,3.9,290000,2081000,284000
1971-03-06,4,297000,2132000,284250
1971-03-13,4,287000,2126000,285500
1971-03-20,4,291000,2140000,291250
1971-03-27,4.1,3e+05,2157000,293750
1971-04-03,4,299000,2135000,294250
1971-04-10,4.1,279000,2156000,292250
1971-04-17,4.1,284000,2163000,290500
1971-04-24,4,288000,2127000,287500
1971-05-01,4.1,290000,2157000,285250
1971-05-08,4.1,293000,2179000,288750
1971-05-15,4.1,284000,2179000,288750
1971-05-22,4.1,295000,2167000,290500
1971-05-29,4.1,299000,2171000,292750
1971-06-05,4.1,301000,2194000,294750
1971-06-12,4.1,295000,2199000,297500
1971-06-19,4.1,299000,2182000,298500
1971-06-26,4.1,291000,2172000,296500
1971-07-03,4,277000,2116000,290500
1971-07-10,4,264000,2130000,282750
1971-07-17,4,313000,2087000,286250
1971-07-24,4,304000,2129000,289500
1971-07-31,4.1,308000,2150000,297250
1971-08-07,4.1,349000,2174000,318500
1971-08-14,4.2,325000,2202000,321500
1971-08-21,4.1,320000,2186000,325500
1971-08-28,4.1,307000,2188000,325250
1971-09-04,4.2,359000,2228000,327750
1971-09-11,4.3,312000,2250000,324500
1971-09-18,4.3,302000,2246000,320000
1971-09-25,4.2,308000,2233000,320250
1971-10-02,4.2,299000,2216000,305250
1971-10-09,4.3,313000,2247000,305500
1971-10-16,4.2,299000,2190000,304750
1971-10-23,4.1,294000,2176000,301250
1971-10-30,4.2,283000,2194000,297250
1971-11-06,4.2,301000,2204000,294250
1971-11-13,4.1,295000,2134000,293250
1971-11-20,4.1,274000,2134000,288250
1971-11-27,4,278000,2111000,287000
1971-12-04,4,299000,2117000,286500
1971-12-11,4,280000,2085000,282750
1971-12-18,4,269000,2109000,281500
1971-12-25,3.9,244000,2037000,273000
1972-01-01,3.7,279000,1934000,268000
1972-01-08,3.7,295000,1931000,271750
1972-01-15,3.7,250000,1923000,267000
1972-01-22,3.6,263000,1907000,271750
1972-01-29,3.6,269000,1921000,269250
1972-02-05,3.7,276000,1941000,264500
1972-02-12,3.7,266000,1960000,268500
1972-02-19,3.6,258000,1902000,267250
1972-02-26,3.6,254000,1903000,263500
1972-03-04,3.6,257000,1905000,258750
1972-03-11,3.6,264000,1906000,258250
1972-03-18,3.6,266000,1907000,260250
1972-03-25,3.6,264000,1877000,262750
1972-04-01,3.6,258000,1913000,263000
1972-04-08,3.6,274000,1910000,265500
1972-04-15,3.6,259000,1891000,263750
1972-04-22,3.5,259000,1855000,262500
1972-04-29,3.5,265000,1870000,264250
1972-05-06,3.6,271000,1893000,263500
