"date","TOTALSL","FLREVOLSL","NONREVSL"
1943-01-01,6.57783,NA,6.57783
1943-02-01,6.46304,NA,6.46304
1943-03-01,6.23421,NA,6.23421
1943-04-01,6.12575,NA,6.12575
1943-05-01,5.93626,NA,5.93626
1943-06-01,5.82223,NA,5.82223
1943-07-01,5.71837,NA,5.71837
1943-08-01,5.63875,NA,5.63875
1943-09-01,5.64759,NA,5.64759
1943-10-01,5.65074,NA,5.65074
1943-11-01,5.57687,NA,5.57687
1943-12-01,5.46252,NA,5.46252
1944-01-01,5.39857,NA,5.39857
1944-02-01,5.35436,NA,5.35436
1944-03-01,5.37036,NA,5.37036
1944-04-01,5.37918,NA,5.37918
1944-05-01,5.4305,NA,5.4305
1944-06-01,5.46779,NA,5.46779
1944-07-01,5.4982,NA,5.4982
1944-08-01,5.53396,NA,5.53396
1944-09-01,5.54923,NA,5.54923
1944-10-01,5.56593,NA,5.56593
1944-11-01,5.5701,NA,5.5701
1944-12-01,5.58569,NA,5.58569
1945-01-01,5.60273,NA,5.60273
1945-02-01,5.57381,NA,5.57381
1945-03-01,5.66769,NA,5.66769
1945-04-01,5.58245,NA,5.58245
1945-05-01,5.60525,NA,5.60525
1945-06-01,5.70445,NA,5.70445
1945-07-01,5.74878,NA,5.74878
1945-08-01,5.76701,NA,5.76701
1945-09-01,5.75827,NA,5.75827
1945-10-01,5.93202,NA,5.93202
1945-11-01,6.09555,NA,6.09555
1945-12-01,6.56705,NA,6.56705
1946-01-01,6.50451,NA,6.50451
1946-02-01,6.76595,NA,6.76595
1946-03-01,7.00545,NA,7.00545
1946-04-01,7.33322,NA,7.33322
1946-05-01,7.53237,NA,7.53237
1946-06-01,7.70221,NA,7.70221
1946-07-01,7.93364,NA,7.93364
1946-08-01,8.34516,NA,8.34516
1946-09-01,8.5996,NA,8.5996
1946-10-01,8.89514,NA,8.89514
1946-11-01,9.21828,NA,9.21828
1946-12-01,9.44439,NA,9.44439
1947-01-01,9.7702,NA,9.7702
1947-02-01,10.089,NA,10.089
1947-03-01,10.34585,NA,10.34585
1947-04-01,10.64594,NA,10.64594
1947-05-01,10.92631,NA,10.92631
1947-06-01,11.13565,NA,11.13565
1947-07-01,11.36412,NA,11.36412
1947-08-01,11.58288,NA,11.58288
1947-09-01,11.8603,NA,11.8603
1947-10-01,12.20513,NA,12.20513
1947-11-01,12.53487,NA,12.53487
1947-12-01,12.85562,NA,12.85562
1948-01-01,13.22861,NA,13.22861
1948-02-01,13.52428,NA,13.52428
1948-03-01,13.92124,NA,13.92124
1948-04-01,14.26407,NA,14.26407
1948-05-01,14.50028,NA,14.50028
1948-06-01,14.77527,NA,14.77527
1948-07-01,15.04157,NA,15.04157
1948-08-01,15.2297,NA,15.2297
1948-09-01,15.51514,NA,15.51514
1948-10-01,15.57962,NA,15.57962
1948-11-01,15.60337,NA,15.60337
1948-12-01,15.80323,NA,15.80323
1949-01-01,15.9017,NA,15.9017
1949-02-01,16.00926,NA,16.00926
1949-03-01,16.09298,NA,16.09298
1949-04-01,16.4132,NA,16.4132
1949-05-01,16.6381,NA,16.6381
1949-06-01,16.86093,NA,16.86093
1949-07-01,17.0611,NA,17.0611
1949-08-01,17.35549,NA,17.35549
1949-09-01,17.69516,NA,17.69516
