"total.date","total.values","pub.values","priv.values","edif.values","agua.values","elec.values","trans.values","petr.values","otras.values"
2022-01-01,67.93215908,60.18324883,68.7520608,74.44251047,80.0928865,49.39315693,77.57582089,45.01123299,86.57731328
2021-12-01,73.56528814,64.28788204,79.89033104,84.61023095,68.09722898,81.29200656,80.76904395,54.06642714,97.89045082
2021-11-01,73.77911771,63.66654093,77.5537458,75.87905954,63.18239389,63.86961051,84.38692576,55.46568803,89.39487991
2021-10-01,73.30084114,65.46161722,74.34154099,66.80569646,43.69336269,67.11427684,83.04129164,53.29966089,89.79017123
2021-09-01,73.12963925,62.5988953,75.57325568,67.79688152,50.46804061,80.64870238,84.2396224,45.91990394,89.03809286
2021-08-01,69.76865398,59.45382551,71.18784507,67.98734724,43.51282345,68.61738614,77.33688573,45.49176496,82.51137457
2021-07-01,66.45332884,53.97568469,72.67884356,67.55151473,42.21437001,60.61564799,71.10982196,44.48482456,76.28795048
2021-06-01,62.78043125,49.51655921,68.07005139,66.19487842,39.01187586,57.96649874,65.95906555,40.40868026,67.21476933
2021-05-01,63.86008815,48.15241817,70.65546259,64.42160138,36.61135367,59.65806538,66.36683758,40.89454468,72.4431797
2021-04-01,66.06175963,50.75934335,69.55759274,64.60265099,44.18095389,67.39017795,70.18090749,37.18497729,77.89373451
2021-03-01,68.60811285,53.9483683,71.52348107,66.59452082,45.29359621,69.52604213,79.79294548,30.22656672,85.4626047
2021-02-01,64.36083543,48.645353,68.79541876,66.22030575,41.93738822,63.8952583,72.22961212,30.00472851,75.43550962
2021-01-01,61.1107197,47.55395118,66.40895894,64.4569619,46.30204159,73.01126689,67.13994928,24.13965402,77.5242545
2020-12-01,69.52964321,56.15165786,80.52978558,82.15437166,91.74762168,80.74757682,72.86148658,34.91355512,85.61031198
2020-11-01,66.90635891,52.95803941,80.97335635,86.99862014,85.03985412,89.47898122,73.05193841,29.09047011,80.56679217
2020-10-01,70.20989405,56.96793751,78.09860287,80.58937744,74.40834018,118.65756591,74.8304254,29.07796196,76.23092011
2020-09-01,66.96737807,51.18873327,77.38116524,78.98356376,68.412836,95.22874007,70.20191787,29.98896847,75.7185377
2020-08-01,65.50964962,52.59622647,76.76133996,79.82297243,57.46528629,89.18953693,72.45623835,31.46843405,70.75318478
2020-07-01,63.38113377,47.18381937,75.2315015,78.70433363,60.62090681,79.46073971,65.65646312,27.77038203,76.54168116
2020-06-01,61.22159787,46.78017013,70.42753326,66.32417389,45.38521667,83.94711238,63.99888967,27.58813871,74.36523135
2020-05-01,61.14045464,47.33805564,66.68119436,66.47764066,33.40398074,84.32233673,65.23261747,24.84529924,73.05279186
2020-04-01,65.72478059,51.50494972,71.54365186,70.74796965,45.85939795,87.14676154,71.63557679,28.17829919,79.83974366
2020-03-01,75.32966992,58.28874409,88.67857785,91.4205281,71.27227957,98.72473803,78.45053495,30.35821123,95.3097862
2020-02-01,76.55722385,60.48867973,93.46945369,106.72490545,53.53022517,104.21584932,81.79078645,42.71549565,81.35753434
2020-01-01,75.66960644,57.25174053,95.02154108,108.32838544,68.18608285,106.52123668,77.65510556,39.8457708,87.23748449
2019-12-01,86.70141231,70.46165852,107.30964122,123.05807231,104.46636995,126.50627947,90.38054082,38.58250382,93.59508796
2019-11-01,84.27700506,65.39277926,113.64870254,121.98244839,88.23771509,136.90433563,81.39708561,37.14956699,101.67527503
2019-10-01,84.15283041,67.30288281,109.37426432,109.88248204,65.12152191,134.01191369,87.58038485,32.72464963,92.81748541
2019-09-01,83.02760872,63.39267502,110.95687266,112.76154563,66.07963004,126.58096755,82.33130931,34.65129779,99.65306393
2019-08-01,83.40011303,66.56483686,108.1343763,112.8145784,66.28490586,134.58392096,80.72702327,39.45801072,103.3325816
2019-07-01,82.95731533,64.62281553,110.27393169,115.93635053,69.63010977,128.97045064,78.62497748,37.71667732,84.00089054
2019-06-01,84.16190127,66.22453343,115.15651278,115.98195268,61.67083645,135.84522654,80.94969318,39.95075743,89.71993434
2019-05-01,84.49470222,62.61267194,114.61793475,118.02029323,69.34620716,136.97473926,76.89009423,33.99259506,82.07340935
2019-04-01,84.82601092,64.68661689,115.45776565,106.44419574,64.65565619,132.11811612,80.77623509,32.26765254,103.16898872
2019-03-01,86.93190699,64.66689889,115.55913911,114.7716634,69.29846301,122.7605267,86.09048612,31.88128521,106.55799844
2019-02-01,88.37401644,68.71366854,109.30263723,103.7678141,85.73370078,109.29659951,81.09336727,33.46430814,122.14878131
2019-01-01,87.97786212,67.27137516,104.93249649,97.24829476,68.88496243,114.00748036,82.66041473,31.34220564,123.54009954
2018-12-01,96.92468964,82.50314275,120.97387176,106.20591191,98.35593092,193.97396957,72.31922959,36.29275597,137.70402905
2018-11-01,92.38875355,84.34991375,105.37940374,106.4135176,75.99161624,134.10254478,83.28105929,48.33594112,141.85502135
2018-10-01,94.06346424,83.70973058,109.52112156,107.60471608,84.47900311,136.65521618,76.76638457,33.9664162,150.73754305
2018-09-01,90.64878893,82.74359048,99.22913907,100.5746667,77.05392231,114.072168,80.37843195,35.45367129,157.45563352
2018-08-01,92.04299531,77.14425974,111.66664445,103.41633562,71.78259202,108.82159078,77.77488849,25.38045515,165.88776681
2018-07-01,90.83112479,85.62722255,99.82463635,99.20536133,73.00308762,106.91832782,94.2550352,31.17078047,171.95711447
2018-06-01,91.4555746,86.14199052,102.66429195,98.62099028,70.21356077,101.30810443,94.627374,24.29773953,159.70495589
2018-05-01,95.55444398,89.39589348,108.83798191,119.44034279,73.19603432,121.86965738,102.4422532,25.54751351,163.19655146
2018-04-01,90.07537325,80.31514276,102.14293734,103.57759225,63.13946909,129.40456288,90.94613472,31.39255024,182.60043949
2018-03-01,92.22245605,90.69522246,99.62107247,102.98545897,92.80317296,123.77907084,97.60781349,32.40946769,178.08305107
2018-02-01,90.0547094,86.51007541,99.93101321,98.70109851,85.82414464,96.26512373,100.76249225,29.97941963,161.75623296
2018-01-01,90.05968455,90.15266226,94.93936599,98.95230455,105.35447802,93.04895121,91.2163079,30.51005694,155.39316308
2017-12-01,108.24312317,104.68284899,109.86748388,136.56714086,91.76830581,142.30372461,99.25920217,47.72830558,155.70847467
2017-11-01,100.8414193,92.06604209,105.16878789,106.39194067,83.27636309,119.5588894,93.0527973,46.59252501,134.02310838
2017-10-01,100.56153331,94.19082286,107.14378178,119.26674919,63.03314475,155.86976303,82.79782123,48.87312273,125.75594582
2017-09-01,95.09736478,88.70609541,104.81295632,122.92513056,58.52234635,103.85839054,80.48914135,38.01691739,120.24671155
2017-08-01,94.24934403,75.55042778,116.53741731,120.91425478,64.81966292,118.87083684,81.16697971,42.18052485,157.4586425
2017-07-01,90.94252016,78.3954916,107.11738232,107.83095991,86.02797096,143.26718153,76.44440174,41.51139833,124.49489814
2017-06-01,89.44102792,75.66216374,111.35247024,117.61238072,55.99206212,125.65997315,78.14224455,38.89191446,115.66566119
2017-05-01,91.1175816,75.07410326,112.51256968,114.41037157,57.97644678,125.65890756,85.69389436,41.90903481,102.86142892
