"date","MICH","UMCSENT"
1978-01-01,5.2,83.7
1978-02-01,6.4,84.3
1978-03-01,6.3,78.8
1978-04-01,6.7,81.6
1978-05-01,6.9,82.9
1978-06-01,6.5,80
1978-07-01,6.6,82.4
1978-08-01,8.7,78.4
1978-09-01,6.9,80.4
1978-10-01,7.4,79.3
1978-11-01,7.5,75
1978-12-01,7.3,66.1
1979-01-01,7.8,72.1
1979-02-01,9.3,73.9
1979-03-01,8.8,68.4
1979-04-01,9.7,66
1979-05-01,9.8,68.1
1979-06-01,9.9,65.8
1979-07-01,9.9,60.4
1979-08-01,9.9,64.5
1979-09-01,9.6,66.7
1979-10-01,9,62.1
1979-11-01,10,63.3
1979-12-01,9.9,61
1980-01-01,10.4,67
1980-02-01,10,66.9
1980-03-01,10.2,56.5
1980-04-01,10.1,52.7
1980-05-01,8.6,51.7
1980-06-01,8.5,58.7
1980-07-01,9.6,62.3
1980-08-01,7.6,67.3
1980-09-01,9.1,73.7
1980-10-01,9.6,75
1980-11-01,8.6,76.7
1980-12-01,9.7,64.5
1981-01-01,9.5,71.4
1981-02-01,8.6,66.9
1981-03-01,7.2,66.5
1981-04-01,8,72.4
1981-05-01,7.3,76.3
1981-06-01,7.1,73.1
1981-07-01,6.8,74.1
1981-08-01,5.8,77.2
1981-09-01,6.9,73.1
1981-10-01,6.7,70.3
1981-11-01,7.3,62.5
1981-12-01,5.3,64.3
1982-01-01,5.1,71
1982-02-01,5.2,66.5
1982-03-01,4.2,62
1982-04-01,4.7,65.5
1982-05-01,3.5,67.5
1982-06-01,4.6,65.7
1982-07-01,5,65.4
1982-08-01,4.8,65.4
1982-09-01,4.5,69.3
1982-10-01,4.7,73.4
1982-11-01,4.5,72.1
1982-12-01,3.7,71.9
1983-01-01,2.8,70.4
1983-02-01,3,74.6
1983-03-01,1.8,80.8
1983-04-01,3.4,89.1
1983-05-01,3.2,93.3
1983-06-01,3.2,92.2
1983-07-01,3.2,92.8
1983-08-01,3.3,90.9
1983-09-01,3.3,89.9
1983-10-01,3.7,89.3
1983-11-01,3.5,91.1
1983-12-01,3.5,94.2
1984-01-01,3.2,100.1
1984-02-01,3.3,97.4
1984-03-01,3.4,101
1984-04-01,3.9,96.1
1984-05-01,4.2,98.1
1984-06-01,4.2,95.5
1984-07-01,3.4,96.6
1984-08-01,3,99.1
1984-09-01,3,100.9
1984-10-01,3.5,96.3
1984-11-01,3.4,95.7
1984-12-01,3.3,92.9
1985-01-01,2.9,96
1985-02-01,3.1,93.7
1985-03-01,3,93.7
1985-04-01,3.3,94.6
1985-05-01,3.2,91.8
1985-06-01,3.4,96.5
1985-07-01,2.8,94
1985-08-01,2.8,92.4
1985-09-01,2.9,92.1
1985-10-01,3.3,88.4
1985-11-01,3.1,90.9
1985-12-01,3.5,93.9
1986-01-01,2.9,95.6
1986-02-01,2.8,95.9
1986-03-01,2.3,95.1
1986-04-01,2.4,96.2
1986-05-01,2.7,94.8
1986-06-01,2.9,99.3
1986-07-01,2.8,97.7
1986-08-01,3,94.9
1986-09-01,2.9,91.9
1986-10-01,3.2,95.6
1986-11-01,2.8,91.4
1986-12-01,3,89.1
1987-01-01,2.9,90.4
1987-02-01,3.1,90.2
1987-03-01,3,90.8
1987-04-01,3,92.8
1987-05-01,3.4,91.1
1987-06-01,3.3,91.5
1987-07-01,3.1,93.7
