"des_tot.date","des_tot.values","des_h.values","des_m.values"
2021-06-01,4.0237718794,4.094415439671,3.912755075909
2021-05-01,3.993945948971,4.033575799619,3.933846741301
2021-04-01,4.652681066516,4.99833540357,4.102492218955
2021-03-01,3.894450685886,3.988097176622,3.744901756439
2021-02-01,4.374475733076,4.499355569136,4.169442229922
2021-01-01,4.73382237731,4.763516098072,4.685315347186
2020-12-01,3.802891941827,3.86221830165,3.709385731317
2020-11-01,4.371151017155,4.683778623686,3.870569065194
2020-10-01,4.697674962554,4.77669951822,4.571049956076
2020-09-01,5.088547137619,5.441479914778,4.514965130621
2020-08-01,5.240502465774,5.288690164422,5.158609962379
2020-07-01,5.387195461913,4.817815132245,6.344423084518
2020-06-01,5.492170984831,5.917720370434,4.837228839898
2020-05-01,4.19274123,5.1462058,2.72095818
2020-04-01,4.67468238,4.98488449,4.18281225
2020-03-01,2.93623402,2.89344358,3.00064395
2020-02-01,3.5711979,3.53882667,3.62071328
2020-01-01,3.79071444,3.66305478,3.98699554
2019-12-01,2.90582251,3.03486501,2.70963191
2019-11-01,3.44158846,3.29255421,3.66791188
2019-10-01,3.64855318,3.67215447,3.61265959
2019-09-01,3.80020432,3.81844598,3.77225829
2019-08-01,3.73528496,3.85101452,3.55332636
2019-07-01,3.71326074,3.53504046,3.99156289
2019-06-01,3.56588516,3.54941684,3.59108426
2019-05-01,3.51213517,3.45318362,3.60378611
2019-04-01,3.49959409,3.46479369,3.55445569
2019-03-01,3.24544326,3.15568808,3.38464987
2019-02-01,3.29943176,3.19306395,3.47002674
2019-01-01,3.56775405,3.44842957,3.75945128
2018-12-01,3.35449462,3.42802819,3.23973722
2018-11-01,3.26346553,3.15495213,3.43605593
2018-10-01,3.23839404,3.00537714,3.61480411
2018-09-01,3.60037254,3.41266939,3.89590916
2018-08-01,3.46852407,3.17789961,3.93871671
2018-07-01,3.47763888,3.26658366,3.82740293
2018-06-01,3.38527594,3.46535773,3.25729395
2018-05-01,3.22184807,3.26562856,3.15072078
2018-04-01,3.398701,3.42712999,3.35335258
2018-03-01,2.93962909,2.90221563,3.00039346
2018-02-01,3.20505718,3.01340645,3.51714165
2018-01-01,3.38919158,3.42250815,3.33496442
2017-12-01,3.12786122,3.22836932,2.96338585
2017-11-01,3.41921411,3.05047128,4.00668741
2017-10-01,3.50177064,3.32192928,3.79207463
2017-09-01,3.59753175,3.59124963,3.60756433
2017-08-01,3.52564758,3.26552939,3.95176118
2017-07-01,3.41034128,3.3907674,3.44274967
2017-06-01,3.2667071,3.16267854,3.43312051
2017-05-01,3.56226757,3.43269609,3.76969863
2017-04-01,3.46470519,3.32981084,3.68693961
2017-03-01,3.1887216,3.02250108,3.45679536
2017-02-01,3.3712941,3.33701026,3.42639282
2017-01-01,3.5924882,3.45654725,3.8144705
2016-12-01,3.3710286,3.37963778,3.35705866
2016-11-01,3.51486793,3.54514596,3.46583075
2016-10-01,3.67093013,3.66902137,3.67399591
2016-09-01,4.13839194,3.95370094,4.43705075
2016-08-01,4.0038332,3.82732057,4.28813348
2016-07-01,4.00708718,3.92122876,4.14445973
2016-06-01,3.93033896,3.83075762,4.0934394
2016-05-01,4.0338131,3.98691491,4.10897436
2016-04-01,3.79895766,3.86580278,3.69073327
2016-03-01,3.73772355,3.82144321,3.60041547
2016-02-01,4.14591136,4.02576572,4.34104837
2016-01-01,4.2363687,4.2483955,4.21666926
2015-12-01,3.96267474,4.01571144,3.8760493
2015-11-01,3.95955845,3.89946519,4.05393341
2015-10-01,4.55122966,4.28814186,4.97519983
2015-09-01,4.49763049,4.42443547,4.61701037
2015-08-01,4.68048476,4.5114679,4.95302105
2015-07-01,4.717361,4.48181888,5.10478063
2015-06-01,4.40523922,4.04286241,4.98990849
2015-05-01,4.44613174,4.30178147,4.68290663
2015-04-01,4.31373113,4.24646289,4.42533843
2015-03-01,3.86297662,3.78143023,3.9975829
