"Date","ARS.X","EURUSD.X","GBPUSD.X","JPY.X","CAD.X","CHF.X","SEK.X","CZK.X","PLN.X","CNY.X","KRW.X","INR.X","BRL.X","CLP.X","RUB.X","TRY.X","MXN.X","EURMXN.X"
2007-01-02,3.0543,1.327598,1.973399,118.830002,1.1648,1.2131,6.7969,20.6485,2.8814,7.806,914.419983,44.122002,2.131,508.459991,26.305,1.4012,10.7605,14.018
2007-01-03,3.0505,1.317107,1.95221,119.339996,1.1726,1.225,6.854,20.872,2.9149,7.806,914.309998,44.111,2.1345,517.799988,26.325001,1.402,10.83,13.958
2007-01-04,3.0643,1.309295,1.942993,118.830002,1.1776,1.232,6.9351,21.1075,2.9699,7.7955,925.23999,44.095001,2.139,518.51001,26.389,1.412,10.865,13.899
2007-01-05,3.0743,1.298499,1.9308,118.690002,1.1738,1.2374,6.9732,21.27,2.988,7.799,925.440002,44.139999,2.147,521.030029,26.465,1.436,10.912,13.97
2007-01-08,3.077,1.304002,1.940316,118.690002,1.1743,1.2348,6.9862,21.179001,2.9611,7.8027,924.369995,44.255001,2.1465,519.72998,26.469999,1.436,10.9393,13.93
2007-01-09,3.079,1.299697,1.939187,119.300003,1.1761,1.2415,7.0193,21.282499,2.9882,7.7966,928.169983,44.209999,2.149,520.51001,26.483,1.441,11.002,13.932
2007-01-10,3.0768,1.293996,1.932404,119.510002,1.1738,1.2461,7.0575,21.372,2.9938,7.7965,930.159973,44.375,2.1496,522.849976,26.546,1.44,10.9685,14.052
2007-01-11,3.0743,1.289507,1.944504,120.300003,1.178,1.2496,7.087,21.488001,3.0072,7.7848,930.309998,44.424999,2.1415,518.659973,26.597,1.429,10.998,13.908
2007-01-12,3.0768,1.292808,1.957215,120.300003,1.1697,1.2475,7.0308,21.5,2.9957,7.7873,927.659973,44.255001,2.137,516.349976,26.591,1.422,10.93,13.87
2007-01-15,3.0768,1.293594,1.964405,120.419998,1.1684,1.2483,7.0183,21.447001,2.9905,7.7831,926.669983,44.134998,2.1368,516.25,26.566999,1.4175,10.9603,13.878
2007-01-16,3.0768,1.292006,1.961207,120.790001,1.1762,1.2486,7.0044,21.518,3.0069,7.7801,925.48999,44.125,2.1396,542.25,26.566999,1.4255,10.9519,13.937
2007-01-17,3.0718,1.293996,1.970599,120.620003,1.1723,1.247,7.0132,21.493999,3.001,7.765,925.150024,44.025002,2.1297,518.159973,26.552999,1.4175,10.9418,13.868
2007-01-18,3.0743,1.296092,1.974217,121.260002,1.1738,1.2472,7.0387,21.415001,2.9697,7.7605,923.890015,44.084999,2.128,516.840027,26.518999,1.4153,10.9177,13.839
2007-01-19,3.0818,1.296899,1.973204,121.209999,1.1735,1.2485,7.0265,21.416,2.9674,7.7665,926.72998,44.084999,2.1245,518.880005,26.518,1.408,10.838,13.864
2007-01-22,3.086,1.295001,1.97691,121.620003,1.181,1.2492,7.043,21.518,2.9791,7.7639,930.530029,44.044998,2.1285,517.669983,26.538,1.405,10.9352,13.782
2007-01-23,3.0918,1.302304,1.9822,121.68,1.1808,1.2427,6.976,21.544001,2.9794,7.7665,923.280029,44.075001,2.1305,518.419983,26.481001,1.406,10.9375,13.952
2007-01-24,3.0918,1.296294,1.968,120.879997,1.1788,1.2482,7.0099,21.627001,2.9885,7.7624,927.950012,44.084999,2.125,517.450012,26.525999,1.408,10.9161,13.937
2007-01-25,3.0893,1.293996,1.9651,121.620003,1.1832,1.2479,7.021,21.806,3.0492,7.7582,928.700012,44.084999,2.127,517.52002,26.533001,1.422,11.0417,13.908
