"SF290118.date","SF290118.value","SF290130.value","SF290113.value","SF290121.value","SF290124.value","SF290127.value","SF290122.value","SF290123.value","SF290115.value","SF290114.value","SF290128.value","SF290119.value","SF290129.value","SF290111.value","SF290126.value","SF290120.value","SF290125.value","SF290116.value","SF290117.value","SF290112.value","SF290132.value","SF290131.value"
2015-06-01,0,0,15.5222,15.8543,16.0966,0,0,0,15.5721,15.5733,0,0,0,15.4755,0,0,0,0,0,15.4748,0,0
2015-06-02,15.6412,0,15.4575,15.7666,15.827,0,0,0,15.5278,15.5377,0,0,0,0,0,0,0,0,0,15.4461,0,0
2015-06-03,15.687,0,15.5258,15.8349,15.939,0,0,0,15.586,15.518,0,0,0,15.4846,0,0,0,0,0,15.5033,0,0
2015-06-04,15.782,0,15.5762,15.82,0,0,0,0,15.689,15.6422,0,0,0,15.546,0,0,0,0,0,15.5872,0,0
2015-06-05,0,0,15.7349,16.021,0,0,16.0559,16.089,15.7981,15.7635,0,15.9679,0,0,0,15.9783,0,0,0,15.6961,0,0
2015-06-08,0,0,15.72,0,16.115,0,0,0,15.7205,15.7425,0,0,0,15.68,0,0,0,0,15.7935,15.6588,0,0
2015-06-09,15.7645,0,15.6011,15.8884,16.0471,0,0,0,15.6654,15.6263,0,0,0,0,0,0,0,0,0,15.5766,0,0
2015-06-10,15.627,0,15.4774,0,15.8675,0,0,0,15.555,15.5358,0,0,0,15.474,0,0,0,0,15.64,15.4735,0,0
2015-06-11,15.6569,0,15.438,0,15.8375,0,0,0,15.5285,15.4929,0,0,0,0,0,0,0,0,0,15.4574,0,0
2015-06-12,15.615,0,15.4473,0,0,0,0,0,15.518,15.4772,0,0,0,0,0,0,16.6955,0,0,15.4179,0,0
2015-06-15,15.645,0,15.4804,0,15.859,0,0,0,15.5364,15.5141,0,0,0,15.4465,0,0,0,0,15.614,15.4376,0,0
2015-06-16,15.6265,0,15.4616,15.7358,15.847,0,0,0,15.5243,15.4953,0,0,0,0,0,0,0,0,0,15.4232,0,0
2015-06-17,15.6225,0,15.4495,15.6076,0,0,0,0,15.5038,15.429,0,15.6688,0,0,0,0,0,0,0,15.4586,0,0
2015-06-18,15.4995,0,15.2908,15.6115,15.721,0,0,0,15.372,15.3271,0,0,0,15.2891,0,0,0,15.3292,0,15.2866,0,0
2015-06-19,0,0,15.3933,0,0,0,0,0,15.4257,15.3909,0,0,0,15.3294,0,0,0,0,0,15.3455,0,0
2015-06-22,15.5066,0,15.3446,15.65,0,0,0,0,15.4335,15.4054,0,0,0,15.3042,0,15.586,0,0,15.4913,15.326,0,0
