"date","A001RD3A086NBEA","A001RG3A086NBEA","A006RA3A086NBEA","A006RD3A086NBEA","A007RA3A086NBEA","A007RD3A086NBEA","A008RA3A086NBEA","A008RD3A086NBEA","A009RD3A086NBEA","A011RA3A086NBEA","A011RD3A086NBEA","A020RD3A086NBEA","A021RD3A086NBEA","A024RA3A086NBEA","A024RG3A086NBEA","A027RA3A086NBEA","A027RG3A086NBEA","A133RA3A086NBEA","A133RG3A086NBEA","A134RA3A086NBEA","A134RG3A086NBEA","A135RA3A086NBEA","A135RG3A086NBEA","A136RA3A086NBEA","A136RG3A086NBEA","A137RG3A086NBEA","A190RA3A086NBEA","A190RD3A086NBEA","A191RA3A086NBEA","A191RD3A086NBEA","A191RG3A086NBEA","A194RA3A086NBEA","A194RG3A086NBEA","A2009A3A086NBEA","A2009G3A086NBEA","A253RD3A086NBEA","A255RD3A086NBEA","A262RA3A086NBEA","A262RG3A086NBEA","A264RA3A086NBEA","A264RG3A086NBEA","A265RA3A086NBEA","A265RG3A086NBEA","A266RA3A086NBEA","A266RG3A086NBEA","A325RA3A086NBEA","A325RG3A086NBEA","A326RA3A086NBEA","A326RG3A086NBEA","A334RA3A086NBEA","A334RG3A086NBEA","A341RA3A086NBEA","A341RG3A086NBEA","A349RA3A086NBEA","A349RG3A086NBEA","A353RA3A086NBEA","A353RG3A086NBEA","A354RA3A086NBEA","A354RG3A086NBEA","A356RA3A086NBEA","A356RG3A086NBEA","A362RA3A086NBEA","A362RG3A086NBEA"
1929-01-01,9.398,9.371,4.592,14.263,5.887,10.41,4.056,13.453,3.559,18.58,5.071,13.67,9.555,4.766,9.491,7.377,9.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.934,9.181,6.83,9.418,9.391,14.645,2.011,6.376,10.385,16.353,9.647,4.145,9.754,2.244,9.007,2.125,9.471,3.838,5.414,4.797,21.946,1.839,34.171,12.455,12.884,6.78,5.796,24.415,4.312,4.634,22.932,2.062,30.942,11.537,13.793,7.424,9.24
1930-01-01,9.054,9.01,3.127,13.939,4.575,9.985,3.38,12.826,3.369,11.509,4.962,12.376,8.147,4.861,9.117,6.664,8.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.466,8.829,6.249,9.073,9.028,15.341,2.014,6.361,10.066,14.629,7.96,4.243,9.354,2.372,8.505,2.241,8.902,4.13,5.272,4.341,20.924,1.516,32.461,11.784,12.305,6.726,5.645,18.39,4.133,4.034,21.852,1.537,29.389,10.678,13.178,6.704,8.886
1931-01-01,8.124,8.12,2.033,12.287,3.251,9.24,2.277,11.946,3.082,9.783,4.493,9.739,6.584,4.833,8.503,6.175,7.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,7.966,5.849,8.141,8.136,15.503,2.039,6.344,9.475,11.228,6.225,4.245,8.705,2.516,7.762,2.37,8.097,4.454,4.922,4.039,18.169,1.229,29.362,11.606,10.505,6.639,5.3,13.143,3.767,3.701,18.913,1.216,26.62,11.223,11.221,6.219,7.973
1932-01-01,7.174,7.194,0.75,9.251,2.001,8.169,1.437,10.817,2.675,5.532,3.663,8.446,5.278,4.688,7.654,5.282,7.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.405,7.074,5.095,7.188,7.209,15.152,1.979,6.322,8.451,9.68,4.879,4.153,7.8,2.648,6.678,2.491,6.943,4.744,4.32,3.469,15.862,0.881,26.66,10.623,9.046,6.319,4.838,7.772,3.188,3.037,16.407,0.776,24.131,10.32,9.637,5.323,7.053
1933-01-01,6.976,7.001,1.014,8.56,1.807,7.984,1.322,10.552,2.703,4.647,3.607,8.445,5.058,4.542,7.452,5.221,6.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.244,6.9,5.032,6.989,7.014,16.044,1.953,6.137,7.607,10.127,4.882,4.055,7.676,2.748,7.152,2.586,7.452,4.912,4.564,3.432,15.727,0.864,25.899,10.533,9.026,6.196,4.596,6.182,3.187,3.136,16.191,0.882,23.192,10.182,9.616,5.267,6.85
1934-01-01,7.359,7.343,1.677,9.768,2.285,8.367,1.661,10.895,2.711,6.025,4.006,9.793,5.746,4.435,7.898,5.882,7.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.741,7.252,5.575,7.371,7.355,18.337,2.018,6.296,6.983,11.848,5.574,3.988,8.211,2.839,8.15,2.677,8.341,5.005,5.774,3.824,17.239,1.065,27.468,11.367,9.998,6.61,4.608,7.394,3.341,3.592,17.681,1.153,24.577,10.381,10.597,5.943,7.161
1935-01-01,7.51,7.49,2.919,9.632,2.903,8.413,2.07,11.015,2.838,8.207,3.95,10.041,5.841,4.432,7.944,6.48,7.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,7.405,6.072,7.523,7.503,19.646,2.023,6.283,7.032,12.138,5.665,4.007,8.221,2.954,7.928,2.795,8.197,5.111,5.298,4.148,17.665,1.303,27.413,11.81,10.342,6.802,4.706,9.046,3.403,4.1,18.083,1.416,24.533,11.465,10.934,6.544,7.324
1936-01-01,7.6,7.582,3.69,9.706,3.791,8.511,2.741,11.028,2.833,10.207,4.142,10.38,6.25,4.481,8.053,7.397,7.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.896,7.497,6.854,7.615,7.597,23.271,2.086,6.248,7.219,12.43,6.081,4.075,8.389,3.111,8.417,2.949,8.652,5.323,5.818,4.792,17.667,1.631,27.409,13.215,10.344,7.236,4.798,11.583,3.481,4.72,18.092,1.831,24.544,11.699,10.927,7.482,7.408
1937-01-01,7.925,7.858,4.545,10.882,4.397,9.221,3.244,11.905,3.219,10.999,4.547,11.069,6.975,4.608,8.732,7.803,7.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.185,7.772,7.205,7.941,7.874,21.918,2.107,6.337,7.558,13.173,6.795,4.205,9.022,3.28,8.624,3.11,8.799,5.596,6.223,5.044,18.277,1.819,28.574,13.551,10.664,7.475,4.948,13.625,3.897,5.055,18.708,2.003,25.575,13.01,11.261,7.883,7.645
1938-01-01,7.698,7.712,3.127,9.69,3.578,9.336,2.474,11.983,3.158,11.049,4.692,10.56,6.446,4.658,8.853,7.501,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,7.663,6.967,7.714,7.728,23.7,2.156,6.587,7.762,12.19,6.09,4.277,9.121,3.456,8.57,3.281,8.705,5.859,6.342,4.883,17.685,1.511,28.654,14.016,10.16,7.553,4.969,12.167,3.917,4.697,17.942,1.573,25.646,13.727,10.594,7.574,7.477
