"date","GDPC1","PCECC96","DGDSRX1Q020SBEA","PCDGCC96","PCNDGC96","PCESVC96","GPDIC1","FPIC1","PNFIC1","B009RX1Q020SBEA","Y033RX1Q020SBEA","Y001RX1Q020SBEA","PRFIC1","CBIC1","NETEXC","EXPGSC1","A253RX1Q020SBEA","A646RX1Q020SBEA","IMPGSC1","A255RX1Q020SBEA","B656RX1Q020SBEA","GCEC1","FGCEC1","A824RX1Q020SBEA","A825RX1Q020SBEA","SLCEC1","A960RX1Q020SBEA"
1947-01-01,2034.45,1277.44,NA,NA,NA,NA,218.091,NA,NA,NA,NA,NA,NA,6.462,NA,97.63,NA,NA,60.396,NA,NA,524.026,NA,NA,NA,NA,-28.804
1947-04-01,2029.024,1298.692,NA,NA,NA,NA,201.386,NA,NA,NA,NA,NA,NA,-4.482,NA,96.399,NA,NA,61.559,NA,NA,523.583,NA,NA,NA,NA,-24.995
1947-07-01,2024.834,1302.925,NA,NA,NA,NA,195.461,NA,NA,NA,NA,NA,NA,-17.483,NA,91.506,NA,NA,54.594,NA,NA,523.477,NA,NA,NA,NA,-16.459
1947-10-01,2056.508,1303.34,NA,NA,NA,NA,233.284,NA,NA,NA,NA,NA,NA,-2.924,NA,81.139,NA,NA,57.538,NA,NA,519.236,NA,NA,NA,NA,-20.029
1948-01-01,2087.442,1309.834,NA,NA,NA,NA,257.22,NA,NA,NA,NA,NA,NA,14.604,NA,77.437,NA,NA,64.883,NA,NA,526.97,NA,NA,NA,NA,-33.74
1948-04-01,2121.899,1325.075,NA,NA,NA,NA,273.138,NA,NA,NA,NA,NA,NA,27.78,NA,70.198,NA,NA,67.455,NA,NA,545.557,NA,NA,NA,NA,-52.393
1948-07-01,2134.056,1327.031,NA,NA,NA,NA,275.936,NA,NA,NA,NA,NA,NA,32.463,NA,71.848,NA,NA,70.977,NA,NA,556.94,NA,NA,NA,NA,-59.185
1948-10-01,2136.44,1337.622,NA,NA,NA,NA,262.741,NA,NA,NA,NA,NA,NA,25.117,NA,69.316,NA,NA,69.826,NA,NA,577.453,NA,NA,NA,NA,-65.984
1949-01-01,2107.001,1339.787,NA,NA,NA,NA,223.507,NA,NA,NA,NA,NA,NA,-2.563,NA,77.612,NA,NA,67.731,NA,NA,592.769,NA,NA,NA,NA,-56.38
1949-04-01,2099.814,1360.322,NA,NA,NA,NA,193.795,NA,NA,NA,NA,NA,NA,-22.62,NA,76.947,NA,NA,66.743,NA,NA,618.527,NA,NA,NA,NA,-60.414
1949-07-01,2121.493,1363.407,NA,NA,NA,NA,209.862,NA,NA,NA,NA,NA,NA,-4.956,NA,70.52,NA,NA,64.023,NA,NA,621.789,NA,NA,NA,NA,-75.107
1949-10-01,2103.688,1383.396,NA,NA,NA,NA,199.54,NA,NA,NA,NA,NA,NA,-22.605,NA,61.047,NA,NA,64.987,NA,NA,610.904,NA,NA,NA,NA,-63.607
1950-01-01,2186.365,1406.429,NA,NA,NA,NA,246.911,NA,NA,NA,NA,NA,NA,9.481,NA,60.041,NA,NA,66.803,NA,NA,599.569,NA,NA,NA,NA,-69.263
1950-04-01,2253.045,1429.591,NA,NA,NA,NA,273.335,NA,NA,NA,NA,NA,NA,13.84,NA,60.766,NA,NA,70.49,NA,NA,610.519,NA,NA,NA,NA,-64.516
1950-07-01,2340.112,1503.003,NA,NA,NA,NA,296.831,NA,NA,NA,NA,NA,NA,18.173,NA,62.342,NA,NA,86.986,NA,NA,600.663,NA,NA,NA,NA,-53.915
1950-10-01,2384.92,1457.694,NA,NA,NA,NA,334.548,NA,NA,NA,NA,NA,NA,58.208,NA,67.395,NA,NA,87.149,NA,NA,643.1,NA,NA,NA,NA,-88.876
1951-01-01,2417.311,1492.942,NA,NA,NA,NA,300.363,NA,NA,NA,NA,NA,NA,36.167,NA,70.763,NA,NA,87.154,NA,NA,711.537,NA,NA,NA,NA,-107.307
1951-04-01,2459.196,1450.753,NA,NA,NA,NA,307.326,NA,NA,NA,NA,NA,NA,52.586,NA,77.727,NA,NA,84.266,NA,NA,806.376,NA,NA,NA,NA,-151.307
1951-07-01,2509.88,1467.654,NA,NA,NA,NA,284.697,NA,NA,NA,NA,NA,NA,34.675,NA,79.636,NA,NA,77.13,NA,NA,895.015,NA,NA,NA,NA,-174.668
1951-10-01,2515.408,1476.205,NA,NA,NA,NA,262.013,NA,NA,NA,NA,NA,NA,14.902,NA,78.889,NA,NA,75.113,NA,NA,942.35,NA,NA,NA,NA,-183.839
1952-01-01,2542.286,1479.625,NA,NA,NA,NA,268.85,NA,NA,NA,NA,NA,NA,18.698,NA,83.088,NA,NA,83.828,NA,NA,970.394,NA,NA,NA,NA,-194.542
1952-04-01,2547.762,1508.601,NA,NA,NA,NA,248.58,NA,NA,NA,NA,NA,NA,-4.548,NA,73.954,NA,NA,83.394,NA,NA,1003.463,NA,NA,NA,NA,-198.895
1952-07-01,2566.153,1515.837,NA,NA,NA,NA,261.906,NA,NA,NA,NA,NA,NA,20.717,NA,68.114,NA,NA,88.497,NA,NA,1013.614,NA,NA,NA,NA,-225.539
1952-10-01,2650.431,1569.313,NA,NA,NA,NA,280.772,NA,NA,NA,NA,NA,NA,20.774,NA,68.58,NA,NA,96.431,NA,NA,1030.52,NA,NA,NA,NA,-223.097
1953-01-01,2699.699,1587.743,NA,NA,NA,NA,286.813,NA,NA,NA,NA,NA,NA,16.788,NA,67.42,NA,NA,94.054,NA,NA,1063.166,NA,NA,NA,NA,-228.177
1953-04-01,2720.566,1597.302,NA,NA,NA,NA,288.445,NA,NA,NA,NA,NA,NA,16.47,NA,67.84,NA,NA,98.932,NA,NA,1084.966,NA,NA,NA,NA,-235.524
1953-07-01,2705.258,1593.497,NA,NA,NA,NA,282.411,NA,NA,NA,NA,NA,NA,9.99,NA,70.56,NA,NA,98.555,NA,NA,1073.448,NA,NA,NA,NA,-226.092
1953-10-01,2664.302,1582.812,NA,NA,NA,NA,262.005,NA,NA,NA,NA,NA,NA,-8.565,NA,68.234,NA,NA,93.707,NA,NA,1070.774,NA,NA,NA,NA,-217.252
1954-01-01,2651.566,1588.65,NA,NA,NA,NA,260.127,NA,NA,NA,NA,NA,NA,-7.611,NA,65.174,NA,NA,88.296,NA,NA,1042.939,NA,NA,NA,NA,-209.418
1954-04-01,2654.456,1609.28,NA,NA,NA,NA,259.513,NA,NA,NA,NA,NA,NA,-12.255,NA,74.538,NA,NA,96.237,NA,NA,1007.623,NA,NA,NA,NA,-188.006
1954-07-01,2684.434,1631.059,NA,NA,NA,NA,272.037,NA,NA,NA,NA,NA,NA,-9.763,NA,72.143,NA,NA,90.432,NA,NA,985.832,NA,NA,NA,NA,-176.442
1954-10-01,2736.96,1665.291,NA,NA,NA,NA,283.968,NA,NA,NA,NA,NA,NA,-3.605,NA,75.465,NA,NA,91.29,NA,NA,979.897,NA,NA,NA,NA,-172.765
1955-01-01,2815.134,1702.656,NA,NA,NA,NA,312.337,NA,NA,NA,NA,NA,NA,14.533,NA,78.269,NA,NA,96.684,NA,NA,980.472,NA,NA,NA,NA,-176.448
1955-04-01,2860.942,1735.274,NA,NA,NA,NA,331.333,NA,NA,NA,NA,NA,NA,21.445,NA,76.444,NA,NA,102.167,NA,NA,970.852,NA,NA,NA,NA,-172.24
1955-07-01,2899.578,1756.707,NA,NA,NA,NA,336.418,NA,NA,NA,NA,NA,NA,19.57,NA,81.461,NA,NA,103.886,NA,NA,977.063,NA,NA,NA,NA,-167.756
