"date","HOUST","HOUST1F","HOUST5F","HOUSTNE","HOUSTNE1F","HOUSTMW","HOUSTMW1F","HOUSTS","HOUSTS1F","HOUSTW","HOUSTW1F"
1959-01-01,1657,1336,321,350,NA,452,NA,505,NA,350,NA
1959-02-01,1667,1317,350,346,NA,469,NA,508,NA,344,NA
1959-03-01,1620,1254,366,330,NA,413,NA,503,NA,374,NA
1959-04-01,1590,1282,308,275,NA,391,NA,536,NA,388,NA
1959-05-01,1498,1213,285,260,NA,355,NA,487,NA,396,NA
1959-06-01,1503,1203,300,254,NA,343,NA,518,NA,388,NA
1959-07-01,1547,1256,291,271,NA,371,NA,533,NA,372,NA
1959-08-01,1430,1193,237,230,NA,350,NA,474,NA,376,NA
1959-09-01,1540,1275,265,242,NA,362,NA,560,NA,376,NA
1959-10-01,1355,1043,312,254,NA,305,NA,443,NA,353,NA
1959-11-01,1416,1163,253,246,NA,326,NA,500,NA,344,NA
1959-12-01,1601,1410,191,256,NA,395,NA,592,NA,358,NA
1960-01-01,1460,1211,249,274,NA,358,NA,506,NA,322,NA
1960-02-01,1503,1208,295,269,NA,383,NA,487,NA,364,NA
1960-03-01,1109,904,205,146,NA,206,NA,428,NA,329,NA
1960-04-01,1289,1049,240,218,NA,288,NA,466,NA,317,NA
1960-05-01,1271,1009,262,215,NA,298,NA,458,NA,300,NA
1960-06-01,1247,1003,244,208,NA,323,NA,408,NA,308,NA
1960-07-01,1197,947,250,198,NA,306,NA,394,NA,299,NA
1960-08-01,1344,1091,253,229,NA,283,NA,479,NA,353,NA
1960-09-01,1097,865,232,194,NA,292,NA,384,NA,227,NA
1960-10-01,1246,922,324,286,NA,272,NA,386,NA,302,NA
1960-11-01,1246,949,297,302,NA,277,NA,391,NA,276,NA
1960-12-01,1063,841,222,145,NA,247,NA,352,NA,319,NA
1961-01-01,1183,898,285,148,NA,311,NA,430,NA,294,NA
1961-02-01,1226,948,278,226,NA,268,NA,444,NA,288,NA
1961-03-01,1312,957,355,227,NA,314,NA,428,NA,343,NA
1961-04-01,1166,879,287,228,NA,245,NA,415,NA,278,NA
1961-05-01,1228,938,290,230,NA,269,NA,461,NA,268,NA
1961-06-01,1382,1011,371,263,NA,283,NA,494,NA,342,NA
1961-07-01,1335,1004,331,259,NA,269,NA,482,NA,325,NA
1961-08-01,1312,973,339,234,NA,259,NA,503,NA,316,NA
1961-09-01,1429,1052,377,305,NA,286,NA,510,NA,328,NA
1961-10-01,1415,993,422,263,NA,292,NA,511,NA,349,NA
1961-11-01,1385,1018,367,253,NA,296,NA,492,NA,344,NA
1961-12-01,1365,1005,360,256,NA,278,NA,503,NA,328,NA
1962-01-01,1361,974,387,276,NA,235,NA,485,NA,365,NA
1962-02-01,1278,946,332,215,NA,275,NA,498,NA,290,NA
1962-03-01,1443,979,464,252,NA,284,NA,536,NA,371,NA
1962-04-01,1524,1027,497,280,NA,326,NA,515,NA,403,NA
1962-05-01,1483,1032,451,284,NA,289,NA,518,NA,392,NA
1962-06-01,1404,951,453,272,NA,260,NA,517,NA,355,NA
1962-07-01,1450,983,467,262,NA,284,NA,520,NA,384,NA
1962-08-01,1517,1053,464,272,NA,308,NA,539,NA,398,NA
1962-09-01,1324,866,458,223,NA,248,NA,469,NA,384,NA
1962-10-01,1533,990,543,229,NA,305,NA,629,NA,370,NA
1962-11-01,1622,1080,542,256,NA,344,NA,580,NA,442,NA
1962-12-01,1564,998,566,331,NA,283,NA,570,NA,380,NA
1963-01-01,1244,810,434,158,NA,156,NA,502,NA,428,NA
1963-02-01,1456,977,479,227,NA,269,NA,523,NA,437,NA
1963-03-01,1534,962,572,244,NA,271,NA,610,NA,409,NA
1963-04-01,1689,1096,593,328,NA,342,NA,586,NA,433,NA
1963-05-01,1641,1071,570,262,NA,356,NA,571,NA,452,NA
1963-06-01,1588,1007,581,235,NA,340,NA,574,NA,439,NA
1963-07-01,1614,1031,583,241,NA,316,NA,619,NA,438,NA
1963-08-01,1639,1056,476,275,NA,349,NA,595,NA,420,NA
1963-09-01,1763,1106,524,269,NA,362,NA,693,NA,439,NA
1963-10-01,1779,1088,555,291,NA,385,NA,662,NA,441,NA
1963-11-01,1622,1032,458,254,NA,348,NA,597,NA,422,NA
1963-12-01,1491,852,510,221,NA,297,NA,514,NA,459,NA
1964-01-01,1603,1023,441,233,NA,358,NA,584,NA,428,NA
1964-02-01,1820,1162,481,249,NA,491,NA,650,NA,431,NA
1964-03-01,1517,931,466,245,NA,329,NA,580,NA,363,NA
1964-04-01,1448,901,442,217,NA,297,NA,566,NA,368,NA
1964-05-01,1467,947,439,267,NA,334,NA,561,NA,305,NA
1964-06-01,1550,981,457,262,NA,343,NA,583,NA,361,NA
1964-07-01,1562,969,482,253,NA,340,NA,568,NA,400,NA
1964-08-01,1569,990,471,264,NA,353,NA,596,NA,356,NA
1964-09-01,1455,957,408,230,NA,328,NA,554,NA,343,NA
1964-10-01,1524,996,414,266,NA,373,NA,596,NA,290,NA
1964-11-01,1486,930,466,249,NA,346,NA,546,NA,345,NA
1964-12-01,1484,963,433,319,NA,268,NA,580,NA,317,NA
1965-01-01,1361,902,374,180,NA,298,NA,636,NA,247,NA
1965-02-01,1433,853,494,246,NA,284,NA,596,NA,307,NA
1965-03-01,1423,929,407,293,NA,307,NA,518,NA,306,NA
1965-04-01,1438,950,397,270,NA,347,NA,563,NA,258,NA
1965-05-01,1478,949,426,281,NA,351,NA,564,NA,281,NA
1965-06-01,1488,947,458,285,NA,376,NA,558,NA,270,NA
1965-07-01,1529,1033,416,242,NA,424,NA,606,NA,258,NA
1965-08-01,1432,958,385,260,NA,339,NA,601,NA,232,NA
1965-09-01,1482,962,431,278,NA,361,NA,573,NA,269,NA
1965-10-01,1452,954,438,250,NA,364,NA,562,NA,277,NA
