"infgeneral.date.sq.","infgeneral.values.sq.","infsub_total.values.sq.","infmerc.values.sq.","infserv.values.sq.","infnosub.values.sq.","infagro.values.sq.","infenerg.values.sq."
2021-04-01,2.67,1.67,2.13,1.16,5.76,4.25,6.91
2021-03-01,2.34,1.3,1.68,0.87,5.55,1.6,8.53
2021-02-01,1.5,0.75,1.07,0.4,3.79,0.32,6.41
2021-01-01,0.86,0.36,0.55,0.14,2.4,0.54,3.81
2020-12-01,3.15,3.8,5.52,1.95,1.18,3.96,-0.81
2020-11-01,2.76,3.24,4.71,1.65,1.31,5.33,-1.58
2020-10-01,2.68,3.33,5.04,1.48,0.74,5.75,-2.86
2020-09-01,2.06,3.08,4.73,1.3,-1.01,4.23,-4.79
2020-08-01,1.82,2.75,4.29,1.09,-0.97,4.19,-4.69
2020-07-01,1.43,2.43,3.81,0.94,-1.6,3.28,-5.11
2020-06-01,0.76,2.03,3.15,0.81,-3.03,3.32,-7.61
2020-05-01,0.22,1.65,2.53,0.7,-4.1,5.52,-11.03
2020-04-01,-0.17,1.35,2.06,0.58,-4.74,4.12,-11.11
2020-03-01,0.85,0.99,1.42,0.52,0.45,4.95,-2.79
2020-02-01,0.9,0.69,1.06,0.3,1.53,3.61,0.04
2020-01-01,0.48,0.33,0.66,-0.04,0.96,1.83,0.34
2019-12-01,2.83,3.59,3.56,3.64,0.59,-0.03,1.04
2019-11-01,2.26,3.17,3.28,3.05,-0.41,-1.78,0.59
2019-10-01,1.44,2.94,3.16,2.71,-2.95,-3.56,-2.51
2019-09-01,0.89,2.69,2.9,2.47,-4.35,-3.66,-4.85
2019-08-01,0.63,2.39,2.5,2.26,-4.5,-3.64,-5.12
2019-07-01,0.65,2.18,2.19,2.16,-3.82,-2.17,-5.02
2019-06-01,0.27,1.91,2.04,1.78,-4.53,-4.09,-4.84
2019-05-01,0.21,1.6,1.8,1.39,-3.88,-3.92,-3.85
2019-04-01,0.5,1.44,1.51,1.36,-2.26,-4.08,-0.93
2019-03-01,0.44,0.98,1.15,0.8,-1.12,-4.59,1.4
2019-02-01,0.06,0.63,0.8,0.45,-1.62,-3.94,0.07
2019-01-01,0.09,0.2,0.31,0.08,-0.25,0.35,-0.68
2018-12-01,4.83,3.68,3.92,3.47,8.4,7.06,9.1
2018-11-01,4.1,3.2,3.57,2.85,6.91,2.91,9.59
2018-10-01,3.22,2.94,3.3,2.6,4.14,-0.54,7.34
2018-09-01,2.69,2.62,3.05,2.21,2.96,0.16,4.75
2018-08-01,2.26,2.29,2.66,1.94,2.21,0.37,3.3
2018-07-01,1.66,2.04,2.26,1.85,0.59,-1.5,1.86
2018-06-01,1.12,1.75,2.04,1.5,-0.67,-3.34,0.96
2018-05-01,0.73,1.51,1.9,1.17,-1.5,-3.03,-0.57
2018-04-01,0.9,1.25,1.69,0.87,-0.12,-1.98,1.01
2018-03-01,1.24,1.11,1.35,0.89,1.63,-1.49,3.52
2018-02-01,0.91,0.77,1.1,0.49,1.32,-1.87,3.25
2018-01-01,0.53,0.28,0.56,0.04,1.24,0.03,1.97
2017-12-01,6.77,4.87,6.17,3.76,12.62,9.75,14.44
