"infgeneral.date.sq.","infgeneral.values.sq.","infsub_total.values.sq.","infmerc.values.sq.","infserv.values.sq.","infnosub.values.sq.","infagro.values.sq.","infenerg.values.sq."
2021-04-01,0.33,0.37,0.44,0.28,0.21,2.61,-1.49
2021-03-01,0.83,0.54,0.6,0.47,1.69,1.27,1.99
2021-02-01,0.63,0.39,0.52,0.25,1.36,-0.22,2.5
2021-01-01,0.86,0.36,0.55,0.14,2.4,0.54,3.81
2020-12-01,0.38,0.55,0.77,0.3,-0.13,-1.3,0.78
2020-11-01,0.08,-0.08,-0.31,0.16,0.56,-0.4,1.32
2020-10-01,0.61,0.24,0.29,0.18,1.77,1.45,2.03
2020-09-01,0.23,0.32,0.42,0.2,-0.04,0.04,-0.1
2020-08-01,0.39,0.32,0.47,0.15,0.63,0.88,0.44
2020-07-01,0.66,0.4,0.64,0.13,1.48,-0.03,2.7
2020-06-01,0.55,0.37,0.6,0.11,1.12,-2.09,3.85
2020-05-01,0.38,0.3,0.46,0.12,0.66,1.34,0.09
2020-04-01,-1.01,0.36,0.63,0.06,-5.17,-0.79,-8.57
2020-03-01,-0.05,0.29,0.35,0.23,-1.06,1.3,-2.83
2020-02-01,0.42,0.36,0.39,0.33,0.57,1.74,-0.29
2020-01-01,0.48,0.33,0.66,-0.04,0.96,1.83,0.34
2019-12-01,0.56,0.41,0.26,0.57,1,1.78,0.45
2019-11-01,0.81,0.22,0.12,0.33,2.62,1.84,3.18
2019-10-01,0.54,0.25,0.26,0.23,1.46,0.11,2.46
2019-09-01,0.26,0.3,0.38,0.2,0.15,-0.02,0.28
2019-08-01,-0.02,0.2,0.3,0.09,-0.7,-1.5,-0.1
2019-07-01,0.38,0.26,0.15,0.38,0.74,2,-0.19
2019-06-01,0.06,0.3,0.23,0.38,-0.68,-0.18,-1.04
2019-05-01,-0.29,0.16,0.29,0.03,-1.66,0.17,-2.95
2019-04-01,0.05,0.46,0.36,0.56,-1.15,0.53,-2.29
2019-03-01,0.39,0.34,0.34,0.35,0.51,-0.67,1.33
2019-02-01,-0.03,0.43,0.49,0.36,-1.38,-4.28,0.75
2019-01-01,0.09,0.2,0.31,0.08,-0.25,0.35,-0.68
2018-12-01,0.7,0.47,0.34,0.61,1.39,4.03,-0.44
2018-11-01,0.85,0.25,0.26,0.24,2.66,3.48,2.09
2018-10-01,0.52,0.31,0.24,0.39,1.15,-0.7,2.47
2018-09-01,0.42,0.32,0.38,0.26,0.73,-0.21,1.4
2018-08-01,0.58,0.25,0.39,0.09,1.61,1.9,1.42
2018-07-01,0.54,0.29,0.22,0.34,1.27,1.91,0.89
2018-06-01,0.39,0.23,0.13,0.32,0.84,-0.32,1.53
2018-05-01,-0.16,0.26,0.21,0.3,-1.38,-1.07,-1.56
2018-04-01,-0.34,0.15,0.33,-0.01,-1.72,-0.49,-2.43
2018-03-01,0.32,0.33,0.25,0.4,0.3,0.38,0.26
2018-02-01,0.38,0.49,0.54,0.45,0.08,-1.9,1.26
2018-01-01,0.53,0.28,0.56,0.04,1.24,0.03,1.97
2017-12-01,0.59,0.42,0.32,0.5,1.09,1.81,0.65
2017-11-01,1.03,0.34,0.34,0.35,3.06,1.16,4.24
2017-10-01,0.63,0.25,0.22,0.28,1.76,-1.88,4.15
2017-09-01,0.31,0.28,0.33,0.24,0.41,-0.06,0.72
2017-08-01,0.49,0.25,0.47,0.06,1.22,2.06,0.67
2017-07-01,0.38,0.27,0.12,0.4,0.72,2.49,-0.41
2017-06-01,0.25,0.3,0.32,0.29,0.09,0.42,-0.12
2017-05-01,-0.12,0.28,0.48,0.1,-1.3,1.21,-2.82
2017-04-01,0.12,0.45,0.6,0.32,-0.84,1.87,-2.42
2017-03-01,0.61,0.57,0.78,0.4,0.73,2.2,-0.1
2017-02-01,0.58,0.76,1.11,0.47,0.03,-0.94,0.59
2017-01-01,1.7,0.58,0.93,0.28,5.14,-0.88,8.96
2016-12-01,0.46,0.45,0.35,0.53,0.51,0.97,0.22
2016-11-01,0.78,0.22,0.13,0.31,2.54,0.73,3.71
2016-10-01,0.61,0.28,0.4,0.17,1.65,-0.05,2.78
2016-09-01,0.61,0.48,0.65,0.33,1.04,3.1,-0.28
2016-08-01,0.28,0.19,0.39,0.02,0.58,0.35,0.72
2016-07-01,0.26,0.17,0.03,0.29,0.55,-0.77,1.43
2016-06-01,0.11,0.25,0.27,0.24,-0.35,-1.42,0.37
2016-05-01,-0.45,0.21,0.26,0.18,-2.51,-0.77,-3.65
2016-04-01,-0.32,0.22,0.42,0.06,-1.96,-1.39,-2.32
2016-03-01,0.15,0.36,0.34,0.37,-0.49,-1,-0.16
2016-02-01,0.44,0.36,0.48,0.25,0.68,1.77,-0.02
2016-01-01,0.38,0.19,0.26,0.14,0.96,2.68,-0.12
2015-12-01,0.41,0.31,0.21,0.39,0.72,2.33,-0.26
2015-11-01,0.55,0.04,0.18,-0.09,2.15,0.43,3.22
2015-10-01,0.51,0.25,0.35,0.17,1.35,0.04,2.19
2015-09-01,0.37,0.37,0.5,0.26,0.39,0.89,0.07
2015-08-01,0.21,0.2,0.34,0.08,0.24,0.23,0.25
2015-07-01,0.15,0.17,-0.06,0.36,0.07,0.09,0.05
2015-06-01,0.17,0.21,0.21,0.21,0.04,-0.24,0.21
2015-05-01,-0.5,0.12,0.08,0.15,-2.4,-1.37,-3.05
2015-04-01,-0.26,0.16,0.28,0.05,-1.51,0.26,-2.59
2015-03-01,0.41,0.26,0.15,0.36,0.85,0.74,0.92
2015-02-01,0.19,0.34,0.33,0.35,-0.27,-0.88,0.11
2015-01-01,-0.09,-0.03,0.22,-0.24,-0.27,-0.78,0.05
2014-12-01,0.49,0.23,0.19,0.27,1.28,3.32,0.06
2014-11-01,0.81,0.16,0.12,0.2,2.83,1.62,3.58
2014-10-01,0.55,0.17,0.17,0.17,1.79,0.1,2.84
2014-09-01,0.44,0.29,0.32,0.27,0.92,2.02,0.25
2014-08-01,0.36,0.21,0.45,0.02,0.83,1.95,0.16
2014-07-01,0.28,0.19,-0.04,0.38,0.56,0.78,0.42
2014-06-01,0.17,0.21,0.17,0.25,0.04,-0.4,0.32
2014-05-01,-0.32,0.09,0.28,-0.06,-1.64,0.79,-3.06
2014-04-01,-0.19,0.29,0.23,0.34,-1.67,-1.12,-2
2014-03-01,0.27,0.21,0.18,0.24,0.46,0.71,0.31
2014-02-01,0.25,0.28,0.13,0.41,0.17,-0.71,0.68
2014-01-01,0.89,0.85,1.26,0.51,1.02,-0.67,2.04
2013-12-01,0.57,0.33,0.36,0.3,1.35,1.82,1.07
2013-11-01,0.93,0.14,-0.02,0.27,3.54,2.97,3.88
2013-10-01,0.48,0.19,0.11,0.26,1.41,-0.72,2.74
2013-09-01,0.38,0.32,0.41,0.25,0.55,0.74,0.44
2013-08-01,0.28,0.09,0.26,-0.05,0.94,1.52,0.57
2013-07-01,-0.03,0.03,-0.16,0.2,-0.26,-1.51,0.53
2013-06-01,-0.06,0.13,0.01,0.22,-0.69,-3,0.83
2013-05-01,-0.33,0.2,0.17,0.22,-2.05,-1.01,-2.71
2013-04-01,0.07,0.08,0.14,0.03,0,1.49,-0.9
2013-03-01,0.73,0.3,0.21,0.38,2.11,4.63,0.66
2013-02-01,0.49,0.51,0.15,0.82,0.44,0.02,0.68
2013-01-01,0.4,0.42,0.24,0.58,0.33,-0.24,0.67
2012-12-01,0.23,0.12,0.46,-0.17,0.58,0.74,0.48
2012-11-01,0.68,0.05,0.38,-0.23,2.73,-0.8,4.89
2012-10-01,0.51,0.23,0.29,0.18,1.42,-0.07,2.36
2012-09-01,0.44,0.18,0.33,0.05,1.32,3.55,-0.03
2012-08-01,0.3,0.22,0.39,0.08,0.55,0.59,0.53
2012-07-01,0.56,0.31,0.32,0.31,1.41,2.99,0.48
2012-06-01,0.46,0.22,0.36,0.09,1.3,2.62,0.54
2012-05-01,-0.32,0.27,0.3,0.23,-2.26,0.66,-3.87
2012-04-01,-0.31,0.15,0.32,0.01,-1.84,-1.07,-2.26
2012-03-01,0.06,0.239999999999999,0.25,0.239999999999999,-0.55,-1.61,0.04
2012-02-01,0.2,0.43,0.64,0.25,-0.51,-1.81,0.22
2012-01-01,0.71,0.45,0.85,0.11,1.55,3.23,0.63
2011-12-01,0.82,0.51,0.67,0.37,1.86,4.29,0.57
2011-11-01,1.08,0.32,0.34,0.31,3.67,1.46,4.89
2011-10-01,0.67,0.26,0.35,0.18,2.12,0.3,3.15
2011-09-01,0.25,0.27,0.32,0.22,0.17,-0.25,0.42
2011-08-01,0.16,0.12,0.09,0.15,0.29,0.15,0.37
2011-07-01,0.48,0.22,NA,NA,1.38,NA,NA
2011-06-01,0,0.19,NA,NA,-0.7,NA,NA
2011-05-01,-0.74,0.18,NA,NA,-3.8,NA,NA
2011-04-01,-0.01,0.08,NA,NA,-0.28,NA,NA
2011-03-01,0.19,0.3,NA,NA,-0.16,NA,NA
2011-02-01,0.38,0.4,NA,NA,0.28,NA,NA
2011-01-01,0.49,0.46,NA,NA,0.57,NA,NA
2010-12-01,0.5,0.43,NA,NA,0.7,NA,NA
2010-11-01,0.8,0.24,NA,NA,2.62,NA,NA
2010-10-01,0.62,0.19,NA,NA,2.02,NA,NA
2010-09-01,0.52,0.36,NA,NA,1.06,NA,NA
2010-08-01,0.28,0.1,NA,NA,0.88,NA,NA
2010-07-01,0.22,0.21,NA,NA,0.25,NA,NA
2010-06-01,-0.03,0.14,NA,NA,-0.59,NA,NA
2010-05-01,-0.63,0.23,NA,NA,-3.39,NA,NA
2010-04-01,-0.32,0.11,NA,NA,-1.66,NA,NA
2010-03-01,0.71,0.35,NA,NA,1.85,NA,NA
2010-02-01,0.58,0.41,NA,NA,1.11,NA,NA
2010-01-01,1.09,0.75,NA,NA,2.18,NA,NA
2009-12-01,0.41,0.47,NA,NA,0.25,NA,NA
2009-11-01,0.52,0.14,NA,NA,1.76,NA,NA
2009-10-01,0.3,0.32,NA,NA,0.23,NA,NA
2009-09-01,0.5,0.4,NA,NA,0.85,NA,NA
2009-08-01,0.24,0.15,NA,NA,0.52,NA,NA
2009-07-01,0.27,0.31,NA,NA,0.16,NA,NA
2009-06-01,0.18,0.25,NA,NA,-0.04,NA,NA
2009-05-01,-0.29,0.2,NA,NA,-1.88,NA,NA
2009-04-01,0.35,0.42,NA,NA,0.11,NA,NA
2009-03-01,0.58,0.52,NA,NA,0.77,NA,NA
2009-02-01,0.22,0.47,NA,NA,-0.56,NA,NA
2009-01-01,0.23,0.44,NA,NA,-0.43,NA,NA
2008-12-01,0.69,0.57,NA,NA,1.08,NA,NA
2008-11-01,1.14,0.46,NA,NA,3.38,NA,NA
2008-10-01,0.68,0.29,NA,NA,2,NA,NA
2008-09-01,0.68,0.58,NA,NA,1.01,NA,NA
2008-08-01,0.58,0.41,NA,NA,1.13,NA,NA
2008-07-01,0.56,0.4,NA,NA,1.09,NA,NA
2008-06-01,0.41,0.47,NA,NA,0.22,NA,NA
2008-05-01,-0.11,0.48,NA,NA,-2.04,NA,NA
2008-04-01,0.23,0.39,NA,NA,-0.32,NA,NA
2008-03-01,0.72,0.49,NA,NA,1.51,NA,NA
2008-02-01,0.3,0.43,NA,NA,-0.14,NA,NA
2008-01-01,0.46,0.43,NA,NA,0.56,NA,NA
2007-12-01,0.41,0.38,NA,NA,0.52,NA,NA
2007-11-01,0.71,0.23,NA,NA,2.32,NA,NA
2007-10-01,0.39,0.33,NA,NA,0.6,NA,NA
2007-09-01,0.78,0.48,NA,NA,1.8,NA,NA
2007-08-01,0.41,0.27,NA,NA,0.88,NA,NA
2007-07-01,0.42,0.3,NA,NA,0.84,NA,NA
2007-06-01,0.12,0.29,NA,NA,-0.45,NA,NA
2007-05-01,-0.49,0.2,NA,NA,-2.78,NA,NA
2007-04-01,-0.06,0.19,NA,NA,-0.9,NA,NA
2007-03-01,0.22,0.29,NA,NA,-0.04,NA,NA
2007-02-01,0.28,0.38,NA,NA,-0.05,NA,NA
2007-01-01,0.52,0.46,NA,NA,0.69,NA,NA
2006-12-01,0.58,0.4,NA,NA,1.18,NA,NA
2006-11-01,0.52,0.26,NA,NA,1.4,NA,NA
2006-10-01,0.44,0.23,NA,NA,1.14,NA,NA
2006-09-01,1.01,0.55,NA,NA,2.61,NA,NA
2006-08-01,0.51,0.17,NA,NA,1.69,NA,NA
2006-07-01,0.27,0.26,NA,NA,0.33,NA,NA
2006-06-01,0.09,0.3,NA,NA,-0.66,NA,NA
2006-05-01,-0.45,0.14,NA,NA,-2.41,NA,NA
2006-04-01,0.15,0.34,NA,NA,-0.5,NA,NA
2006-03-01,0.13,0.4,NA,NA,-0.77,NA,NA
2006-02-01,0.15,0.33,NA,NA,-0.42,NA,NA
2006-01-01,0.59,0.22,NA,NA,1.82,NA,NA
2005-12-01,0.61,0.28,NA,NA,1.74,NA,NA
2005-11-01,0.72,0.21,NA,NA,2.51,NA,NA
2005-10-01,0.25,0.24,NA,NA,0.27,NA,NA
2005-09-01,0.4,0.48,NA,NA,0.13,NA,NA
2005-08-01,0.12,0.14,NA,NA,0.05,NA,NA
2005-07-01,0.39,0.21,NA,NA,1.04,NA,NA
2005-06-01,-0.1,0.24,NA,NA,-1.26,NA,NA
2005-05-01,-0.25,0.19,NA,NA,-1.75,NA,NA
2005-04-01,0.36,0.19,NA,NA,0.92,NA,NA
2005-03-01,0.45,0.29,NA,NA,1.02,NA,NA
2005-02-01,0.33,0.39,NA,NA,0.15,NA,NA
2005-01-01,0,0.37,NA,NA,-1.24,NA,NA
2004-12-01,0.21,0.28,NA,NA,-0.04,NA,NA
2004-11-01,0.85,0.24,NA,NA,2.97,NA,NA
2004-10-01,0.69,0.29,NA,NA,2.11,NA,NA
2004-09-01,0.83,0.57,NA,NA,1.73,NA,NA
2004-08-01,0.62,0.28,NA,NA,1.83,NA,NA
2004-07-01,0.26,0.17,NA,NA,0.58,NA,NA
2004-06-01,0.16,0.27,NA,NA,-0.22,NA,NA
2004-05-01,-0.25,0.23,NA,NA,-1.94,NA,NA
2004-04-01,0.15,0.33,NA,NA,-0.47,NA,NA
2004-03-01,0.34,0.37,NA,NA,0.24,NA,NA
2004-02-01,0.6,0.45,NA,NA,1.12,NA,NA
2004-01-01,0.62,0.38,NA,NA,1.46,NA,NA
2003-12-01,0.43,0.29,NA,NA,0.93,NA,NA
2003-11-01,0.83,0.26,NA,NA,2.9,NA,NA
2003-10-01,0.37,0.21,NA,NA,0.93,NA,NA
2003-09-01,0.6,0.48,NA,NA,1.02,NA,NA
2003-08-01,0.3,0.36,NA,NA,0.08,NA,NA
2003-07-01,0.14,0.14,NA,NA,0.18,NA,NA
2003-06-01,0.08,0.11,NA,NA,-0.01,NA,NA
2003-05-01,-0.32,0.27,NA,NA,-2.43,NA,NA
2003-04-01,0.17,0.34,NA,NA,-0.43,NA,NA
