"infgeneral.date.sq.","infgeneral.values.sq.","infsub_total.values.sq.","infmerc.values.sq.","infserv.values.sq.","infnosub.values.sq.","infagro.values.sq.","infenerg.values.sq."
2022-07-01,0.43,0.34,0.38,0.3,0.68,1.22,0.23
2022-06-01,0.39,0.26,0.32,0.18,0.81,1.03,0.63
2022-06-01,0.49,0.5,0.64,0.33,0.49,0.85,0.19
2022-05-01,0.3,0.29,0.41,0.15,0.34,0.77,-0.01
2022-05-01,-0.06,0.31,0.35,0.25,-1.15,0.47,-2.45
2022-04-01,0.18,0.27,0.49,0,-0.09,-0.16,-0.03
2022-04-01,0.16,0.44,0.55,0.32,-0.66,0.65,-1.7
2022-03-01,0.59,0.4,0.46,0.32,1.15,0.94,1.31
2022-03-01,0.48,0.35,0.49,0.2,0.86,0.24,1.35
2022-02-01,0.42,0.32,0.41,0.21,0.71,1.05,0.44
2022-02-01,0.42,0.43,0.56,0.26,0.41,-0.1,0.82
2022-01-01,0.39,0.35,0.38,0.3,0.53,0.17,0.83
2022-01-01,0.39,0.34,0.62,0.02,0.53,0.55,0.51
2021-12-01,0.01,0.2,0.35,0.03,-0.54,-0.98,-0.18
2021-12-01,0.1,0.59,0.6,0.57,-1.29,-1.14,-1.42
2021-11-01,0.51,0.23,0.28,0.17,1.34,3.2,-0.1
2021-11-01,0.69,0.15,0.07,0.25,2.29,2.17,2.38
2021-10-01,0.38,0.2,0.21,0.19,0.93,1.32,0.63
2021-10-01,0.54,0.33,0.37,0.28,1.18,-0.66,2.65
2021-09-01,0.21,0.13,0.24,0.01,0.44,0.37,0.49
2021-09-01,0.42,0.31,0.43,0.17,0.76,0.92,0.63
2021-08-01,0.18,0.17,0.25,0.07,0.24,0.55,-0.01
2021-08-01,-0.02,0.28,0.47,0.06,-0.92,1.18,-2.53
2021-07-01,0.24,0.13,0.21,0.03,0.57,1.03,0.22
2021-07-01,0.37,0.31,0.37,0.24,0.55,0.33,0.72
2021-06-01,0.2,0.21,0.2,0.22,0.18,-0.21,0.49
2021-06-01,0.34,0.35,0.42,0.28,0.31,0.13,0.45
2021-05-01,0.17,0.22,0.26,0.18,0.03,0.04,0.03
2021-05-01,-0.01,0.33,0.42,0.23,-1,1.2,-2.63
2021-04-01,0.25,0.17,0.14,0.21,0.47,1.38,-0.19
2021-04-01,0.06,0.18,0.29,0.06,-0.28,1.6,-1.61
2021-03-01,0.28,0.2,0.18,0.23,0.51,0.61,0.44
2021-03-01,0.53,0.35,0.4,0.28,1.08,0.76,1.31
2021-02-01,0.31,0.18,0.21,0.15,0.7,0.4,0.91
2021-02-01,0.23,0.22,0.3,0.13,0.26,0.69,0.94
2021-01-01,0.5,0.17,0.23,0.1,1.5,0.55,2.2
2021-01-01,0.51,0.24,0.39,0.06,1.37,0.31,2.17
2020-12-01,0.19,0.08,0.09,0.07,0.54,-0.09,1.02
2020-12-01,0.34,0.52,0.77,0.24,-0.23,-1.08,0.42
2020-11-01,-0.1,-0.02,-0.09,0.05,-0.33,-0.35,-0.31
2020-11-01,0.04,-0.11,-0.3,0.1,0.51,-0.94,1.65
2020-10-01,0.16,0.07,0.07,0.07,0.45,1.46,-0.34
2020-10-01,0.54,0.14,0.12,0.17,1.8,0.9,2.52
2020-09-01,-0.03,0.12,0.26,-0.04,-0.51,-0.36,-0.62
2020-09-01,0.16,0.17,0.16,0.17,0.15,0.17,0.14
2020-08-01,0.17,0.18,0.25,0.1,0.12,0.1,0.14
2020-08-01,0.24,0.18,0.26,0.09,0.43,0.75,0.19
2020-07-01,0.14,0.09,0.16,0.02,0.28,0.16,0.37
2020-07-01,0.36,0.25,0.36,0.12,0.69,-0.26,1.46
2020-06-01,0.47,0.21,0.39,0.01,1.29,0.3,2.1
2020-06-01,0.32,0.29,0.43,0.15,0.39,-0.92,1.48
2020-05-01,-0.01,-0.06,-0.04,-0.08,0.16,-2.61,2.58
2020-05-01,0.3,0.24,0.36,0.12,0.46,2.43,-1.2
2020-04-01,0.19,0.17,0.25,0.08,0.24,0.49,0.03
2020-04-01,-0.72,0.2,0.4,-0.02,-3.56,-0.78,-5.78
2020-03-01,-0.78,0.14,0.21,0.07,-3.51,-0.51,-5.77
2020-03-01,0.11,0.16,0.19,0.12,-0.04,-0.08,-0.01
2020-02-01,0.47,0.13,0.11,0.16,1.5,3.35,0.15
2020-02-01,0.12,0.22,0.24,0.19,-0.16,0.14,-0.38
2020-01-01,0.11,0.16,0.2,0.13,-0.05,-0.14,0.02
2020-01-01,0.27,0.2,0.52,-0.14,0.46,0.65,0.31
2019-12-01,0.32,0.08,0.09,0.07,1.05,2.51,0.02
2019-12-01,0.35,0.36,0.25,0.49,0.31,0.3,0.31
2019-11-01,0.09,0.01,-0.07,0.09,0.33,0.43,0.26
2019-11-01,0.68,0.16,0.11,0.21,2.3,1.48,2.89
2019-10-01,0.16,0.12,0.09,0.15,0.29,0.29,0.3
