"inpcgeneral.date.sq.","inpcgeneral.values.sq.","inpcsub_total.values.sq.","inpcmerc.values.sq.","inpcserv.values.sq.","inpcnosub.values.sq.","inpcagro.values.sq.","inpcenerg.values.sq."
2022-07-01,122.948,121.4473270209,127.1298632573,115.3119332876,127.5870911977,139.8562538231,118.7769740661
2022-06-01,122.044,120.696375742,126.2179439423,114.7347780459,126.2111436247,137.5968511082,118.0354090928
2022-05-01,121.022,119.7740259149,124.9660934597,114.1681877201,124.8791473124,135.2194485617,117.4540875945
2022-04-01,120.809,119.0742421729,123.9638045863,113.7950166049,126.1721801965,134.1780327062,120.4234179948
2022-03-01,120.159,118.1558694559,122.7028388184,113.2465391548,126.3506096956,132.7893098877,121.7271724979
2022-02-01,118.981,117.3165851325,121.5769814313,112.7166657187,124.1240946279,131.1707200104,119.0641246123
2022-01-01,118.002,116.4327212899,120.4154640182,112.1325824504,122.8511488035,130.498596583,117.3597462725
2021-12-01,117.308,115.7207053553,119.2364344229,111.9247978253,122.212430937,130.3184536687,116.3917395079
2021-11-01,116.884,114.7990637102,118.1569167704,111.1736137763,123.3273754209,130.4172141592,118.2363751925
2021-10-01,115.561,114.3779644277,117.7881055314,110.6960594671,119.2169106442,124.8244457933,115.1903080968
2021-09-01,114.601,113.8153930916,117.0902617837,110.2795407863,117.0304510176,124.6006985911,111.5944836355
2021-08-01,113.899,113.2966539131,116.3032075696,110.0504994328,115.7589572093,122.9053954802,110.6273145567
2021-07-01,113.682,112.8150767927,115.4941159398,109.9225373859,116.3633905867,120.5163483095,113.3812763954
2021-06-01,113.018,112.2811333585,114.8335563302,109.5253005306,115.2945339442,119.6325871188,112.179508269
2021-05-01,112.419,111.6442229006,114.0914770803,109.0019400655,114.8140208018,119.5766702617,111.3941052885
2021-04-01,112.19,111.0609307746,113.3890684551,108.5472571715,115.6799126175,117.3337714063,114.4923263011
2021-03-01,111.824,110.653978256,112.887454931,108.2425094637,115.442104551,114.3521769478,116.2247488229
2021-02-01,110.907,110.0609027981,112.2158908525,107.734177608,113.5238844608,112.9143143136,113.9615984728
2021-01-01,110.21,109.6288967958,111.6368214827,107.4609548719,112.0061653233,113.1606108814,111.1771926462
2020-12-01,109.271,109.2367108017,111.0250530065,107.3058505133,109.3765880751,112.5544164366,107.0946849866
2020-11-01,108.856,108.6418313236,110.176590648,106.9847626576,109.515970609,114.0375545595,106.2691569967
2020-10-01,108.774,108.7334478102,110.5150064612,106.8099116762,108.9008480818,114.4920271591,104.8859903381
2020-09-01,108.114,108.4737242942,110.1923293034,106.6181587572,107.0037321211,112.854011543,102.8028222031
2020-08-01,107.867,108.1324538714,109.73238854,106.4050158523,107.045863133,112.8107892935,102.9062428281
2020-07-01,107.444,107.7909717339,109.2237832744,106.2439753611,106.3710245466,111.8254427547,102.4543706749
2020-06-01,106.743,107.36589627,108.5327339713,106.106069949,104.816118302,111.8623259754,99.7564482306
2020-05-01,106.162,106.9723900602,107.8813863882,105.9909532259,103.6592519374,114.2445998953,96.058231539
2020-04-01,105.755,106.6539270353,107.3826180333,105.8671645764,102.9761439739,112.7305629644,95.9717887069
2020-03-01,106.838,106.272453486,106.7060405548,105.8043126287,108.5864782177,113.630131852,104.9647820477
2020-02-01,106.889,105.9614303519,106.3302679851,105.5631989972,109.7541577043,112.172526818,108.0175994884
2020-01-01,106.447,105.5770987249,105.9120250459,105.2154811715,109.1354567423,110.250184389,108.3350043043
2019-12-01,105.934,105.2337944143,105.2163448694,105.2526345631,108.0965882528,108.2689635822,107.9728107066
2019-11-01,105.346,104.8036582209,104.9401762348,104.6562606976,107.0232764361,106.3787289647,107.4861066139
2019-10-01,104.503,104.5720279923,104.8149358752,104.3097620884,104.2911341161,104.4521795832,104.1754922038
2019-09-01,103.942,104.3153131489,104.5469023847,104.0652679073,102.7888058711,104.3387620243,101.6758289163
2019-08-01,103.67,104.0053856573,104.1462713723,103.8532723583,102.631561179,104.3644132348,101.3872521704
2019-07-01,103.687,103.794405179,103.8308325223,103.755074837,103.3560299485,105.9496123281,101.4936563496
2019-06-01,103.299,103.5255617309,103.6749459252,103.3642726847,102.5989105629,103.8728486405,101.6841338968
2019-05-01,103.233,103.2122482569,103.4359887502,102.9706772465,103.2973144255,104.0595087934,102.7500055452
2019-04-01,103.531,103.0432843305,103.1401340089,102.9387164255,105.0393467676,103.8835356745,105.8692999944
2019-03-01,103.476,102.5761403006,102.7668886683,102.3701906523,106.2575399647,103.3388825023,108.3533402157
2019-02-01,103.079,102.2241726646,102.4166959094,102.0163066941,105.7220888535,104.0365009274,106.9324589104
2019-01-01,103.108,101.7847955923,101.9139077002,101.6453941728,107.1992050084,108.6860260823,106.1315634574
2018-12-01,103.02,101.5824749997,101.6028907042,101.5604323094,107.4642850625,108.3048821729,106.860677528
2018-11-01,102.303,101.1104428605,101.2605878813,100.9483323554,105.9876826839,104.1098414297,107.3361040807
2018-10-01,101.44,100.8566056954,100.9940405722,100.7082182418,103.2450804694,100.6105764069,105.1368386995
2018-09-01,100.917,100.5447730689,100.7532280422,100.3197057251,102.0683000893,101.3218172692,102.604326979
2018-08-01,100.492,100.2203435343,100.3712149931,100.0574486992,101.3318079942,101.5382144923,101.183593688
2018-07-01,99.9090991045135,99.9742919461305,99.9851658707979,99.9647675409902,99.7217798557264,99.6451814256649,99.7668509004297
2018-06-01,99.3764649317868,99.6883270090272,99.7612451698385,99.624458430408,98.4748782815816,97.7789699514998,98.884355543348
2018-05-01,98.9940801730873,99.458111616161,99.6329166194773,99.3050009650257,97.6530779222272,98.0956960320488,97.3926383733033
2018-04-01,99.1548470460965,99.2032063195567,99.4239207867928,99.0098838449312,99.0170760622452,99.156872721218,98.9348187438666
2018-03-01,99.4921569805878,99.0573571582772,99.0950272457112,99.0243621552865,100.750003968351,99.6496419666058,101.397464560389
2018-02-01,99.1713744816395,98.7316880189811,98.8443024368683,98.6330497276198,100.445721400826,99.2732909212028,101.135587582363
2018-01-01,98.7949996995012,98.2520140099906,98.3164887855405,98.1955409418025,100.366479451255,101.191029814237,99.8813083299617
2017-12-01,98.2728829857563,97.9740119844851,97.7708681005814,98.1519444908745,99.1381645795862,101.161396368195,97.9476810391183
2017-11-01,97.6951739888215,97.5652420423482,97.4559704492717,97.6609523736874,98.0707113119127,99.3601764731048,97.3119811164975
2017-10-01,96.6982691267504,97.2304840979295,97.1299327639723,97.3185564068117,95.1575618803958,98.2197549031814,93.3557463830855
2017-09-01,96.0935152352906,96.9856215181797,96.9210272288871,97.0421992678883,93.5116034672961,100.102780535694,89.6333094149267
2017-08-01,95.7937676543061,96.7126765716285,96.6026169195838,96.8090771590847,93.1340405798595,100.165263073353,88.9968207638737
2017-07-01,95.3227357413306,96.467769878232,96.1480673878486,96.7477953670914,92.0099975520314,98.1429517838105,88.4013249775125
2017-06-01,94.9636396418054,96.2100523332531,96.0353985200534,96.3630305580127,91.356662143074,95.7609496672422,88.7651489834923
2017-05-01,94.7254943205721,95.9181044932571,95.7325803826719,96.0806039461867,91.2748467954439,95.3573001411798,88.8727030864148
2017-04-01,94.8389326281628,95.6548288218573,95.2758111197482,95.9868081481206,92.477661501813,94.2209750468394,91.451883786679
2017-03-01,94.7224893322916,95.2265193309664,94.703344444839,95.6847650677142,93.2636473561271,92.4887773005824,93.7195862418125
2017-02-01,94.1447803353567,94.6842553616011,93.9736770421784,95.3066466388079,92.5841861094129,90.5017857297322,93.8094848571493
2017-01-01,93.6038824448585,93.9661369686657,92.9465884671895,94.8591533704205,92.5551697458663,91.3595710095684,93.2586682894501
2016-12-01,92.0390347977643,93.4253392806337,92.0921856189804,94.5930405563863,88.0280313324208,92.1731926096099,85.588989843934
2016-11-01,91.6168339443476,93.010425318165,91.7744562861082,94.0930031612495,87.5842430339403,91.2908095470357,85.4032737300826
2016-10-01,90.9061542159986,92.8021489245561,91.6594283025382,93.8030510459926,85.418343192587,90.6300851912186,82.3517182504445
2016-09-01,90.357743854799,92.5434009061401,91.2900226223943,93.6412274081199,84.0331611876457,90.6713356667678,80.1272135345829
2016-08-01,89.8093334935994,92.1047162470205,90.6977770685912,93.3370458132151,83.1670543952935,87.9484343688304,80.3536574373245
2016-07-01,89.5569144780335,91.9305234128225,90.3470071722867,93.317515765974,82.6894574561408,87.6411718519037,79.7758345492112
2016-06-01,89.3240278862912,91.7738478661214,90.3157372121637,93.0509982200969,82.2350565215121,88.3222609929072,78.6533034215508
2016-05-01,89.2256145201034,91.5410004785006,90.0710269368386,92.8285414644931,82.524336492071,89.5932933217401,78.3649135324457
2016-04-01,89.6252779614159,91.345751738305,89.8411497284057,92.663623591307,84.6478635199932,90.284810239227,81.3310451872204
2016-03-01,89.9100006009976,91.1447498542818,89.4694977324912,92.6120931141464,86.3361217657378,91.5565001923373,83.26441508977
2016-02-01,89.7777811166536,90.8194302850184,89.1644027157548,92.2690589809199,86.763346322749,92.4817954177299,83.3985714299261
2016-01-01,89.3863813931126,90.494986695569,88.7343236246726,92.0371408921364,86.1786510539167,90.8734009719266,83.4162278181773
2015-12-01,89.0468177174109,90.3206867064414,88.5066636031032,91.9095786345786,85.3594193512477,88.4975287405112,83.5129341401788
2015-11-01,88.6854678766753,90.0451813480627,88.3190670634878,91.5570744704179,84.7522617461168,86.4833696512787,83.7336659137703
2015-10-01,88.2039185047178,90.0135254606832,88.1561280919972,91.6404086471394,82.9680802308015,86.1099907723558,81.1193583955246
2015-09-01,87.7524190155658,89.7877617837903,87.848644213172,91.4862232035709,81.8616775479903,86.0720052838172,79.3842916657293
2015-08-01,87.4248752929864,89.4559964866826,87.4141116583952,91.2444711295426,81.5462148440529,85.3123310655641,79.330206080947
2015-07-01,87.2408197608029,89.2767387839773,87.1174711699255,91.1680283030327,81.3503185171067,85.1158900774871,79.134630236393
2015-06-01,87.1131077588797,89.12294352238,87.1656645820351,90.8373123768385,81.2956192081171,85.0355396109874,79.0950242454019
2015-05-01,86.9673658272733,88.9371066634065,86.9843493221487,90.6475150762988,81.2665378699281,85.2430349802794,78.9267395406699
2015-04-01,87.4038403750225,88.8342602707277,86.9150308703939,90.5153017616761,83.2660022937289,86.4269962401503,81.4060516513947
2015-03-01,87.6307169902037,88.6961606549979,86.6740066425203,90.4673531948876,84.5466979892768,86.2015987536108,83.5729429641598
2015-02-01,87.2753771260292,88.4641764320644,86.5484125447933,90.1421825010728,83.8343251868213,85.570825321153,82.8125565296239
2015-01-01,87.1101027705992,88.1644282257166,86.2659602270744,89.8272849298843,84.0584885107481,86.3264149471704,82.724024951611
2014-12-01,87.1889837129635,88.1934984399791,86.0789829835748,90.0455898133311,84.2837470512461,87.0014283243006,82.6846446438776
2014-11-01,86.7637778712663,87.9892433821639,85.9198937613248,89.8017742716364,83.2185220104877,84.2067657688353,82.6370325662219
