"inpcgeneral.date.sq.","inpcgeneral.values.sq.","inpcsub_total.values.sq.","inpcmerc.values.sq.","inpcserv.values.sq.","inpcnosub.values.sq.","inpcagro.values.sq.","inpcenerg.values.sq."
2022-03-01,120.513,118.3915464509,122.9867735899,113.4301125737,127.0716967385,133.4110958326,122.5195646763
2022-03-01,119.805,117.9201924609,122.4189040468,113.062965736,125.6295226528,132.1675239428,120.9347803195
2022-02-01,119.229,117.5033752847,121.8275683815,112.8345749244,124.5619239365,131.8564918726,119.323913821
2022-02-01,118.733,117.1297949802,121.326394481,112.598756513,123.6862653194,130.4849481482,118.8043354036
2022-01-01,118.234,116.6338205395,120.6463562812,112.3015143965,123.178621733,130.6100363908,117.8423460973
2022-01-01,117.77,116.2316220403,120.1845717552,111.9636505043,122.523675874,130.3871567752,116.8771464476
2021-12-01,117.314,115.8357091078,119.441798176,111.9422405312,121.8832117706,129.6790836837,116.2852303278
2021-12-01,117.301,115.6057016029,119.0310706697,111.9073551194,122.5416501034,130.9578236536,116.498248688
2021-11-01,117.184,114.9306324339,118.3213407689,111.2697088947,124.1486532261,132.468550398,118.174384986
2021-11-01,116.584,114.6674949865,117.9924927718,111.0775186579,122.5060976157,128.3658779205,118.298365399
2021-10-01,115.781,114.4913495559,117.9103582244,110.7998703489,119.7680926045,125.6416775602,115.5504476827
2021-10-01,115.34,114.2645792996,117.6658528384,110.5922485854,118.665728684,124.0072140263,114.8301685109
2021-09-01,114.72,113.8904399657,117.2318889085,110.2827014399,117.2850773051,124.8291287131,111.8679206025
2021-09-01,114.482,113.7403462175,116.9486346589,110.2763801326,116.7758247301,124.3722684691,111.3210466685
2021-08-01,114.003,113.3906064259,116.4461701991,110.0915360732,115.8968731943,123.2425564147,110.6221587286
2021-08-01,113.794,113.2027014002,116.1602449401,110.0094627924,115.6210412243,122.5682345457,110.6324703849
2021-07-01,113.818,112.8871544825,115.6171498387,109.9395980212,116.6936113303,121.1355352913,113.5039991636
2021-07-01,113.547,112.7429991029,115.371082041,109.9054767505,116.033169843,119.8971613276,113.2585536272
2021-06-01,113.132,112.3985533592,114.9495429548,109.6442681373,115.4007281658,119.5083348596,112.4511791862
2021-06-01,112.903,112.1637133577,114.7175697056,109.406332924,115.1883397226,119.756839378,111.9078373519
2021-05-01,112.517,111.7677788572,114.2388974605,109.0997297744,114.8338298869,119.601587576,111.4102463077
2021-05-01,112.321,111.5206669441,113.9440567001,108.9041503565,114.7942117167,119.5517529474,111.3779642693
2021-04-01,112.328,111.1549305538,113.4669891593,108.6586174131,115.9537297786,118.1366778557,114.3862203373
2021-04-01,112.052,110.9669309953,113.3111477509,108.43589693,115.4060954564,116.5308649569,114.5984322648
2021-03-01,111.981,110.7669028126,112.9888188834,108.3679159221,115.7343954771,114.6989073197,116.4779484181
2021-03-01,111.668,110.5410536994,112.7860909787,108.1171030053,115.149813625,114.0054465759,115.9715492276
2021-02-01,111.079,110.1600466456,112.3317582551,107.8152651527,113.9195108003,113.142411484,114.4775224763
2021-02-01,110.736,109.9617589506,112.1000234498,107.6530900634,113.1282581213,112.6862171431,113.4456744694
2021-01-01,110.484,109.7218674209,111.766369693,107.5144329399,112.8398453113,113.4687175406,112.3882710539
2021-01-01,109.936,109.5359261707,111.5072732725,107.407476804,111.1724853354,112.8525042222,109.9661142384
2020-12-01,109.374,109.2785303168,111.0729714757,107.3410850313,109.6696711771,112.5023038234,107.6356427625
2020-12-01,109.168,109.1948912866,110.9771345372,107.2706159954,109.0835049731,112.6065290499,106.5537272106
2020-11-01,108.801,108.6283744042,110.1244191338,107.0131056093,109.3356729346,113.8371929657,106.1032666201
2020-11-01,108.91,108.655288243,110.2287621621,106.956419706,109.6962682834,114.2379161532,106.4350473733
2020-10-01,108.862,108.7714175235,110.5550874928,106.8456018142,109.1437181694,115.3206800843,104.7082273662
2020-10-01,108.686,108.6954780968,110.4749254295,106.7742215382,108.6579779942,113.6633742339,105.06375331
2020-09-01,108.097,108.538473403,110.3376512441,106.5959139555,106.7323871623,112.6523682346,102.4814265828
2020-09-01,108.132,108.4089751855,110.0470073627,106.6404035588,107.2750770799,113.0556548513,103.1242178233
2020-08-01,107.956,108.2302893939,109.8700514252,106.4598500561,107.1099916676,112.8666305444,102.9763222122
2020-08-01,107.777,108.0346183488,109.5947256547,106.3501816484,106.9817345985,112.7549480426,102.8361634441
2020-07-01,107.517,107.8401068056,109.3085745755,106.2546126569,106.5192298093,111.9163854474,102.6436944693
2020-07-01,107.371,107.7418366622,109.1389919732,106.2333380652,106.2228192838,111.7345000621,102.2650468806
2020-06-01,106.991,107.4760976026,108.7423000204,106.1089879079,105.489762783,112.0302275119,100.7932515282
2020-06-01,106.495,107.2556949374,108.3231679222,106.1031519901,104.1424738209,111.6944244389,98.719644933
2020-05-01,106.158,106.9402911834,107.8611071281,105.9460927935,103.74098427,112.7334002501,97.2838004753
2020-05-01,106.167,107.0044889371,107.9016656484,106.0358136584,103.5775196047,115.7557995405,94.8326626026
2020-04-01,105.854,106.7456390216,107.5191817561,105.9104504635,103.1000149346,113.0088381927,95.9847866011
2020-04-01,105.655,106.5622150491,107.2460543105,105.8238786893,102.8522730132,112.4522877362,95.9587908127
2020-03-01,106.422,106.3488906323,106.8187531478,105.8415834347,106.6495466578,113.3386535609,101.8462999229
2020-03-01,107.254,106.1960163397,106.5933279619,105.7670418228,110.5234097776,113.9216101432,108.0832641726
2020-02-01,107.141,106.0309215943,106.388138297,105.6452372753,110.5723791566,114.017994649,108.0981861733
2020-02-01,106.636,105.8919391095,106.2723976733,105.4811607191,108.935936252,110.3270589869,107.9370128035
2020-01-01,106.506,105.6635347887,106.0160713755,105.2829035573,109.1098645161,110.1750526985,108.3449848793
2020-01-01,106.388,105.490662661,105.8079787162,105.1480587856,109.1610489685,110.3253160794,108.3250237292
2019-12-01,106.105,105.2765819994,105.2633756015,105.2908408528,108.6637713332,109.6090872921,107.9849683391
2019-12-01,105.763,105.1910068291,105.1693141372,105.2144282734,107.5294051723,106.9288398723,107.9606530741
2019-11-01,105.393,104.809024311,104.9049029173,104.7055048656,107.1994161141,106.6086269541,107.6236440633
2019-11-01,105.299,104.7982921307,104.9754495523,104.6070165297,106.847136758,106.1488309753,107.3485691644
2019-10-01,104.587,104.6331258109,104.8601155997,104.3880465594,104.4439953349,104.6023096828,104.3303145571
2019-10-01,104.42,104.5109301737,104.7697561507,104.2314776174,104.1382728974,104.3020494835,104.0206698505
2019-09-01,104.007,104.3768226308,104.6408824924,104.0917190868,102.8658838852,104.3745317559,101.7825691671
2019-09-01,103.877,104.2538036669,104.4529222771,104.0388167277,102.7117278571,104.3029922926,101.5690886655
2019-08-01,103.697,104.0592887614,104.2289949949,103.8760581548,102.5784069476,104.2843444117,101.3534244988
2019-08-01,103.642,103.9514825532,104.0635477498,103.8304865619,102.6847154104,104.4444820579,101.4210798419
2019-07-01,103.72,103.8335050717,103.9071181329,103.7540255759,103.3702041528,105.9669048335,101.5055913954
2019-07-01,103.654,103.7553052863,103.7545469116,103.7561240981,103.3418557443,105.9323198227,101.4817213037
2019-06-01,103.373,103.5816310983,103.6781317353,103.4774400508,102.7289086224,104.7248761299,101.2956643115
2019-06-01,103.225,103.4694923635,103.6717601151,103.2511053187,102.4689125034,103.020821151,102.0726034822
2019-05-01,103.216,103.2991773653,103.5656950013,103.0114201797,102.957938465,103.4738185002,102.5875005082
2019-05-01,103.25,103.1253191486,103.306282499,102.9299343134,103.6366903859,104.6451990867,102.9125105822
2019-04-01,103.562,103.0308193852,103.1764098535,102.8736263978,105.2021836561,104.4221215313,105.7623228359
2019-04-01,103.501,103.0557492759,103.1038581643,103.0038064532,104.876509879,103.3449498177,105.9762771529
2019-03-01,103.537,102.6489210934,102.8173800996,102.4670371093,106.2810361748,103.5430640259,108.2470917298
2019-03-01,103.415,102.5033595079,102.7163972369,102.2733441954,106.2340437546,103.1347009788,108.4595887016
2019-02-01,103.15,102.3202809369,102.5230759391,102.1013246235,105.7131443574,103.0640591095,107.6153728989
2019-02-01,103.009,102.1280643923,102.3103158798,101.9312887646,105.7310333496,105.0089427453,106.2495449219
2019-01-01,103.112,101.8675175279,101.9665703636,101.7605708895,106.957608288,108.0122096932,106.2003306977
2019-01-01,103.105,101.7020736567,101.8612450367,101.5302174562,107.4408017288,109.3598424714,106.062796217
2018-12-01,102.992,101.6190723617,101.6411717895,101.5952117675,107.2351536307,107.9794594423,106.7006899854
2018-12-01,103.049,101.5458776376,101.564609619,101.5256528514,107.6934164944,108.6303049036,107.0206650706
2018-11-01,102.473,101.1194400673,101.2810157941,100.9449879108,106.6570926742,105.9181230292,107.1877245785
2018-11-01,102.132,101.1014456537,101.2401599685,100.9516768001,105.3182726937,102.3015598302,107.4844835828
2018-10-01,101.509,100.9078215498,101.0002532845,100.8080236668,103.3682696587,100.8861861242,105.1505792862
2018-10-01,101.372,100.805389841,100.9878278598,100.6084128168,103.1218912801,100.3349666896,105.1230981129
2018-09-01,100.97,100.6348288334,100.8483997623,100.4042378288,102.0042963106,100.8319216407,102.8461433445
2018-09-01,100.865,100.4547173045,100.6580563221,100.2351736214,102.132303868,101.8117128977,102.3625106136
2018-08-01,100.641,100.265258974,100.4430670828,100.0732808306,101.8011870443,102.1831655018,101.5268997882
2018-08-01,100.343,100.1754280946,100.2993629035,100.0416165678,100.862428944,100.8932634829,100.8402875879
2018-07-01,100,100,100,100,100,100,100
2018-07-01,99.8189494560971,99.9485838923393,99.9703317416703,99.9295350819803,99.443559711519,99.2903628513298,99.5337018008595
2018-06-01,99.498918204219,99.7604427475319,99.7838045660263,99.7399802712175,98.7422886158597,98.2044737890454,99.0587425697877
2018-06-01,99.2540116593545,99.6162112704443,99.7386857736507,99.50893658968,98.2074679473035,97.3534661138869,98.7099685169737
2018-05-01,99.1210409279404,99.5370044377925,99.7434140304972,99.3562115167115,97.9166967237976,98.0423403335801,97.8427671572036
2018-05-01,98.8678706653044,99.3792187946076,99.5224192084574,99.2537904133398,97.3894591206569,98.1490517305174,96.9425095894684
2018-04-01,99.1563495402368,99.252810979469,99.4607099605666,99.0707135120215,98.8791393249963,98.8292593938481,98.9084890205685
2018-04-01,99.1540957990264,99.1536016596445,99.3871316129445,98.9490541779225,99.155012799494,99.4844860485206,98.9611484670993
2018-03-01,99.4981669571489,99.083689925018,99.115673124153,99.0556760332337,100.698571352583,99.9399704163334,101.14493737632
2018-03-01,99.4853957569565,99.0310243916147,99.0743813672693,98.9930482773393,100.801436584053,99.3593135168783,101.649991744458
2018-02-01,99.1931606466735,98.7984349267579,98.9283130084765,98.6846754959867,100.336177250063,98.8068909914216,101.236019833605
2018-02-01,99.1503395636757,98.6649411112043,98.76029186526,98.5814239591713,100.555265551588,99.7396908509841,101.035155331187
2018-01-01,98.9475028547389,98.372093852464,98.387300483596,98.3587744557662,100.613157839477,101.00577994586,100.382136283831
2018-01-01,98.6424965442635,98.1319341675171,98.2456770875595,98.0323074278389,100.119801062966,101.376279682615,99.3804803761574
2017-12-01,98.4081074583809,97.9663887618169,97.838230403614,98.0786418971675,99.6875389453737,102.409835752352,98.0857207260145
2017-12-01,98.1376585131318,97.9816352071533,97.7035057975488,98.2252470845815,98.5887902137987,99.9129569841049,97.8096413522221
2017-11-01,97.7124526714346,97.566926777671,97.4399694195102,97.6781279642906,98.1336055899871,99.3339422655501,97.4273192103001
2017-11-01,97.6771440591382,97.5635573070255,97.4719714791078,97.6437767830842,98.0078170338382,99.3864106805922,97.1966430226949
2017-10-01,96.7914237634473,97.291692474969,97.1557218145772,97.4107883588007,95.3447838057742,98.3248294637396,93.5913043845195
2017-10-01,96.6043632429834,97.1692757209683,97.1041437134419,97.2263244547411,94.9703399550836,98.1146803426231,93.1201883816514
2017-09-01,96.0101268105054,96.9679791881793,96.9761592883841,96.9608142876392,93.2393421810395,99.6255198500388,89.4816711892324
2017-09-01,96.1761524130056,97.0032638482583,96.8658951693901,97.1235842480559,93.7838647536189,100.580041221348,89.7849476405554
2017-08-01,95.8493599374962,96.7348701841677,96.6258423570217,96.8303670023442,93.2883593940277,100.306910337406,89.1585956056123
2017-08-01,95.7374241240459,96.6904829590892,96.5793914821459,96.7877873158251,92.9797217656251,100.023615809366,88.8350459220696
2017-07-01,95.4429352725524,96.4986597333474,96.1889497825004,96.7699328169681,92.3875910815648,99.1655325535347,88.3994035658099
2017-07-01,95.2032874571789,96.4368800230384,96.1071849931968,96.7256579172148,91.6324040225642,97.1203710141537,88.4032463891496
2017-06-01,94.9794158302783,96.2586575012448,96.0709859169292,96.4230379135585,91.2793291390097,95.9524417085549,88.529637468366
2017-06-01,94.9471122062624,96.1614471652615,95.9998111232521,96.3030232025484,91.4339951471382,95.5694576259296,89.0006604986187
2017-05-01,94.8036240158663,95.9973102456242,95.8292801598507,96.1444867874922,91.3491947096912,95.5396369401883,88.8835095959449
2017-05-01,94.647364625278,95.83889874089,95.635880605493,96.0167211048811,91.2004988811967,95.1749633421713,88.8618965768193
2017-04-01,94.9681471242262,95.6939639574612,95.3909533517911,95.9593691249627,92.8675779054939,94.9526432825105,91.6407110550228
2017-04-01,94.7097181320993,95.6156936862534,95.1606688877053,96.014247171197,92.087745098132,93.4893068111683,91.2630565183352
2017-03-01,94.8524550754252,95.3636884634871,94.8434788749751,95.8193369139886,93.3745461012342,93.0001948439844,93.594816963275
