"","pmi_comp","new_ord","prod","employ","deliv","maninv","custinv","prices","backlog","exports","imports"
"1948-01-01",51.7,53.3,59.1,54.8,36.3,45.3,NA,72.2,NA,NA,NA
"1948-02-01",50.2,51.1,55.2,55.8,37.1,43.9,NA,62.7,NA,NA,NA
"1948-03-01",43.3,43.9,47.8,44,32.7,44.5,NA,69.3,NA,NA,NA
"1948-04-01",45.4,44.5,49.5,43.9,41.6,46.1,NA,75.8,NA,NA,NA
"1948-05-01",49.5,51.2,52.1,51.8,40.4,47,NA,70.8,NA,NA,NA
"1948-06-01",53,58.1,56.8,50.8,38.4,54.7,NA,78.5,NA,NA,NA
"1948-07-01",48.4,50.4,51.4,49.1,36.8,51.1,NA,77.3,NA,NA,NA
"1948-08-01",45.1,46,51,46.1,31.2,46.6,NA,77,NA,NA,NA
"1948-09-01",42.1,40.6,47.9,46.1,28.3,45.2,NA,66,NA,NA,NA
"1948-10-01",47.2,52.1,52.7,47.5,28.7,45.4,NA,56.6,NA,NA,NA
"1948-11-01",42.4,43.2,48.9,44,28,42.6,NA,51,NA,NA,NA
"1948-12-01",35,34.5,42.1,39,17.7,37,NA,47.5,NA,NA,NA
"1949-01-01",32.9,31.4,42,34.1,16.6,36.6,NA,39.6,NA,NA,NA
"1949-02-01",31.3,34.2,39.6,28.3,13.1,34.9,NA,31.3,NA,NA,NA
"1949-03-01",34.5,42.1,41.9,31.1,12.4,33.3,NA,31.8,NA,NA,NA
"1949-04-01",35.5,42.3,44.1,31.6,16.2,27.9,NA,13.8,NA,NA,NA
"1949-05-01",32.6,41.1,38.2,29,15.5,25.5,NA,20.1,NA,NA,NA
"1949-06-01",31.6,39.8,38.4,27.2,15,24.1,NA,10.6,NA,NA,NA
"1949-07-01",39,49.1,47,34.8,22.4,21.5,NA,28.8,NA,NA,NA
"1949-08-01",47,55.7,58.5,40,33,26.8,NA,42.7,NA,NA,NA
"1949-09-01",52.3,58,60.3,51.4,39.9,35.8,NA,47.5,NA,NA,NA
"1949-10-01",51,58.9,54.5,43.7,46.1,40.6,NA,42.1,NA,NA,NA
"1949-11-01",51,58.7,55.7,42.9,51.5,31.3,NA,51.1,NA,NA,NA
"1949-12-01",57.3,53.1,63.3,52.6,52.2,41.7,NA,49.9,NA,NA,NA
"1950-01-01",59.1,62.3,64.3,57.7,56.3,43.6,NA,62.4,NA,NA,NA
"1950-02-01",60.5,62.5,66.7,51.1,68,46.4,NA,70.9,NA,NA,NA
"1950-03-01",62.1,61.8,65.8,56.9,72,48.8,NA,77,NA,NA,NA
"1950-04-01",68.1,71,74.8,63.4,68.8,50.6,NA,80.2,NA,NA,NA
"1950-05-01",74.7,76.6,78.1,69.8,82.9,58.2,NA,98.2,NA,NA,NA
"1950-06-01",76.6,82.6,79.1,71.9,76.5,62.1,NA,100,NA,NA,NA
"1950-07-01",77.5,80.3,77.1,72.5,89.4,62.7,NA,90.7,NA,NA,NA
"1950-08-01",75.8,77.1,78.7,72.3,81.7,62.3,NA,84.8,NA,NA,NA
"1950-09-01",68.1,66.4,68.6,72.2,73.7,55.2,NA,84.4,NA,NA,NA
"1950-10-01",59.2,49,62.9,65.6,70.3,50.6,NA,84.8,NA,NA,NA
"1950-11-01",63.1,57.2,63.6,66.7,79.1,48.3,NA,85.1,NA,NA,NA
"1950-12-01",67.1,67.7,62.5,65.1,87.5,49.7,NA,91.1,NA,NA,NA
"1951-01-01",67.8,67.9,63,67.8,88.7,48,NA,85.1,NA,NA,NA
"1951-02-01",69.3,70,61.4,73.7,93.3,42.1,NA,86.5,NA,NA,NA
"1951-03-01",65.5,61,61.2,72,85.1,47.4,NA,76.6,NA,NA,NA
"1951-04-01",53.5,42.3,53.5,61.9,65.7,51.8,NA,68.5,NA,NA,NA
"1951-05-01",50.7,45.2,54.2,58.8,45,51.2,NA,63.6,NA,NA,NA
"1951-06-01",45.5,39.1,48.6,56.4,36.7,48.4,NA,52.1,NA,NA,NA
"1951-07-01",42.1,38.2,41.6,53.2,32.2,47.8,NA,46.4,NA,NA,NA
"1951-08-01",43.6,38.5,48.4,51.7,32,46.7,NA,43.2,NA,NA,NA
"1951-09-01",48.1,48.2,50.2,48.6,46.4,43.8,NA,45.7,NA,NA,NA
"1951-10-01",49.6,51.7,50.3,51.1,47.2,42,NA,54.4,NA,NA,NA
"1951-11-01",47.2,49.3,50.9,50.2,34.9,44.5,NA,55.6,NA,NA,NA
"1951-12-01",46.5,45.3,52.8,51.8,33.6,42.6,NA,56.6,NA,NA,NA
"1952-01-01",44.7,46.8,49.5,46.9,31.3,42.5,NA,51.8,NA,NA,NA
"1952-02-01",41.8,42.3,49.9,44.8,24.9,39.3,NA,52.7,NA,NA,NA
"1952-03-01",40,43.7,48.7,41.8,18.8,35.6,NA,44.7,NA,NA,NA
"1952-04-01",36.7,35.8,43.5,43.3,19.4,35.4,NA,42.6,NA,NA,NA
"1952-05-01",39.5,43.9,45.7,42.7,22.4,30.3,NA,38.8,NA,NA,NA
"1952-06-01",43.3,46.3,49.5,43.5,33,33.8,NA,40.4,NA,NA,NA
"1952-07-01",48.3,69.4,37.2,39.5,47.4,31.6,NA,60.1,NA,NA,NA
"1952-08-01",60.4,58.5,84,63.1,41.2,30.5,NA,54.7,NA,NA,NA
"1952-09-01",56.1,60.3,66,56.2,42.7,38.6,NA,57.9,NA,NA,NA
"1952-10-01",56.2,59.9,65.3,57.8,43.3,38.2,NA,54.1,NA,NA,NA
"1952-11-01",56.8,58.8,65,60.9,45,39.9,NA,49.7,NA,NA,NA
"1952-12-01",55.8,60.4,64.3,55.6,43.5,40,NA,48.2,NA,NA,NA
"1953-01-01",59.4,64.6,69.8,61.5,41.5,40.9,NA,45.1,NA,NA,NA
"1953-02-01",55.4,56,62.4,61.7,41.8,44.3,NA,54.5,NA,NA,NA
"1953-03-01",50.5,47.2,54,59.4,41.8,46.4,NA,73.3,NA,NA,NA
"1953-04-01",51.1,52,57.3,55,38.6,43.8,NA,69.3,NA,NA,NA
"1953-05-01",48.9,49.3,57.1,52.3,35.1,41.2,NA,72.3,NA,NA,NA
"1953-06-01",48.5,48.3,55.2,53.8,33.3,44.6,NA,69.7,NA,NA,NA
"1953-07-01",46.3,44.2,53.1,54.4,28.5,45.6,NA,62,NA,NA,NA
"1953-08-01",43.5,42.1,50.7,48.1,26.5,46.2,NA,55.8,NA,NA,NA
"1953-09-01",40.2,39.9,46.8,43.8,23.2,43.3,NA,43.8,NA,NA,NA
"1953-10-01",37.4,38,44.6,37.9,20.7,41.3,NA,45.1,NA,NA,NA
"1953-11-01",36.9,40.9,43.4,35.8,20.2,35.5,NA,47,NA,NA,NA
"1953-12-01",35.6,37.5,41.3,36.6,21.8,34.2,NA,47.7,NA,NA,NA
"1954-01-01",37.4,42.9,45,31.5,23.6,34.2,NA,40.5,NA,NA,NA
"1954-02-01",40.7,50.3,46,34.8,26.9,30.9,NA,41.6,NA,NA,NA
"1954-03-01",44.7,54.7,51.5,40.2,28,31.6,NA,46.6,NA,NA,NA
"1954-04-01",47.7,58.4,55.4,42.4,30.3,33.2,NA,49.7,NA,NA,NA
"1954-05-01",50.1,60.2,56.3,44.5,34.3,39.1,NA,45.6,NA,NA,NA
