"","nmi","busact","neword","empl","deliv","invent","prices","backlog","exports","imports","invsent"
"1997-07-01",NA,58.6,58.8,53.8,NA,51,50.9,49,62,55.6,56.5
"1997-08-01",NA,62.6,60.2,53.8,NA,48.5,53.3,56.5,57.5,48.4,62
"1997-09-01",NA,59.1,59.3,53.2,NA,54,53.1,49.5,49.5,47.5,63
"1997-10-01",NA,62.6,60.8,51,NA,46.5,53.1,52,51.5,50.7,66
"1997-11-01",NA,61.9,59.9,56.7,NA,51,54.3,56,53.5,50.3,64.5
"1997-12-01",NA,56.5,58.8,55,NA,49,54.9,49,48.5,52.2,67
"1998-01-01",NA,61.4,57.4,55,NA,48.5,52.7,49,52,51.5,61.5
"1998-02-01",NA,58.9,59.1,54.8,NA,50.5,51.6,51.5,51.5,52.6,59.5
"1998-03-01",NA,57,55.1,54.1,NA,52.5,47.9,51.5,58.5,50,64
"1998-04-01",NA,58.6,57.5,51.6,NA,52.5,46.8,51,56.5,52.1,66.5
"1998-05-01",NA,61.2,60.2,52.8,NA,50,47.2,53,48.5,52.8,63.5
"1998-06-01",NA,58.7,55.8,52.5,NA,49.5,45.5,50,55,54.5,69
"1998-07-01",NA,58.6,58.2,51.9,NA,48,47,52,51.5,50.9,60.5
"1998-08-01",NA,52.2,55.3,52.3,NA,48,47.9,56.5,54,55.2,62.5
"1998-09-01",NA,57.4,55.9,53.7,NA,50.5,46.2,54,54,52,65
"1998-10-01",NA,54,54.7,53.1,NA,48.5,49.3,49,48.5,48.8,65.5
"1998-11-01",NA,54.9,52.7,52.6,NA,50,47.3,46.5,45,50.7,63
"1998-12-01",NA,54.2,53.5,50.9,NA,50.5,48.5,47,49,50.3,64.5
"1999-01-01",NA,58.8,57.5,51.4,NA,47,47,49,46.5,53.1,61
"1999-02-01",NA,57.3,56.6,52.2,NA,49.5,45.5,51.5,47.5,52.7,60.5
"1999-03-01",NA,59.5,58.1,51.1,NA,47.5,48.9,55.5,58.5,55.3,61.5
"1999-04-01",NA,59.8,58.6,52,NA,48.5,51.4,51,56.5,52.6,63
"1999-05-01",NA,57.7,56.4,52.9,NA,51.5,52.9,50.5,58.5,54.4,61
"1999-06-01",NA,57.9,59.7,55.3,NA,49.5,53.2,52,53.5,51.9,61
"1999-07-01",NA,60.7,58.1,53.4,NA,49.5,57.7,50,57.5,55.9,61
"1999-08-01",NA,60.3,59.6,52.3,NA,52,58.9,51.5,58,52.3,63
"1999-09-01",NA,59.1,60.1,51.4,NA,52,64.2,52.5,62.5,55.5,61.5
"1999-10-01",NA,60.7,62,51.7,NA,47.5,58.9,52,54,55.7,58
"1999-11-01",NA,57,55.5,50.6,NA,52.5,61,49,56,53.8,62.5
"1999-12-01",NA,60.4,61.1,53,NA,50,60.5,49,58,50.8,61.5
"2000-01-01",NA,57.7,60.8,52.3,NA,49.5,61.4,48.5,57.5,54.9,67
"2000-02-01",NA,58.2,58.9,52.8,NA,49.5,66.5,52,47.5,51.9,66.5
"2000-03-01",NA,60.5,61.7,55,NA,51.5,68.6,53,55.5,54.7,60.5
"2000-04-01",NA,61.1,61.5,54.4,NA,53.5,65,55.5,59,54.6,64
"2000-05-01",NA,59.8,60.5,53.5,NA,49.5,64.2,53.5,62,54.7,63
"2000-06-01",NA,60.3,59.4,54.4,NA,54,65,56.5,57,52.6,66.5
"2000-07-01",NA,56.5,59.7,50.5,NA,51,62.1,50.5,53,53.1,68
"2000-08-01",NA,61.3,59.8,54.2,NA,51,59.2,52,56,53.9,61.5
"2000-09-01",NA,59.8,60.4,53.5,NA,53.5,62.1,56.5,51.5,46,65
"2000-10-01",NA,58.6,59.2,54.5,NA,55,63.7,53.5,55,58.9,67.5
"2000-11-01",NA,59.7,56.4,54.6,NA,49.5,60.9,49.5,55,54.7,66
"2000-12-01",NA,57.5,54.9,52.4,NA,48.5,63.5,50.5,56.5,53.4,65
"2001-01-01",NA,52.5,50.8,51.7,NA,45.5,61.8,42.5,55,49.8,67.5
"2001-02-01",NA,51.5,51.4,50.7,NA,47,58.1,45.5,53.5,48.7,65
"2001-03-01",NA,50,52.6,49.6,NA,49,55.8,47.5,49.5,48.4,69
"2001-04-01",NA,48.3,47.2,46.5,NA,45.5,53.8,44,55.5,49.8,64
"2001-05-01",NA,47.9,49.3,46.7,NA,47.5,58.5,46.5,48.5,48.7,63.5
"2001-06-01",NA,51.6,52.2,45.6,NA,48.5,54.5,49,49.5,50,65
"2001-07-01",NA,48.1,47.5,46.4,NA,46,49.9,42.5,53,50.1,61.5
"2001-08-01",NA,47.4,46.5,45.7,NA,43.5,48.9,41.5,47.5,52.8,65.5
"2001-09-01",NA,49.7,50.8,46.4,NA,44.5,50.2,48.5,53.5,52.7,64
"2001-10-01",NA,40.5,41.3,43.9,NA,48,43.4,40.5,44.5,50.7,68.5
"2001-11-01",NA,49.4,46.4,44.5,NA,49.5,41.3,42,48.5,51.6,67
"2001-12-01",NA,50.7,49.9,44.6,NA,48.5,42.3,46.5,55,55.9,66.5
"2002-01-01",NA,49.8,48.3,44.3,53,47.5,48.8,45.5,56.5,55.3,64.5
"2002-02-01",NA,57.5,56.3,43.9,53,51.5,47.6,47.5,52.5,54.3,66.5
"2002-03-01",NA,57.1,56.4,45.8,52,50,49.2,49.5,49.5,48.9,65.5
"2002-04-01",NA,56.3,58.4,47.8,51.5,52.5,53.7,48.5,52.5,56.2,63
"2002-05-01",NA,60.5,57.3,49.2,52,48.5,55.2,53.5,61.5,54,65
"2002-06-01",NA,56.1,56.4,44,53.5,47.5,53.1,49,57.5,55.2,66
"2002-07-01",NA,52.1,50.7,46.1,52.5,52,60.5,43.5,59.5,52.6,66
"2002-08-01",NA,51.9,51.6,47.2,53,46,55.1,48,46,48.3,62
"2002-09-01",NA,54.9,54.8,47.1,52.5,44.5,53.4,51,57.5,44.7,66
"2002-10-01",NA,53.1,52.3,46.6,53.5,44,56.1,52,49,54.9,64.5
"2002-11-01",NA,56.8,56.4,46,52.5,44,57.6,50.5,58.5,55.1,61
"2002-12-01",NA,55.5,54.2,47,52.5,45.5,56.5,51.5,54,51.8,63
"2003-01-01",NA,56.2,54.4,50.5,52,46.5,58,48,53,56.5,64.5
"2003-02-01",NA,55.6,53.9,48.5,52.5,48.5,60.5,50,58.5,51.5,66.5
"2003-03-01",NA,46.3,49.9,48.1,52,49.5,59.4,47.5,48.5,55,66
"2003-04-01",NA,50.7,50.4,48.7,50.5,51,55.7,46,52.5,50,62.5
"2003-05-01",NA,54.6,55.9,48.5,52,52.5,50,51,49,58.5,63
"2003-06-01",NA,59.2,57.1,49.3,51.5,47,52.3,51.5,49.5,50.5,62
"2003-07-01",NA,62.7,62.3,50.5,53.5,49.5,51.4,54.5,47.5,54,60
"2003-08-01",NA,65.1,66.9,51.7,52.5,49,56.1,51.5,58.5,60,62
"2003-09-01",NA,63.8,61.4,50.1,55,47.5,59.5,57,56,55,60.5
"2003-10-01",NA,64.4,64.2,53,53,49,57.2,54,58,56,60
"2003-11-01",NA,61.1,61.3,54.4,53,51,58.5,52.5,54.5,57.5,62
"2003-12-01",NA,60,61.2,54,52,51.5,61.1,55.5,57.5,57,62
