"date","IPMAN","PCUOMFGOMFG","AMTMNO","AMXDNO","AMXTNO","DGORDER","ADXTNO","ADXDNO"
1972-01-01,36.0427,NA,NA,NA,NA,NA,NA,NA
1972-02-01,36.3288,NA,NA,NA,NA,NA,NA,NA
1972-03-01,36.5734,NA,NA,NA,NA,NA,NA,NA
1972-04-01,36.982,NA,NA,NA,NA,NA,NA,NA
1972-05-01,37.0537,NA,NA,NA,NA,NA,NA,NA
1972-06-01,37.1634,NA,NA,NA,NA,NA,NA,NA
1972-07-01,37.1534,NA,NA,NA,NA,NA,NA,NA
1972-08-01,37.6508,NA,NA,NA,NA,NA,NA,NA
1972-09-01,37.9189,NA,NA,NA,NA,NA,NA,NA
1972-10-01,38.487,NA,NA,NA,NA,NA,NA,NA
1972-11-01,38.9853,NA,NA,NA,NA,NA,NA,NA
1972-12-01,39.5493,NA,NA,NA,NA,NA,NA,NA
1973-01-01,39.8491,NA,NA,NA,NA,NA,NA,NA
1973-02-01,40.4859,NA,NA,NA,NA,NA,NA,NA
1973-03-01,40.561,NA,NA,NA,NA,NA,NA,NA
1973-04-01,40.4985,NA,NA,NA,NA,NA,NA,NA
1973-05-01,40.768,NA,NA,NA,NA,NA,NA,NA
1973-06-01,40.7744,NA,NA,NA,NA,NA,NA,NA
1973-07-01,40.9621,NA,NA,NA,NA,NA,NA,NA
1973-08-01,40.8521,NA,NA,NA,NA,NA,NA,NA
1973-09-01,41.1894,NA,NA,NA,NA,NA,NA,NA
1973-10-01,41.5971,NA,NA,NA,NA,NA,NA,NA
1973-11-01,41.8856,NA,NA,NA,NA,NA,NA,NA
1973-12-01,41.8901,NA,NA,NA,NA,NA,NA,NA
1974-01-01,41.5396,NA,NA,NA,NA,NA,NA,NA
1974-02-01,41.3683,NA,NA,NA,NA,NA,NA,NA
1974-03-01,41.3479,NA,NA,NA,NA,NA,NA,NA
1974-04-01,41.1713,NA,NA,NA,NA,NA,NA,NA
1974-05-01,41.4615,NA,NA,NA,NA,NA,NA,NA
1974-06-01,41.4823,NA,NA,NA,NA,NA,NA,NA
1974-07-01,41.4625,NA,NA,NA,NA,NA,NA,NA
1974-08-01,41.0702,NA,NA,NA,NA,NA,NA,NA
1974-09-01,41.1255,NA,NA,NA,NA,NA,NA,NA
1974-10-01,40.8343,NA,NA,NA,NA,NA,NA,NA
1974-11-01,39.5796,NA,NA,NA,NA,NA,NA,NA
1974-12-01,37.7559,NA,NA,NA,NA,NA,NA,NA
1975-01-01,36.9621,NA,NA,NA,NA,NA,NA,NA
1975-02-01,35.9238,NA,NA,NA,NA,NA,NA,NA
1975-03-01,35.4241,NA,NA,NA,NA,NA,NA,NA
1975-04-01,35.4205,NA,NA,NA,NA,NA,NA,NA
1975-05-01,35.3558,NA,NA,NA,NA,NA,NA,NA
1975-06-01,35.6616,NA,NA,NA,NA,NA,NA,NA
1975-07-01,36.1755,NA,NA,NA,NA,NA,NA,NA
1975-08-01,36.5525,NA,NA,NA,NA,NA,NA,NA
1975-09-01,37.1874,NA,NA,NA,NA,NA,NA,NA
1975-10-01,37.3908,NA,NA,NA,NA,NA,NA,NA
1975-11-01,37.4734,NA,NA,NA,NA,NA,NA,NA
1975-12-01,38.0018,NA,NA,NA,NA,NA,NA,NA
1976-01-01,38.4732,NA,NA,NA,NA,NA,NA,NA
1976-02-01,39.0839,NA,NA,NA,NA,NA,NA,NA
1976-03-01,39.2018,NA,NA,NA,NA,NA,NA,NA
1976-04-01,39.4153,NA,NA,NA,NA,NA,NA,NA
1976-05-01,39.6052,NA,NA,NA,NA,NA,NA,NA
1976-06-01,39.6582,NA,NA,NA,NA,NA,NA,NA
1976-07-01,39.9249,NA,NA,NA,NA,NA,NA,NA
1976-08-01,40.1817,NA,NA,NA,NA,NA,NA,NA
1976-09-01,40.2817,NA,NA,NA,NA,NA,NA,NA
1976-10-01,40.2219,NA,NA,NA,NA,NA,NA,NA
1976-11-01,40.766,NA,NA,NA,NA,NA,NA,NA
1976-12-01,41.2083,NA,NA,NA,NA,NA,NA,NA
1977-01-01,41.0659,NA,NA,NA,NA,NA,NA,NA
1977-02-01,41.8335,NA,NA,NA,NA,NA,NA,NA
1977-03-01,42.444,NA,NA,NA,NA,NA,NA,NA
1977-04-01,42.8761,NA,NA,NA,NA,NA,NA,NA
1977-05-01,43.2292,NA,NA,NA,NA,NA,NA,NA
1977-06-01,43.6118,NA,NA,NA,NA,NA,NA,NA
1977-07-01,43.6132,NA,NA,NA,NA,NA,NA,NA
1977-08-01,43.8519,NA,NA,NA,NA,NA,NA,NA
1977-09-01,43.856,NA,NA,NA,NA,NA,NA,NA
1977-10-01,43.9496,NA,NA,NA,NA,NA,NA,NA
1977-11-01,44.0722,NA,NA,NA,NA,NA,NA,NA
1977-12-01,44.5519,NA,NA,NA,NA,NA,NA,NA
1978-01-01,43.8768,NA,NA,NA,NA,NA,NA,NA
1978-02-01,44.035,NA,NA,NA,NA,NA,NA,NA
1978-03-01,44.8221,NA,NA,NA,NA,NA,NA,NA
1978-04-01,45.5167,NA,NA,NA,NA,NA,NA,NA
1978-05-01,45.7574,NA,NA,NA,NA,NA,NA,NA
1978-06-01,46.0971,NA,NA,NA,NA,NA,NA,NA
1978-07-01,46.0535,NA,NA,NA,NA,NA,NA,NA
1978-08-01,46.3195,NA,NA,NA,NA,NA,NA,NA
1978-09-01,46.5614,NA,NA,NA,NA,NA,NA,NA
1978-10-01,46.8915,NA,NA,NA,NA,NA,NA,NA
1978-11-01,47.3334,NA,NA,NA,NA,NA,NA,NA
1978-12-01,47.6714,NA,NA,NA,NA,NA,NA,NA
1979-01-01,47.3248,NA,NA,NA,NA,NA,NA,NA
1979-02-01,47.4654,NA,NA,NA,NA,NA,NA,NA
1979-03-01,47.6943,NA,NA,NA,NA,NA,NA,NA
1979-04-01,46.8944,NA,NA,NA,NA,NA,NA,NA
1979-05-01,47.5489,NA,NA,NA,NA,NA,NA,NA
1979-06-01,47.5999,NA,NA,NA,NA,NA,NA,NA
1979-07-01,47.6303,NA,NA,NA,NA,NA,NA,NA
1979-08-01,47.0076,NA,NA,NA,NA,NA,NA,NA
1979-09-01,47.064,NA,NA,NA,NA,NA,NA,NA
1979-10-01,47.3149,NA,NA,NA,NA,NA,NA,NA
1979-11-01,47.1364,NA,NA,NA,NA,NA,NA,NA
1979-12-01,47.287,NA,NA,NA,NA,NA,NA,NA
1980-01-01,47.525,NA,NA,NA,NA,NA,NA,NA
1980-02-01,47.4562,NA,NA,NA,NA,NA,NA,NA
1980-03-01,47.0636,NA,NA,NA,NA,NA,NA,NA
1980-04-01,46.0841,NA,NA,NA,NA,NA,NA,NA
1980-05-01,44.6476,NA,NA,NA,NA,NA,NA,NA
1980-06-01,43.9261,NA,NA,NA,NA,NA,NA,NA
1980-07-01,43.4275,NA,NA,NA,NA,NA,NA,NA
1980-08-01,43.7442,NA,NA,NA,NA,NA,NA,NA
1980-09-01,44.5102,NA,NA,NA,NA,NA,NA,NA
1980-10-01,45.3538,NA,NA,NA,NA,NA,NA,NA
1980-11-01,46.169,NA,NA,NA,NA,NA,NA,NA
1980-12-01,46.3542,NA,NA,NA,NA,NA,NA,NA
1981-01-01,46.1677,NA,NA,NA,NA,NA,NA,NA
1981-02-01,45.9388,NA,NA,NA,NA,NA,NA,NA
1981-03-01,46.0845,NA,NA,NA,NA,NA,NA,NA
1981-04-01,46.3287,NA,NA,NA,NA,NA,NA,NA
1981-05-01,46.5377,NA,NA,NA,NA,NA,NA,NA
1981-06-01,46.3194,NA,NA,NA,NA,NA,NA,NA
1981-07-01,46.4129,NA,NA,NA,NA,NA,NA,NA
1981-08-01,46.3933,NA,NA,NA,NA,NA,NA,NA
1981-09-01,46.2051,NA,NA,NA,NA,NA,NA,NA
1981-10-01,45.7267,NA,NA,NA,NA,NA,NA,NA
1981-11-01,45.124,NA,NA,NA,NA,NA,NA,NA
1981-12-01,44.3391,NA,NA,NA,NA,NA,NA,NA
1982-01-01,43.2401,NA,NA,NA,NA,NA,NA,NA
1982-02-01,44.4813,NA,NA,NA,NA,NA,NA,NA
1982-03-01,44.1416,NA,NA,NA,NA,NA,NA,NA
1982-04-01,43.8204,NA,NA,NA,NA,NA,NA,NA
1982-05-01,43.7193,NA,NA,NA,NA,NA,NA,NA
1982-06-01,43.6909,NA,NA,NA,NA,NA,NA,NA
1982-07-01,43.6249,NA,NA,NA,NA,NA,NA,NA
1982-08-01,43.2104,NA,NA,NA,NA,NA,NA,NA
1982-09-01,43.1285,NA,NA,NA,NA,NA,NA,NA
1982-10-01,42.5704,NA,NA,NA,NA,NA,NA,NA
1982-11-01,42.3097,NA,NA,NA,NA,NA,NA,NA
1982-12-01,42.1691,NA,NA,NA,NA,NA,NA,NA
1983-01-01,43.1658,NA,NA,NA,NA,NA,NA,NA
1983-02-01,43.1574,NA,NA,NA,NA,NA,NA,NA
1983-03-01,43.5744,NA,NA,NA,NA,NA,NA,NA
1983-04-01,44.1008,NA,NA,NA,NA,NA,NA,NA
1983-05-01,44.6504,NA,NA,NA,NA,NA,NA,NA
1983-06-01,45.0187,NA,NA,NA,NA,NA,NA,NA
1983-07-01,45.6932,NA,NA,NA,NA,NA,NA,NA
1983-08-01,46.0875,NA,NA,NA,NA,NA,NA,NA
1983-09-01,46.9684,NA,NA,NA,NA,NA,NA,NA
1983-10-01,47.4583,NA,NA,NA,NA,NA,NA,NA
1983-11-01,47.7005,NA,NA,NA,NA,NA,NA,NA
1983-12-01,47.8494,NA,NA,NA,NA,NA,NA,NA
1984-01-01,48.7326,NA,NA,NA,NA,NA,NA,NA
1984-02-01,49.2659,NA,NA,NA,NA,NA,NA,NA
1984-03-01,49.4814,NA,NA,NA,NA,NA,NA,NA
1984-04-01,49.728,NA,NA,NA,NA,NA,NA,NA
1984-05-01,49.8811,NA,NA,NA,NA,NA,NA,NA
1984-06-01,50.1051,NA,NA,NA,NA,NA,NA,NA
1984-07-01,50.3185,NA,NA,NA,NA,NA,NA,NA
1984-08-01,50.411,NA,NA,NA,NA,NA,NA,NA
1984-09-01,50.2189,NA,NA,NA,NA,NA,NA,NA
1984-10-01,50.4879,NA,NA,NA,NA,NA,NA,NA
1984-11-01,50.6238,NA,NA,NA,NA,NA,NA,NA
1984-12-01,50.7656,100,NA,NA,NA,NA,NA,NA
1985-01-01,50.628,NA,NA,NA,NA,NA,NA,NA
1985-02-01,50.4069,NA,NA,NA,NA,NA,NA,NA
1985-03-01,50.79,NA,NA,NA,NA,NA,NA,NA
1985-04-01,50.6097,NA,NA,NA,NA,NA,NA,NA
1985-05-01,50.7245,NA,NA,NA,NA,NA,NA,NA
1985-06-01,50.7372,NA,NA,NA,NA,NA,NA,NA
1985-07-01,50.5184,NA,NA,NA,NA,NA,NA,NA
1985-08-01,50.7752,NA,NA,NA,NA,NA,NA,NA
1985-09-01,50.8264,NA,NA,NA,NA,NA,NA,NA
1985-10-01,50.7344,NA,NA,NA,NA,NA,NA,NA
1985-11-01,51.0852,NA,NA,NA,NA,NA,NA,NA
1985-12-01,51.2667,NA,NA,NA,NA,NA,NA,NA
1986-01-01,51.8829,101.3,NA,NA,NA,NA,NA,NA
1986-02-01,51.6139,99.9,NA,NA,NA,NA,NA,NA
1986-03-01,51.4254,98.3,NA,NA,NA,NA,NA,NA
1986-04-01,51.5592,97.9,NA,NA,NA,NA,NA,NA
1986-05-01,51.6179,98.2,NA,NA,NA,NA,NA,NA
