"Date","MX1MT.XX","MX3MT.XX","MX6MT.XX","MX1YT.XX","MX3YT.XX","MX5YT.XX","MX7YT.XX","MX10YT.XX","MX20YT.XX","MX30YT.XX"
2007-01-03,7.06,NA,7.47,0,7.15,NA,NA,7.41,7.51,7.5
2007-01-04,7.05,NA,7.19,7.2,7.22,NA,NA,7.45,7.55,7.56
2007-01-05,7.05,NA,7.19,7.22,7.27,NA,NA,7.5,7.6,7.62
2007-01-08,7.01,NA,7.22,7.24,7.31,NA,NA,7.54,7.64,7.63
2007-01-09,7.05,NA,7.23,7.26,7.37,NA,NA,7.63,7.72,7.75
2007-01-10,7.04,NA,7.27,7.3,7.39,NA,NA,7.64,7.74,7.74
2007-01-11,7,NA,7.18,7.23,7.43,NA,NA,7.7,7.79,7.76
2007-01-12,7.05,NA,7.3,7.35,7.49,NA,NA,7.75,7.85,7.79
2007-01-15,7,NA,7.27,7.35,7.53,NA,NA,7.82,7.92,7.87
2007-01-16,7.1,NA,7.33,7.4,7.57,NA,NA,7.86,7.93,7.9
2007-01-17,7.07,NA,7.38,7.47,7.64,NA,NA,7.93,8.01,7.95
2007-01-18,7.06,NA,7.31,7.37,7.61,NA,NA,7.86,7.94,7.83
2007-01-19,7.05,NA,7.36,7.45,7.58,NA,NA,7.86,7.92,7.87
2007-01-22,7.14,NA,7.34,7.44,7.62,NA,NA,7.86,7.93,7.85
2007-01-23,7.09,NA,7.43,7.5,7.69,NA,NA,7.9,7.96,0
2007-01-24,7.02,NA,7.36,7.45,7.67,NA,NA,7.89,7.96,7.92
2007-01-25,7.09,NA,7.39,7.49,7.66,NA,NA,7.92,7.98,7.92
2007-01-26,7.06,NA,7.41,7.51,7.7,NA,NA,8,8.05,8.01
2007-01-29,7.1,NA,7.44,7.52,7.75,NA,NA,8.07,8.12,8.12
2007-01-30,7.1,NA,7.46,7.57,7.66,NA,NA,7.94,8.01,8.02
2007-01-31,7.06,NA,7.41,7.51,7.62,NA,NA,7.91,7.99,0
2007-02-01,7.01,NA,7.2,0,7.59,NA,NA,7.84,7.93,7.85
