"date","PERMIT","PERMIT1","PERMIT24","PERMIT5","PERMITNE","PERMITNE1","PERMITMW","PERMITMW1","PERMITS","PERMITS1","PERMITW","PERMITW1"
1960-01-01,1092,846,67,179,246,NA,253,NA,331,NA,262,NA
1960-02-01,1088,868,71,149,232,NA,256,NA,305,NA,295,NA
1960-03-01,955,729,60,166,166,NA,189,NA,273,NA,327,NA
1960-04-01,1016,778,57,181,189,NA,244,NA,286,NA,297,NA
1960-05-01,1052,758,63,231,224,NA,240,NA,302,NA,286,NA
1960-06-01,958,749,68,141,176,NA,213,NA,285,NA,284,NA
1960-07-01,999,732,77,190,219,NA,224,NA,268,NA,288,NA
1960-08-01,994,732,65,197,208,NA,230,NA,270,NA,286,NA
1960-09-01,984,704,63,217,205,NA,220,NA,264,NA,295,NA
1960-10-01,972,711,58,203,196,NA,232,NA,263,NA,281,NA
1960-11-01,979,707,71,201,205,NA,223,NA,274,NA,277,NA
1960-12-01,951,688,65,198,169,NA,238,NA,280,NA,264,NA
1961-01-01,969,703,59,207,172,NA,236,NA,275,NA,286,NA
1961-02-01,961,673,63,225,176,NA,251,NA,258,NA,276,NA
1961-03-01,1000,699,59,242,201,NA,229,NA,282,NA,288,NA
1961-04-01,1002,687,69,246,205,NA,213,NA,292,NA,292,NA
1961-05-01,1027,706,66,255,219,NA,222,NA,290,NA,296,NA
1961-06-01,1070,716,69,285,221,NA,220,NA,305,NA,324,NA
1961-07-01,1083,741,64,278,237,NA,228,NA,308,NA,310,NA
1961-08-01,1159,747,71,341,301,NA,225,NA,319,NA,314,NA
1961-09-01,1098,738,72,288,226,NA,235,NA,315,NA,322,NA
1961-10-01,1123,766,76,281,235,NA,228,NA,325,NA,335,NA
1961-11-01,1152,768,74,310,252,NA,231,NA,314,NA,355,NA
1961-12-01,1161,774,72,315,275,NA,227,NA,321,NA,338,NA
1962-01-01,1122,717,82,323,269,NA,199,NA,323,NA,331,NA
1962-02-01,1194,741,81,372,275,NA,253,NA,339,NA,327,NA
1962-03-01,1134,706,83,345,243,NA,223,NA,330,NA,338,NA
1962-04-01,1235,746,83,406,290,NA,236,NA,327,NA,382,NA
1962-05-01,1142,710,96,336,220,NA,238,NA,341,NA,343,NA
1962-06-01,1154,704,79,371,233,NA,241,NA,329,NA,351,NA
1962-07-01,1189,717,92,380,226,NA,251,NA,346,NA,366,NA
1962-08-01,1200,725,84,391,228,NA,233,NA,359,NA,380,NA
1962-09-01,1223,718,88,417,222,NA,258,NA,355,NA,388,NA
1962-10-01,1181,690,86,405,241,NA,234,NA,347,NA,359,NA
1962-11-01,1236,700,95,441,242,NA,233,NA,364,NA,397,NA
1962-12-01,1236,702,106,428,231,NA,249,NA,346,NA,410,NA
1963-01-01,1248,695,104,449,245,NA,201,NA,370,NA,432,NA
1963-02-01,1212,699,103,410,233,NA,193,NA,375,NA,411,NA
1963-03-01,1258,738,116,404,230,NA,251,NA,361,NA,416,NA
1963-04-01,1288,777,104,407,230,NA,285,NA,382,NA,391,NA
1963-05-01,1350,740,117,493,247,NA,270,NA,406,NA,427,NA
1963-06-01,1345,771,143,431,213,NA,285,NA,399,NA,448,NA
1963-07-01,1321,752,126,443,226,NA,268,NA,409,NA,418,NA
1963-08-01,1310,756,107,447,224,NA,277,NA,392,NA,417,NA
1963-09-01,1413,784,132,497,268,NA,274,NA,428,NA,443,NA
1963-10-01,1414,771,132,511,261,NA,281,NA,425,NA,447,NA
1963-11-01,1357,735,126,496,235,NA,299,NA,422,NA,401,NA
1963-12-01,1423,714,115,594,243,NA,274,NA,476,NA,430,NA
1964-01-01,1296,708,114,474,198,NA,298,NA,401,NA,399,NA
1964-02-01,1442,820,131,491,269,NA,343,NA,405,NA,425,NA
1964-03-01,1313,737,99,477,262,NA,297,NA,398,NA,356,NA
1964-04-01,1264,688,99,477,232,NA,264,NA,398,NA,370,NA
1964-05-01,1299,727,104,468,244,NA,279,NA,399,NA,377,NA
1964-06-01,1280,710,103,467,264,NA,269,NA,391,NA,356,NA
1964-07-01,1304,709,104,491,244,NA,276,NA,414,NA,370,NA
1964-08-01,1306,714,94,498,250,NA,295,NA,434,NA,327,NA
1964-09-01,1265,713,92,460,241,NA,299,NA,401,NA,324,NA
1964-10-01,1230,705,98,427,223,NA,301,NA,392,NA,314,NA
1964-11-01,1254,731,93,430,243,NA,295,NA,411,NA,305,NA
1964-12-01,1164,699,75,390,248,NA,252,NA,367,NA,297,NA
1965-01-01,1264,728,94,442,221,NA,338,NA,420,NA,285,NA
1965-02-01,1185,687,79,419,219,NA,270,NA,404,NA,292,NA
1965-03-01,1211,674,82,455,251,NA,253,NA,391,NA,316,NA
1965-04-01,1162,684,87,391,223,NA,300,NA,376,NA,263,NA
1965-05-01,1207,707,82,418,252,NA,309,NA,381,NA,265,NA
1965-06-01,1241,696,86,459,258,NA,308,NA,419,NA,256,NA
1965-07-01,1237,709,89,439,240,NA,345,NA,402,NA,250,NA
1965-08-01,1249,724,86,439,261,NA,320,NA,397,NA,271,NA
1965-09-01,1227,701,87,439,264,NA,306,NA,403,NA,254,NA
1965-10-01,1279,749,77,453,273,NA,305,NA,448,NA,253,NA
1965-11-01,1306,737,79,490,279,NA,308,NA,424,NA,295,NA
1965-12-01,1315,741,85,489,273,NA,380,NA,441,NA,221,NA
1966-01-01,1325,739,89,497,304,NA,338,NA,430,NA,253,NA
1966-02-01,1159,631,71,457,234,NA,317,NA,382,NA,226,NA
1966-03-01,1234,711,84,439,273,NA,344,NA,395,NA,222,NA
1966-04-01,1145,647,73,425,245,NA,291,NA,394,NA,215,NA
1966-05-01,1078,589,68,421,234,NA,275,NA,369,NA,200,NA
1966-06-01,956,574,58,324,204,NA,246,NA,327,NA,179,NA
1966-07-01,932,544,58,330,226,NA,228,NA,306,NA,172,NA
1966-08-01,877,505,51,321,208,NA,220,NA,305,NA,144,NA
1966-09-01,774,467,44,263,159,NA,218,NA,261,NA,136,NA
1966-10-01,739,446,47,246,141,NA,197,NA,261,NA,140,NA
1966-11-01,736,442,44,250,170,NA,189,NA,251,NA,126,NA
1966-12-01,743,458,44,241,151,NA,176,NA,285,NA,131,NA
1967-01-01,995,577,56,362,289,NA,234,NA,322,NA,150,NA
1967-02-01,907,564,56,287,200,NA,229,NA,310,NA,168,NA
1967-03-01,955,570,61,324,172,NA,248,NA,354,NA,181,NA
1967-04-01,1035,606,61,368,220,NA,276,NA,356,NA,183,NA
1967-05-01,1076,636,66,374,204,NA,277,NA,393,NA,202,NA
1967-06-01,1169,673,76,420,226,NA,306,NA,406,NA,231,NA
1967-07-01,1177,675,77,425,228,NA,329,NA,396,NA,224,NA
1967-08-01,1229,697,80,452,220,NA,337,NA,407,NA,265,NA
1967-09-01,1279,701,81,497,243,NA,363,NA,429,NA,244,NA
1967-10-01,1280,707,90,483,233,NA,361,NA,433,NA,253,NA
1967-11-01,1297,695,86,516,228,NA,356,NA,462,NA,251,NA
1967-12-01,1315,701,83,531,240,NA,359,NA,441,NA,275,NA
1968-01-01,1179,679,81,419,181,NA,333,NA,414,NA,251,NA
1968-02-01,1342,711,89,542,224,NA,381,NA,460,NA,277,NA
1968-03-01,1370,691,80,599,297,NA,332,NA,454,NA,287,NA
1968-04-01,1286,675,81,530,243,NA,330,NA,446,NA,267,NA
1968-05-01,1297,665,83,549,218,NA,369,NA,435,NA,275,NA
1968-06-01,1300,654,83,563,250,NA,317,NA,464,NA,269,NA
1968-07-01,1344,689,75,580,222,NA,327,NA,502,NA,293,NA
1968-08-01,1357,700,79,578,245,NA,336,NA,481,NA,295,NA
1968-09-01,1464,738,88,638,234,NA,393,NA,522,NA,315,NA
1968-10-01,1421,717,84,620,242,NA,358,NA,521,NA,300,NA
1968-11-01,1436,729,90,617,204,NA,400,NA,490,NA,342,NA
1968-12-01,1389,688,94,607,224,NA,316,NA,533,NA,316,NA
1969-01-01,1459,683,82,694,239,NA,388,NA,517,NA,315,NA
1969-02-01,1495,707,97,691,243,NA,423,NA,525,NA,304,NA
1969-03-01,1438,665,97,676,254,NA,366,NA,507,NA,311,NA
1969-04-01,1441,662,89,690,242,NA,351,NA,502,NA,346,NA
1969-05-01,1328,634,84,610,242,NA,290,NA,470,NA,326,NA
1969-06-01,1349,642,86,621,211,NA,322,NA,456,NA,360,NA
1969-07-01,1278,595,89,594,209,NA,304,NA,448,NA,317,NA
1969-08-01,1317,591,83,643,198,NA,299,NA,507,NA,313,NA
1969-09-01,1263,591,78,594,199,NA,286,NA,456,NA,322,NA
1969-10-01,1216,589,83,544,198,NA,289,NA,413,NA,316,NA
1969-11-01,1191,585,81,525,178,NA,276,NA,442,NA,295,NA
1969-12-01,1155,587,77,491,184,NA,271,NA,409,NA,291,NA
1970-01-01,1062,486,73,503,150,NA,216,NA,407,NA,289,NA
1970-02-01,1118,558,73,487,192,NA,240,NA,401,NA,285,NA
1970-03-01,1132,557,68,507,177,NA,258,NA,410,NA,287,NA
1970-04-01,1224,611,75,538,181,NA,235,NA,466,NA,342,NA
1970-05-01,1328,602,81,645,200,NA,259,NA,528,NA,341,NA
