"pib..1...date.sq.","pib..1...values.sq.","pib..2...values.sq.","pib..3...values.sq.","pib..4...values.sq.","pib..5...values.sq.","pib..6...values.sq.","pib..7...values.sq.","pib..8...values.sq.","pib..9...values.sq.","pib..10...values.sq.","pib..11...values.sq.","pib..12...values.sq.","pib..13...values.sq.","pib..14...values.sq.","pib..15...values.sq.","pib..16...values.sq.","pib..17...values.sq.","pib..18...values.sq.","pib..19...values.sq.","pib..20...values.sq.","pib..21...values.sq.","pib..22...values.sq.","pib..23...values.sq.","pib..24...values.sq.","pib..25...values.sq."
2020-10-01,18057270.426,769987.57,17287282.856,727020.277,5042366.95,839118.98,269815.811,1071734.709,2861697.45,11517895.629,1595875.842,1798484.648,1029822.951,590735.467,857779.29,2052665.864,354730.723,101261.948,737796.272,668999.431,420280.085,35471.534,240331.333,311620.841,722039.402
2020-07-01,16813763.009,712455.263,16101307.746,530342.475,4901623.813,838640.343,290965.507,985566.999,2786450.964,10669341.458,1435212.021,1489047.32,919012.694,542804.628,857978.346,2040850.631,297048.083,102743.721,709738.909,618882.834,421092.84,28013.966,189989.688,310417.801,706507.975
2020-04-01,15043537.88,627421.011,14416116.87,600632.056,3970922.236,804181.919,260168.126,802249.436,2104322.754,9844562.578,1233106.283,1150289.275,731387.868,548380.28,860985.531,2052691.9,318082.983,94580.362,656828.505,661759.863,391112.65,16767.54,122973.006,272841.661,732774.872
2020-01-01,18024720.488,775890.581,17248829.907,563035.543,5229031.795,910097.268,262353.175,1191181.778,2865399.575,11456762.568,1449681.869,1582053.468,1145858.915,563248.732,905035.702,2088006.625,333579.026,103395.748,671072.49,690636.971,389539.763,62074.497,371766.326,353424.158,747388.28
2019-10-01,18869805.036,849938.045,18019866.991,693726.897,5204381.524,857371.911,285293.182,1188317.139,2873399.292,12121758.571,1608044.464,1833487.178,1198582.068,625931.542,902349.974,2056498.234,381223.768,104462.568,738994.134,700399.779,396660.997,75002.246,406647.185,364115.25,729359.185
2019-07-01,18398055.997,822447.745,17575608.252,494276.182,5370917.978,866716.738,309423.109,1194867.425,2999910.706,11710414.091,1585069.199,1628862.221,1214583.603,594410.55,894027.294,2052842.524,324794.809,111826.848,695086.084,653840.24,410829.492,81678.537,409656.641,366770.412,686135.637
2019-04-01,18496704.383,801987.175,17694717.208,609476.613,5327182.035,841529.158,287252.562,1214956.797,2983443.518,11758058.559,1571777.295,1624672.304,1212427.339,548793.656,891982.496,2083741.445,342388.824,113606.019,689433.495,697539.051,389043.669,78778.699,418197.483,369142.928,726533.857
2019-01-01,18275214.248,802710.034,17472504.213,577749.619,5367173.212,864649.853,261561.828,1295765.552,2945195.98,11527581.383,1497107.31,1581312.301,1182300.51,534913.544,914102.261,2063230.461,345553.804,104203.929,658744.135,701761.475,398038.041,74125.957,406577.039,362740.861,702869.754
2018-10-01,18990033.07,856581.058,18133452.012,704249.826,5319459.289,856326.646,280830.997,1266878.386,2915423.26,12109742.896,1655476.213,1830122.646,1213609.52,587325.065,929017.069,2028033.205,388981.879,107434.51,709504.172,701657.444,394486.802,76342.482,393280.803,372084.36,722386.727
2018-07-01,18405262.765,826581.609,17578681.155,484790.054,5449080.339,894047.286,311145.61,1288050.509,2955836.935,11644810.763,1592849.915,1634805.836,1207491.231,553226.041,901021.026,2027271.325,326027.996,113777.672,676162.5,655431.06,410054.997,83023.825,403343.387,363360.231,696963.722
