"SE27803.date","SE27803.value"
1995-01-01,254.5724
1995-02-01,248.0605
1995-03-01,287.3645
1995-04-01,298.9135
1995-05-01,357.7396
1995-06-01,352.3695
1995-07-01,342.8993
1995-08-01,362.2739
1995-09-01,314.1492
1995-10-01,324.5033
1995-11-01,255.5922
1995-12-01,274.2883
1996-01-01,313.5091
1996-02-01,281.9257
1996-03-01,337.3185
1996-04-01,393.3877
1996-05-01,413.542
1996-06-01,365.2451
1996-07-01,373.6705
1996-08-01,386.0666
1996-09-01,339.2533
1996-10-01,348.901
1996-11-01,315.6016
1996-12-01,355.2609
1997-01-01,338.6477
1997-02-01,331.5918
1997-03-01,381.9072
1997-04-01,425.5386
1997-05-01,486.6894
1997-06-01,453.5596
1997-07-01,441.6863
1997-08-01,428.9022
1997-09-01,431.4678
1997-10-01,421.6681
1997-11-01,343.4307
1997-12-01,379.755
1998-01-01,382.5317
1998-02-01,366.3982
1998-03-01,427.1949
1998-04-01,439.995
1998-05-01,520.3739
1998-06-01,503.4876
1998-07-01,494.3256
1998-08-01,486.607
1998-09-01,476.2905
1998-10-01,454.6739
1998-11-01,460.6924
1998-12-01,614.271
1999-01-01,399.6423
1999-02-01,388.8511
1999-03-01,464.8977
1999-04-01,469.1828
1999-05-01,571.562
1999-06-01,521.9225
1999-07-01,506.6642
1999-08-01,532.0997
1999-09-01,490.4829
1999-10-01,474.5069
1999-11-01,502.0073
1999-12-01,587.7353
2000-01-01,456.2456
2000-02-01,447.187
2000-03-01,494.4502
2000-04-01,498.8308
2000-05-01,590.7496
2000-06-01,541.5775
2000-07-01,557.598
2000-08-01,608.0612
2000-09-01,568.5493
2000-10-01,559.5235
2000-11-01,583.1218
2000-12-01,666.8485
2001-01-01,654.982
2001-02-01,637.6737
2001-03-01,718.055
2001-04-01,734.8058
2001-05-01,798.2438
2001-06-01,747.837
2001-07-01,796.5951
2001-08-01,789.3075
2001-09-01,772.0803
2001-10-01,792.8295
2001-11-01,693.8224
2001-12-01,759.0318
2002-01-01,711.043
2002-02-01,718.865
2002-03-01,744.527
2002-04-01,805.872
2002-05-01,912.205
2002-06-01,860.003
2002-07-01,843.0738
2002-08-01,849.1376
2002-09-01,860.5997
2002-10-01,848.283
2002-11-01,741.438
2002-12-01,919.401
2003-01-01,1051.2547
2003-02-01,979.7597
2003-03-01,1139.1124
2003-04-01,1202.5097
2003-05-01,1350.9669
2003-06-01,1351.1707
2003-07-01,1361.362
2003-08-01,1401.2462
2003-09-01,1365.5085
2003-10-01,1391.0112
2003-11-01,1203.7084
2003-12-01,1341.0761
2004-01-01,1081.8635
2004-02-01,1171.7737
2004-03-01,1480.224
2004-04-01,1513.5151
2004-05-01,1770.3978
2004-06-01,1684.7248
2004-07-01,1654.376
2004-08-01,1786.8078
2004-09-01,1586.8407
2004-10-01,1529.9477
2004-11-01,1506.1644
2004-12-01,1565.1123
2005-01-01,1367.5563
2005-02-01,1428.377
2005-03-01,1691.5896
2005-04-01,1753.3032
2005-05-01,2057.2773
2005-06-01,1923.2802
2005-07-01,1840.3006
2005-08-01,2059.2229
2005-09-01,1885.9905
2005-10-01,1862.2776
2005-11-01,1886.9538
2005-12-01,1932.142
2006-01-01,1758.3057
2006-02-01,1823.1898
2006-03-01,2152.8362
2006-04-01,2072.7017
2006-05-01,2534.599
2006-06-01,2340.2623
2006-07-01,2191.6469
2006-08-01,2334.2835
2006-09-01,2140.9586
2006-10-01,2316.5244
2006-11-01,1962.802
2006-12-01,1938.7249
2007-01-01,1872.9292
2007-02-01,1856.7782
2007-03-01,2186.5239
2007-04-01,2166.564
2007-05-01,2411.7694
2007-06-01,2300.5755
2007-07-01,2369.4892
2007-08-01,2412.1251
2007-09-01,2186.1334
2007-10-01,2367.6428
2007-11-01,1958.5217
2007-12-01,1969.7657
2008-01-01,1781.6996
2008-02-01,1859.7116
2008-03-01,2116.3465
2008-04-01,2184.6854
2008-05-01,2371.6245
2008-06-01,2264.5868
2008-07-01,2183.1569
2008-08-01,2097.565
2008-09-01,2113.8022
2008-10-01,2637.7129
2008-11-01,1752.1841
2008-12-01,1781.9097
2009-01-01,1572.9751
2009-02-01,1810.7913
2009-03-01,2115.1062
2009-04-01,1794.7984
2009-05-01,1905.4983
2009-06-01,1934.0212
2009-07-01,1850.2274
2009-08-01,1799.4038
2009-09-01,1747.2127
2009-10-01,1695.9575
2009-11-01,1510.8202
2009-12-01,1569.5206
2010-01-01,1323.8241
2010-02-01,1553.4585
2010-03-01,1954.8462
2010-04-01,1794.7704
2010-05-01,2146.2064
2010-06-01,1894.8869
2010-07-01,1874.4402
2010-08-01,1957.7357
2010-09-01,1718.9603
2010-10-01,1731.0322
2010-11-01,1631.8941
2010-12-01,1721.827
2011-01-01,1403.1694
2011-02-01,1651.0566
2011-03-01,2055.9125
2011-04-01,1880.8948
2011-05-01,2168.5078
2011-06-01,2022.3112
2011-07-01,1906.7078
2011-08-01,2143.8956
2011-09-01,2085.9703
2011-10-01,1912.6401
2011-11-01,1785.8739
2011-12-01,1786.0316
2012-01-01,1506.3264
2012-02-01,1788.2346
2012-03-01,2091.6655
2012-04-01,2031.5033
2012-05-01,2342.5053
2012-06-01,2096.1395
2012-07-01,1862.7014
2012-08-01,1889.6558
2012-09-01,1661.5842
2012-10-01,1771.3108
2012-11-01,1692.2529
2012-12-01,1704.4423
2013-01-01,1530.9493
2013-02-01,1653.7933
2013-03-01,1855.5856
2013-04-01,1990.6289
2013-05-01,2105.1707
2013-06-01,2001.2296
2013-07-01,1890.2772
2013-08-01,1953.6304
2013-09-01,1828.3274
2013-10-01,1911.9983
2013-11-01,1731.6637
2013-12-01,1849.4966
2014-01-01,1642.2232
2014-02-01,1719.2445
2014-03-01,2098.2592
2014-04-01,1976.3673
2014-05-01,2146.9543
2014-06-01,2043.4553
2014-07-01,1998.1848
2014-08-01,2004.331
2014-09-01,1965.0674
2014-10-01,2042.1377
2014-11-01,1776.0464
2014-12-01,2235.0127
2015-01-01,1626.8265
2015-02-01,1842.5174
2015-03-01,2254.2732
2015-04-01,2006.1882
2015-05-01,2191.0587
2015-06-01,2156.0087
2015-07-01,2234.8851
2015-08-01,2253.1487
2015-09-01,2055.1324
2015-10-01,2068.8161
2015-11-01,1895.1813
2015-12-01,2200.7363
2016-01-01,1932.4979
2016-02-01,2082.2151
2016-03-01,2191.1363
2016-04-01,2171.3015
2016-05-01,2478.2101
2016-06-01,2312.3136
2016-07-01,2248.6248
2016-08-01,2269.2888
2016-09-01,2374.0707
2016-10-01,2220.1971
2016-11-01,2370.9655
2016-12-01,2342.4602
2017-01-01,2147.8962
2017-02-01,2141.9286
2017-03-01,2618.4356
2017-04-01,2404.4485
2017-05-01,2694.8252
2017-06-01,2552.3467
2017-07-01,2599.9785
2017-08-01,2617.6073
2017-09-01,2489.214
2017-10-01,2842.5028
2017-11-01,2420.8104
2017-12-01,2760.5513
2018-01-01,2267.623
2018-02-01,2244.4429
2018-03-01,2674.8575
2018-04-01,2760.9455
2018-05-01,3155.952
2018-06-01,3140.6653
2018-07-01,2858.0037
2018-08-01,2883.364
2018-09-01,2718.0975
2018-10-01,3017.3339
2018-11-01,2964.7711
2018-12-01,2991.1708
2019-01-01,2484.7923
2019-02-01,2467.0416
2019-03-01,2992.9243
2019-04-01,2970.2291
2019-05-01,3317.6509
2019-06-01,3218.3491
2019-07-01,3293.6964
2019-08-01,3393.7313
2019-09-01,3101.2411
2019-10-01,3155.0148
2019-11-01,2924.9149
2019-12-01,3119.1723
2020-01-01,2620.8224
2020-02-01,2731.9385
2020-03-01,4044.8095
2020-04-01,2909.5076
2020-05-01,3445.4017
2020-06-01,3536.9615
2020-07-01,3531.8212
2020-08-01,3574.2006
2020-09-01,3569.9955
2020-10-01,3601.7004
2020-11-01,3387.336
2020-12-01,3650.0589
2021-01-01,3287.3782
2021-02-01,3170.7398
2021-03-01,4157.3281
2021-04-01,4048.2842
2021-05-01,4525.8256
2021-06-01,4457.5172
2021-07-01,4545.0397
2021-08-01,4748.736
2021-09-01,4408.9281
2021-10-01,4822.0566
2021-11-01,4661.608
2021-12-01,4752.2385
2022-01-01,3918.163
2022-02-01,3911.325
2022-03-01,4692.4805
2022-04-01,4718.1225
2022-05-01,5172.452
2022-06-01,5152.5403
