"date","UNRATE","UNEMPLOY","AWHNONAG","AHETPI"
1948-01-01,3.4,2034,NA,NA
1948-02-01,3.8,2328,NA,NA
1948-03-01,4,2399,NA,NA
1948-04-01,3.9,2386,NA,NA
1948-05-01,3.5,2118,NA,NA
1948-06-01,3.6,2214,NA,NA
1948-07-01,3.6,2213,NA,NA
1948-08-01,3.9,2350,NA,NA
1948-09-01,3.8,2302,NA,NA
1948-10-01,3.7,2259,NA,NA
1948-11-01,3.8,2285,NA,NA
1948-12-01,4,2429,NA,NA
1949-01-01,4.3,2596,NA,NA
1949-02-01,4.7,2849,NA,NA
1949-03-01,5,3030,NA,NA
1949-04-01,5.3,3260,NA,NA
1949-05-01,6.1,3707,NA,NA
1949-06-01,6.2,3776,NA,NA
1949-07-01,6.7,4111,NA,NA
1949-08-01,6.8,4193,NA,NA
1949-09-01,6.6,4049,NA,NA
1949-10-01,7.9,4916,NA,NA
1949-11-01,6.4,3996,NA,NA
1949-12-01,6.6,4063,NA,NA
1950-01-01,6.5,4026,NA,NA
1950-02-01,6.4,3936,NA,NA
1950-03-01,6.3,3876,NA,NA
1950-04-01,5.8,3575,NA,NA
1950-05-01,5.5,3434,NA,NA
1950-06-01,5.4,3367,NA,NA
1950-07-01,5,3120,NA,NA
1950-08-01,4.5,2799,NA,NA
1950-09-01,4.4,2774,NA,NA
1950-10-01,4.2,2625,NA,NA
1950-11-01,4.2,2589,NA,NA
1950-12-01,4.3,2639,NA,NA
1951-01-01,3.7,2305,NA,NA
1951-02-01,3.4,2117,NA,NA
1951-03-01,3.4,2125,NA,NA
1951-04-01,3.1,1919,NA,NA
1951-05-01,3,1856,NA,NA
1951-06-01,3.2,1995,NA,NA
1951-07-01,3.1,1950,NA,NA
1951-08-01,3.1,1933,NA,NA
1951-09-01,3.3,2067,NA,NA
1951-10-01,3.5,2194,NA,NA
1951-11-01,3.5,2178,NA,NA
1951-12-01,3.1,1960,NA,NA
1952-01-01,3.2,1972,NA,NA
1952-02-01,3.1,1957,NA,NA
1952-03-01,2.9,1813,NA,NA
1952-04-01,2.9,1811,NA,NA
1952-05-01,3,1863,NA,NA
1952-06-01,3,1884,NA,NA
1952-07-01,3.2,1991,NA,NA
1952-08-01,3.4,2087,NA,NA
1952-09-01,3.1,1936,NA,NA
1952-10-01,3,1839,NA,NA
1952-11-01,2.8,1743,NA,NA
