"Date","MSFT","AAPL","AMZN","TSLA","NVDA","GOOG","FB","ADBE","NFLX","PYPL","CSCO","INTC","AMD","PEP","QCOM","V","GS","CRM"
2007-01-04,29.809999,3.059286,1.945,NA,5.985,12.036385,NA,40.82,3.621429,NA,28.459999,21.17,19.790001,63.150002,39.150002,NA,198.850006,9.47
2007-01-05,29.639999,3.0375,1.9185,NA,5.61,12.134268,NA,40.619999,3.544286,NA,28.469999,21.1,19.709999,62.950001,38.689999,NA,199.050003,9.88
2007-01-08,29.93,3.0525,1.875,NA,5.651667,12.044355,NA,40.450001,3.404286,NA,28.629999,21.01,19.469999,63.09,38.259998,NA,203.729996,9.9825
2007-01-09,29.959999,3.306071,1.889,NA,5.541667,12.092176,NA,39.630001,3.427143,NA,28.469999,21.030001,19.65,63.349998,37.84,NA,204.080002,9.99
2007-01-10,29.66,3.464286,1.8575,NA,5.815,12.190806,NA,39.220001,3.438571,NA,28.68,21.52,20.01,64.150002,38.549999,NA,208.110001,10.0575
2007-01-11,30.700001,3.421429,1.87,NA,5.793333,12.446348,NA,39.880001,3.462857,NA,28.690001,21.92,20.18,64.949997,39.48,NA,211.880005,10.435
2007-01-12,31.209999,3.379286,1.91,NA,5.871667,12.577855,NA,39.959999,3.244286,NA,28.92,22.129999,18.26,64.699997,39.619999,NA,213.990005,10.605
2007-01-16,31.16,3.467857,1.933,NA,5.881667,12.559922,NA,40.049999,3.248571,NA,28.040001,22.299999,18.129999,64.849998,39.470001,NA,213.589996,10.825
2007-01-17,31.1,3.391071,1.894,NA,5.758333,12.385576,NA,40.200001,3.261429,NA,26.98,21.040001,18.200001,65,39.189999,NA,213.229996,10.6625
2007-01-18,31,3.181071,1.849,NA,5.281667,12.150208,NA,38.57,3.178571,NA,26.450001,20.65,17.92,64.919998,38.490002,NA,209.679993,10.3625
2007-01-19,31.110001,3.160714,1.851,NA,5.313333,12.198029,NA,38.400002,3.222857,NA,26.700001,20.82,17.73,64.82,38.869999,NA,210.289993,10.4025
2007-01-22,30.719999,3.099643,1.8475,NA,5.313333,11.976111,NA,37.830002,3.128571,NA,26.530001,20.790001,17.530001,64.809998,38.509998,NA,212.970001,10.3
2007-01-23,30.74,3.060714,1.8215,NA,5.315,11.931528,NA,37.52,3.108571,NA,26.040001,20.549999,17.51,64.839996,38.130001,NA,212.639999,10.32
2007-01-24,31.09,3.096429,1.863,NA,5.48,12.430159,NA,39.689999,3.25,NA,26.889999,20.84,16.030001,65.199997,38.619999,NA,220.100006,10.605
2007-01-25,30.450001,3.080357,1.854,NA,5.288333,12.156684,NA,39.130001,3.321429,NA,26.219999,20.6,16.049999,64.419998,38.16,NA,213.070007,10.47
2007-01-26,30.6,3.049286,1.8425,NA,5.245,12.34971,NA,39.259998,3.307143,NA,26.35,20.530001,16.219999,64.449997,37.509998,NA,213.5,10.5575
2007-01-29,30.530001,3.069286,1.8715,NA,5.03,12.265775,NA,39.349998,3.221429,NA,26.209999,20.889999,15.95,64.599998,37.150002,NA,211.039993,10.6225
2007-01-30,30.48,3.055357,1.8525,NA,5.126667,12.311852,NA,39.009998,3.275714,NA,26.25,20.93,15.79,65.089996,37.169998,NA,208.779999,10.7375
2007-01-31,30.860001,3.061786,1.8835,NA,5.108333,12.490682,NA,38.869999,3.258571,NA,26.620001,20.959999,15.55,65.239998,37.66,NA,212.160004,10.9575
2007-02-01,30.559999,3.026429,1.935,NA,5.173333,11.998776,NA,38.759998,3.247143,NA,26.59,21.110001,15.77,65.379997,37.41,NA,212,11.3525
