"Date","US3MT.X","US6MT.X","US1YT.X","US2YT.X","US3YT.X","US5YT.X","US7YT.X","US10YT.X","US20YT.X","US30YT.X"
2007-01-03,5.041,5.068,NA,4.766,4.688,4.659,NA,4.664,NA,4.766
2007-01-04,5.024,5.062,NA,4.704,4.623,4.596,NA,4.608,NA,4.71
2007-01-05,5.017,5.043,NA,4.762,4.673,4.643,NA,4.648,NA,4.739
2007-01-08,5.043,5.08,NA,4.787,4.7,4.659,NA,4.658,NA,4.737
2007-01-09,5.062,5.1,NA,4.8,4.703,4.662,NA,4.662,NA,4.743
2007-01-10,5.067,5.094,NA,4.816,4.727,4.678,NA,4.69,NA,4.779
2007-01-11,5.076,5.104,NA,4.867,4.786,4.73,NA,4.739,NA,4.823
2007-01-12,5.079,5.123,NA,4.897,4.817,4.768,NA,4.783,NA,4.866
2007-01-16,5.078,5.127,NA,4.867,4.793,4.741,NA,4.753,NA,4.845
2007-01-17,5.098,5.137,NA,4.91,4.832,4.779,NA,4.785,NA,4.876
2007-01-18,5.102,5.141,NA,4.889,4.805,4.752,NA,4.749,NA,4.844
2007-01-19,5.111,5.139,NA,4.932,4.845,4.788,NA,4.783,NA,4.869
2007-01-22,5.11,5.144,NA,4.915,4.827,4.771,NA,4.761,NA,4.852
2007-01-23,5.114,5.153,NA,4.954,4.863,4.813,NA,4.81,NA,4.906
2007-01-24,5.119,5.158,NA,4.937,4.861,4.811,NA,4.814,NA,4.913
2007-01-25,5.123,5.157,NA,4.979,4.915,4.875,NA,4.879,NA,4.972
2007-01-26,5.121,5.161,NA,4.971,4.913,4.871,NA,4.877,NA,4.973
2007-01-29,5.11,5.155,NA,4.991,4.935,4.885,NA,4.894,NA,4.997
2007-01-30,5.125,5.153,NA,4.975,4.91,4.866,NA,4.875,NA,4.98
2007-01-31,5.103,5.132,NA,4.925,4.85,4.809,NA,4.814,NA,4.911
2007-02-01,5.097,5.126,NA,4.966,4.899,4.844,NA,4.843,NA,4.936
2007-02-02,5.111,5.139,NA,4.937,4.875,4.819,NA,4.827,NA,4.925
2007-02-05,5.115,5.139,NA,4.925,4.857,4.8,NA,4.81,NA,4.911
2007-02-06,5.135,5.142,NA,4.904,4.821,4.757,NA,4.769,NA,4.872
2007-02-07,5.14,5.142,NA,4.874,4.773,4.73,NA,4.749,NA,4.856
2007-02-08,5.144,5.141,NA,4.883,4.775,4.73,NA,4.74,NA,4.844
2007-02-09,5.142,5.139,NA,4.912,4.815,4.778,NA,4.786,NA,4.867
2007-02-12,5.141,5.144,NA,4.937,4.843,4.809,NA,4.81,NA,4.89
2007-02-13,5.146,5.153,NA,4.95,4.852,4.81,NA,4.816,NA,4.902
2007-02-14,5.14,5.137,NA,4.878,4.773,4.73,NA,4.742,NA,4.838
2007-02-15,5.139,5.131,NA,4.844,4.736,4.694,NA,4.71,NA,4.808
2007-02-16,5.146,5.128,NA,4.848,4.721,4.685,NA,4.696,NA,4.789
2007-02-20,5.161,5.127,NA,4.822,4.716,4.669,NA,4.68,NA,4.78
2007-02-21,5.16,5.102,NA,4.843,4.735,4.687,NA,4.694,NA,4.792
2007-02-22,5.16,5.107,NA,4.87,4.781,4.731,NA,4.734,NA,4.834
2007-02-23,5.168,5.139,NA,4.804,4.71,4.659,NA,4.672,NA,4.777
2007-02-26,5.157,5.139,NA,4.762,4.67,4.616,NA,4.631,NA,4.731
2007-02-27,5.109,5.08,NA,4.589,4.499,4.463,NA,4.513,NA,4.633
2007-02-28,5.114,5.08,NA,4.659,4.573,4.53,NA,4.577,NA,4.691
2007-03-01,5.097,5.059,NA,4.617,4.538,4.5,NA,4.554,NA,4.676
2007-03-02,5.09,5.052,NA,4.538,4.464,4.44,NA,4.503,NA,4.639
2007-03-05,5.074,5.019,NA,4.512,4.452,4.431,NA,4.495,NA,4.634
2007-03-06,5.083,5.037,NA,4.583,4.523,4.485,NA,4.534,NA,4.665
2007-03-07,5.082,5.064,NA,4.532,4.474,4.438,NA,4.493,NA,4.633
2007-03-08,5.076,5.064,NA,4.57,4.5,4.462,NA,4.518,NA,4.66
2007-03-09,5.064,5.073,NA,4.678,4.599,4.554,NA,4.591,NA,4.72
2007-03-12,5.068,5.115,NA,4.64,4.55,4.509,NA,4.559,NA,4.708
2007-03-13,5.047,5.08,NA,4.513,4.438,4.409,NA,4.491,NA,4.657
2007-03-14,5.041,5.069,NA,4.572,4.484,4.456,NA,4.54,NA,4.701
2007-03-15,5.019,5.08,NA,4.588,4.503,4.467,NA,4.544,NA,4.7
2007-03-16,5.002,5.095,NA,4.6,4.514,4.473,NA,4.549,NA,4.698
2007-03-19,5.006,5.105,NA,4.63,4.543,4.498,NA,4.569,NA,4.715
2007-03-20,5.031,5.096,NA,4.612,4.522,4.479,NA,4.555,NA,4.71
2007-03-21,5.03,5.064,NA,4.536,4.459,4.431,NA,4.54,NA,4.72
2007-03-22,5.025,5.064,NA,4.591,4.507,4.482,NA,4.589,NA,4.779
2007-03-23,5.028,5.063,NA,4.611,4.533,4.515,NA,4.617,NA,4.805
2007-03-26,5.043,5.067,NA,4.59,4.509,4.497,NA,4.607,NA,4.806
2007-03-27,5.01,5.053,NA,4.572,4.497,4.492,NA,4.605,NA,4.802
2007-03-28,5.025,5.043,NA,4.581,4.497,4.497,NA,4.624,NA,4.837
2007-03-29,5.03,5.053,NA,4.591,4.541,4.538,NA,4.642,NA,4.843
2007-03-30,5.017,5.047,NA,4.583,4.537,4.541,NA,4.648,NA,4.842
2007-04-02,5.016,5.051,NA,4.587,4.537,4.537,NA,4.646,NA,4.838
2007-04-03,5.026,5.059,NA,4.624,4.569,4.567,NA,4.67,NA,4.85
2007-04-04,5.025,5.053,NA,4.604,4.542,4.546,NA,4.654,NA,4.844
2007-04-05,5.007,5.047,NA,4.629,4.571,4.571,NA,4.684,NA,4.878
2007-04-06,5.012,5.052,NA,4.616,4.559,4.567,NA,4.757,NA,4.87
2007-04-09,5.001,5.083,NA,4.743,4.68,4.67,NA,4.751,NA,4.92
2007-04-10,4.974,5.075,NA,4.701,4.635,4.629,NA,4.726,NA,4.908
2007-04-11,4.999,5.075,NA,4.722,4.662,4.649,NA,4.737,NA,4.909
2007-04-12,5.004,5.075,NA,4.735,4.671,4.658,NA,4.74,NA,4.912
2007-04-13,4.991,5.073,NA,4.77,4.706,4.691,NA,4.765,NA,4.934
2007-04-16,4.985,5.062,NA,4.749,4.682,4.669,NA,4.737,NA,4.892
2007-04-17,4.979,5.048,NA,4.681,4.611,4.603,NA,4.684,NA,4.846
2007-04-18,4.968,5.027,NA,4.643,4.566,4.565,NA,4.656,NA,4.82
2007-04-19,4.962,5.021,NA,4.647,4.575,4.567,NA,4.67,NA,4.832
2007-04-20,4.955,5.021,NA,4.652,4.583,4.573,NA,4.674,NA,4.848
2007-04-23,4.954,5.03,NA,4.631,4.553,4.54,NA,4.646,NA,4.824
2007-04-24,4.948,5.021,NA,4.605,4.523,4.515,NA,4.624,NA,4.808
2007-04-25,4.942,5.016,NA,4.644,4.565,4.556,NA,4.658,NA,4.839
2007-04-26,4.926,5.016,NA,4.674,4.615,4.605,NA,4.7,NA,4.884
2007-04-27,4.913,5.009,NA,4.661,4.606,4.592,NA,4.699,NA,4.887
2007-04-30,4.835,4.982,NA,4.595,4.531,4.516,NA,4.628,NA,4.816
2007-05-01,4.875,4.995,NA,4.637,4.567,4.541,NA,4.642,NA,4.816
2007-05-02,4.87,5,NA,4.653,4.579,4.551,NA,4.65,NA,4.819
2007-05-03,4.869,4.995,NA,4.712,4.633,4.596,NA,4.682,NA,4.844
2007-05-04,4.856,5.004,NA,4.683,4.605,4.556,NA,4.644,NA,4.809
2007-05-07,4.845,4.998,NA,4.679,4.608,4.548,NA,4.632,NA,4.785
2007-05-08,4.875,5,NA,4.679,4.582,4.546,NA,4.638,NA,4.803
2007-05-09,4.848,4.963,NA,4.734,4.635,4.592,NA,4.672,NA,4.84
2007-05-10,4.832,4.936,NA,4.688,4.596,4.553,NA,4.642,NA,4.823
2007-05-11,4.825,4.881,NA,4.714,4.627,4.588,NA,4.676,NA,4.852
2007-05-14,4.809,4.822,NA,4.74,4.652,4.615,NA,4.7,NA,4.869
2007-05-15,4.792,4.888,NA,4.744,4.661,4.63,NA,4.708,NA,4.88
2007-05-16,4.724,4.845,NA,4.74,4.661,4.631,NA,4.716,NA,4.883
2007-05-17,4.723,4.845,NA,4.787,4.712,4.682,NA,4.76,NA,4.918
2007-05-18,4.768,4.876,NA,4.822,4.752,4.732,NA,4.806,NA,4.962
2007-05-21,4.804,4.95,NA,4.81,4.738,4.716,NA,4.788,NA,4.94
2007-05-22,4.867,4.989,NA,4.84,4.776,4.765,NA,4.832,NA,4.985
2007-05-23,4.88,4.989,NA,4.836,4.779,4.774,NA,4.849,NA,5.004
2007-05-24,4.876,4.979,NA,4.845,4.785,4.778,NA,4.845,NA,4.993
2007-05-25,4.861,4.951,NA,4.869,4.811,4.798,NA,4.865,NA,5.007
2007-05-29,4.808,4.939,NA,4.899,4.849,4.835,NA,4.888,NA,5.02
2007-05-30,4.82,4.963,NA,4.887,4.843,4.827,NA,4.87,NA,5.001
2007-05-31,4.71,4.941,NA,4.921,4.875,4.857,NA,4.892,NA,5.009
2007-06-01,4.719,4.94,NA,4.979,4.934,4.927,NA,4.956,NA,5.058
2007-06-04,4.755,4.945,NA,4.966,4.926,4.91,NA,4.929,NA,5.021
2007-06-05,4.784,4.963,NA,5.008,4.981,4.977,NA,4.997,NA,5.093
2007-06-06,4.779,4.931,NA,4.954,4.935,4.932,NA,4.968,NA,5.083
2007-06-07,4.783,4.925,NA,5.034,5.064,5.089,NA,5.141,NA,5.236
2007-06-08,4.76,4.913,NA,5.005,5.021,5.046,NA,5.107,NA,5.206
2007-06-11,4.718,4.907,NA,5.026,5.057,5.084,NA,5.168,NA,5.266
2007-06-12,4.701,4.931,NA,5.107,5.154,5.207,NA,5.289,NA,5.396
2007-06-13,4.638,4.904,NA,5.086,5.114,5.141,NA,5.202,NA,5.281
2007-06-14,4.632,4.899,NA,5.098,5.141,5.17,NA,5.225,NA,5.306
2007-06-15,4.553,4.839,NA,5.027,5.066,5.094,NA,5.169,NA,5.261
2007-06-18,4.5,4.838,NA,5.005,5.034,5.06,NA,5.14,NA,5.253
